timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
139444,1758109185515,50.53,40.68,-16.82,820,779,847,807,870,34.48275862068966,-0.764,0.413,0.476
139474,1758109185518,50.52,40.69,-16.8,819,784,834,814,859,33.333333333333336,-0.764,0.413,0.477
139504,1758109185520,50.52,40.69,-16.81,820,779,820,816,857,33.333333333333336,-0.765,0.413,0.477
139534,1758109185522,50.52,40.7,-16.8,818,785,837,810,869,33.333333333333336,-0.765,0.413,0.477
139563,1758109185524,50.53,40.71,-16.8,824,779,837,816,862,34.48275862068966,-0.765,0.414,0.478
139593,1758109185526,50.54,40.71,-16.83,824,776,837,814,871,33.333333333333336,-0.765,0.414,0.477
139623,1758109185528,50.53,40.69,-16.85,820,782,838,818,862,33.333333333333336,-0.765,0.415,0.477
139643,1758109185530,50.53,40.68,-16.87,825,776,840,818,872,50.0,-0.765,0.414,0.478
139673,1758109185531,50.54,40.7,-16.86,815,777,835,828,865,33.333333333333336,-0.766,0.413,0.479
139703,1758109185533,50.54,40.71,-16.87,821,789,833,811,858,33.333333333333336,-0.765,0.415,0.478
139732,1758109185535,50.54,40.73,-16.88,816,781,832,818,856,34.48275862068966,-0.765,0.415,0.477
139762,1758109185538,50.54,40.76,-16.88,820,784,825,819,850,33.333333333333336,-0.765,0.415,0.477
139792,1758109185540,50.54,40.76,-16.88,831,768,839,823,863,33.333333333333336,-0.765,0.415,0.477
139822,1758109185541,50.55,40.74,-16.9,809,784,841,822,857,33.333333333333336,-0.766,0.415,0.477
139852,1758109185544,50.54,40.76,-16.89,812,780,829,818,869,33.333333333333336,-0.764,0.415,0.476
139881,1758109185546,50.54,40.76,-16.91,811,784,835,808,859,34.48275862068966,-0.765,0.415,0.477
139911,1758109185548,50.52,40.76,-16.92,827,779,834,814,868,33.333333333333336,-0.765,0.415,0.476
139941,1758109185550,50.51,40.75,-16.92,821,770,847,809,866,33.333333333333336,-0.764,0.416,0.477
139970,1758109185552,50.52,40.76,-16.93,824,789,831,818,864,34.48275862068966,-0.765,0.416,0.478
140000,1758109185554,50.51,40.78,-16.94,828,782,825,812,870,33.333333333333336,-0.765,0.415,0.477
140030,1758109185556,50.52,40.78,-16.94,834,778,840,821,866,33.333333333333336,-0.765,0.415,0.477
140060,1758109185558,50.52,40.77,-16.95,823,769,844,818,857,33.333333333333336,-0.764,0.417,0.476
140089,1758109185560,50.51,40.75,-16.95,822,780,832,822,863,34.48275862068966,-0.765,0.415,0.477
140119,1758109185562,50.52,40.77,-16.95,820,776,839,819,870,33.333333333333336,-0.765,0.415,0.476
140149,1758109185569,50.5,40.76,-16.96,820,780,826,815,861,33.333333333333336,-0.764,0.416,0.476
140179,1758109185600,50.48,40.74,-16.97,823,784,838,813,864,33.333333333333336,-0.764,0.415,0.477
140199,1758109185619,50.48,40.75,-16.97,816,783,851,818,863,50.0,-0.765,0.415,0.478
140229,1758109185649,50.49,40.78,-16.96,824,774,835,820,881,33.333333333333336,-0.765,0.416,0.478
140258,1758109185679,50.49,40.79,-16.98,825,779,838,822,868,34.48275862068966,-0.764,0.414,0.478
140288,1758109185709,50.5,40.77,-16.99,821,784,838,815,867,33.333333333333336,-0.764,0.415,0.477
140308,1758109185728,50.5,40.77,-17.0,824,781,839,840,867,50.0,-0.764,0.415,0.478
140338,1758109185758,50.5,40.78,-17.01,820,799,837,821,863,33.333333333333336,-0.765,0.415,0.478
140368,1758109185788,50.49,40.81,-17.01,824,780,841,802,875,33.333333333333336,-0.764,0.415,0.477
140397,1758109185818,50.49,40.79,-17.02,824,780,824,819,867,34.48275862068966,-0.764,0.416,0.476
140417,1758109185838,50.49,40.78,-17.03,819,781,836,814,870,50.0,-0.764,0.415,0.477
140447,1758109185868,50.48,40.77,-17.02,825,785,834,816,869,33.333333333333336,-0.765,0.415,0.478
140477,1758109185897,50.49,40.77,-17.03,825,779,826,825,861,33.333333333333336,-0.764,0.416,0.477
140507,1758109185927,50.48,40.79,-17.03,820,780,845,822,863,33.333333333333336,-0.765,0.415,0.477
140527,1758109185948,50.47,40.79,-17.04,817,769,834,821,870,50.0,-0.765,0.415,0.477
