timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
154483,1758109830796,-8.27,-84.46,-39.21,810,768,868,852,855,34.48275862068966,0.153,-0.999,0.102
154513,1758109830830,-8.25,-84.47,-39.21,804,765,858,843,868,33.333333333333336,0.153,-0.999,0.104
154542,1758109830864,-8.23,-84.45,-39.23,795,781,861,847,854,34.48275862068966,0.153,-0.999,0.101
154572,1758109830895,-8.23,-84.42,-39.23,806,774,861,840,864,33.333333333333336,0.153,-1.0,0.1
154601,1758109830925,-8.25,-84.43,-39.21,804,777,862,846,855,34.48275862068966,0.154,-1.0,0.101
154631,1758109830956,-8.25,-84.5,-39.21,800,775,859,842,860,33.333333333333336,0.154,-1.0,0.101
154660,1758109830987,-8.22,-84.51,-39.22,796,779,867,844,858,34.48275862068966,0.153,-0.999,0.102
154690,1758109831014,-8.19,-84.44,-39.22,806,782,859,847,862,33.333333333333336,0.153,-0.999,0.101
154719,1758109831042,-8.22,-84.45,-39.23,802,770,871,844,864,34.48275862068966,0.154,-1.0,0.098
154749,1758109831069,-8.26,-84.51,-39.22,802,770,869,851,856,33.333333333333336,0.154,-1.0,0.099
154778,1758109831097,-8.25,-84.5,-39.23,801,780,850,857,869,34.48275862068966,0.153,-1.0,0.101
154808,1758109831125,-8.23,-84.45,-39.23,805,772,853,845,866,33.333333333333336,0.153,-1.0,0.1
154837,1758109831153,-8.24,-84.46,-39.23,804,779,864,852,864,34.48275862068966,0.153,-1.0,0.099
154867,1758109831180,-8.27,-84.48,-39.22,795,767,860,842,861,33.333333333333336,0.153,-0.999,0.1
154896,1758109831207,-8.28,-84.49,-39.23,808,783,867,844,872,34.48275862068966,0.152,-0.999,0.102
154926,1758109831238,-8.26,-84.51,-39.25,808,766,855,840,858,33.333333333333336,0.152,-0.999,0.1
154955,1758109831268,-8.27,-84.52,-39.25,807,770,858,847,864,34.48275862068966,0.153,-1.0,0.099
154985,1758109831299,-8.29,-84.5,-39.24,800,778,854,849,862,33.333333333333336,0.154,-1.0,0.101
155014,1758109831329,-8.28,-84.5,-39.24,804,776,856,845,863,34.48275862068966,0.153,-1.0,0.101
155044,1758109831362,-8.28,-84.49,-39.25,798,774,870,850,909,33.333333333333336,0.153,-1.001,0.099
155073,1758109831395,-8.29,-84.48,-39.25,802,766,867,841,862,34.48275862068966,0.153,-1.0,0.1
155103,1758109831429,-8.31,-84.5,-39.26,801,774,865,845,859,33.333333333333336,0.154,-1.0,0.099
155132,1758109831459,-8.32,-84.51,-39.27,804,778,856,836,865,34.48275862068966,0.154,-1.001,0.099
155162,1758109831489,-8.33,-84.47,-39.28,813,779,859,844,861,33.333333333333336,0.154,-1.0,0.101
