timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
60389,1758109936849,-8.77,-84.84,-27.21,844,775,789,888,937,34.48275862068966,0.15,-1.001,0.081
60419,1758109936881,-8.74,-84.81,-27.22,839,781,789,885,937,33.333333333333336,0.15,-1.001,0.081
60448,1758109936914,-8.76,-84.79,-27.22,841,785,797,874,932,34.48275862068966,0.15,-1.001,0.08
60478,1758109936946,-8.78,-84.76,-27.24,846,782,786,872,926,33.333333333333336,0.15,-1.001,0.082
60507,1758109936975,-8.78,-84.7,-27.24,837,774,789,887,940,34.48275862068966,0.15,-1.001,0.084
60537,1758109937004,-8.77,-84.64,-27.24,841,773,796,880,936,33.333333333333336,0.15,-1.001,0.086
60566,1758109937033,-8.76,-84.6,-27.25,837,779,807,894,941,34.48275862068966,0.151,-1.001,0.086
60596,1758109937062,-8.76,-84.58,-27.24,836,782,786,863,929,33.333333333333336,0.151,-1.001,0.087
60625,1758109937088,-8.77,-84.54,-27.23,834,781,786,884,942,34.48275862068966,0.151,-1.0,0.088
60654,1758109937115,-8.76,-84.51,-27.24,838,778,785,883,962,34.48275862068966,0.151,-1.0,0.09
60684,1758109937141,-8.77,-84.43,-27.24,833,781,782,881,942,33.333333333333336,0.151,-1.0,0.09
60714,1758109937166,-8.77,-84.42,-27.23,840,772,797,894,941,33.333333333333336,0.152,-1.001,0.09
60743,1758109937195,-8.77,-84.43,-27.23,843,782,785,884,935,34.48275862068966,0.151,-1.001,0.091
60773,1758109937224,-8.77,-84.37,-27.23,842,777,793,876,939,33.333333333333336,0.151,-1.001,0.092
60802,1758109937252,-8.78,-84.3,-27.24,835,768,791,882,935,34.48275862068966,0.152,-1.0,0.094
60831,1758109937281,-8.74,-84.25,-27.24,837,785,791,885,931,34.48275862068966,0.152,-1.0,0.095
60861,1758109937313,-8.73,-84.23,-27.24,835,770,789,880,938,33.333333333333336,0.151,-1.001,0.095
60891,1758109937344,-8.74,-84.14,-27.24,842,774,790,887,931,33.333333333333336,0.152,-1.001,0.096
60920,1758109937376,-8.74,-84.11,-27.24,836,788,796,880,956,34.48275862068966,0.151,-1.001,0.097
60950,1758109937407,-8.73,-84.08,-27.24,839,787,789,888,938,33.333333333333336,0.152,-1.001,0.099
60980,1758109937442,-8.73,-84.01,-27.24,839,777,793,880,936,33.333333333333336,0.152,-1.0,0.099
61009,1758109937477,-8.75,-83.96,-27.25,838,777,785,879,941,34.48275862068966,0.152,-1.0,0.101
61038,1758109937511,-8.76,-83.9,-27.25,833,773,783,881,935,34.48275862068966,0.152,-0.999,0.102
61068,1758109937543,-8.76,-83.87,-27.26,839,780,790,866,931,33.333333333333336,0.151,-0.999,0.103
61097,1758109937573,-8.75,-83.87,-27.25,840,768,794,887,933,34.48275862068966,0.152,-0.999,0.103
61127,1758109937605,-8.75,-83.86,-27.24,830,783,793,862,932,33.333333333333336,0.152,-1.0,0.103
61156,1758109937636,-8.76,-83.79,-27.24,842,768,794,872,929,34.48275862068966,0.152,-0.999,0.104
61186,1758109937664,-8.73,-83.74,-27.24,831,780,798,871,934,33.333333333333336,0.152,-0.999,0.106
61216,1758109937692,-8.7,-83.74,-27.25,835,769,791,865,936,33.333333333333336,0.152,-0.999,0.106
61245,1758109937721,-8.69,-83.7,-27.25,840,783,783,887,940,34.48275862068966,0.152,-0.999,0.105
61275,1758109937749,-8.71,-83.63,-27.25,837,770,788,867,943,33.333333333333336,0.152,-0.999,0.106
61304,1758109937774,-8.71,-83.61,-27.24,834,771,784,884,941,34.48275862068966,0.152,-0.999,0.108
61334,1758109937800,-8.7,-83.65,-27.24,833,781,786,883,936,33.333333333333336,0.152,-0.998,0.109
61363,1758109937825,-8.71,-83.62,-27.24,833,783,792,884,945,34.48275862068966,0.151,-0.998,0.108
61392,1758109937851,-8.73,-83.5,-27.23,834,774,787,878,924,34.48275862068966,0.152,-0.998,0.11
61422,1758109937879,-8.72,-83.47,-27.22,836,779,786,881,937,33.333333333333336,0.152,-0.998,0.111
