timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
43446,1758110156082,3.79,-126.22,-50.34,807,784,871,881,905,33.333333333333336,-0.061,-0.818,-0.595
43475,1758110156111,3.77,-126.19,-50.36,808,776,872,880,896,34.48275862068966,-0.061,-0.818,-0.595
43505,1758110156139,3.75,-126.18,-50.38,806,778,887,874,896,33.333333333333336,-0.061,-0.818,-0.594
43534,1758110156167,3.76,-126.2,-50.38,806,779,884,877,895,34.48275862068966,-0.062,-0.819,-0.593
43564,1758110156194,3.79,-126.21,-50.38,819,774,881,875,896,33.333333333333336,-0.061,-0.819,-0.593
43594,1758110156220,3.8,-126.19,-50.38,808,785,859,872,894,33.333333333333336,-0.061,-0.819,-0.595
43623,1758110156246,3.8,-126.19,-50.37,806,778,876,878,898,34.48275862068966,-0.061,-0.818,-0.595
43653,1758110156272,3.81,-126.19,-50.37,811,780,878,884,893,33.333333333333336,-0.061,-0.819,-0.593
43682,1758110156296,3.83,-126.16,-50.36,810,767,875,864,897,34.48275862068966,-0.061,-0.819,-0.595
43712,1758110156319,3.83,-126.13,-50.34,805,780,873,885,887,33.333333333333336,-0.061,-0.819,-0.594
43742,1758110156343,3.83,-126.15,-50.33,818,787,885,885,896,33.333333333333336,-0.061,-0.819,-0.595
43771,1758110156366,3.84,-126.17,-50.34,809,780,880,874,902,34.48275862068966,-0.061,-0.818,-0.594
43801,1758110156390,3.84,-126.19,-50.36,806,781,870,879,895,33.333333333333336,-0.061,-0.818,-0.595
43831,1758110156416,3.8,-126.18,-50.38,807,792,884,873,897,33.333333333333336,-0.061,-0.819,-0.595
43860,1758110156442,3.82,-126.16,-50.38,803,783,878,881,902,34.48275862068966,-0.061,-0.819,-0.593
43890,1758110156468,3.84,-126.18,-50.37,805,777,871,875,898,33.333333333333336,-0.061,-0.82,-0.594
43919,1758110156493,3.82,-126.18,-50.36,801,782,866,883,899,34.48275862068966,-0.061,-0.818,-0.595
43949,1758110156522,3.81,-126.14,-50.37,807,775,872,876,894,33.333333333333336,-0.061,-0.819,-0.594
43978,1758110156550,3.82,-126.16,-50.37,804,782,879,870,900,34.48275862068966,-0.061,-0.82,-0.594
44008,1758110156579,3.83,-126.15,-50.35,801,779,881,876,900,33.333333333333336,-0.061,-0.82,-0.594
44037,1758110156607,3.84,-126.14,-50.35,806,786,871,871,894,34.48275862068966,-0.061,-0.82,-0.594
44067,1758110156638,3.83,-126.11,-50.34,805,797,872,861,894,33.333333333333336,-0.061,-0.819,-0.595
44096,1758110156669,3.83,-126.13,-50.36,806,774,889,879,905,34.48275862068966,-0.061,-0.819,-0.593
44126,1758110156700,3.85,-126.15,-50.36,808,790,878,870,896,33.333333333333336,-0.061,-0.82,-0.594
44155,1758110156731,3.85,-126.15,-50.35,804,782,884,872,896,34.48275862068966,-0.061,-0.819,-0.595
44185,1758110156766,3.83,-126.15,-50.37,801,777,877,879,896,33.333333333333336,-0.061,-0.819,-0.594
44215,1758110156800,3.83,-126.13,-50.39,801,780,878,877,899,33.333333333333336,-0.061,-0.819,-0.594
44244,1758110156834,3.83,-126.14,-50.39,800,783,884,870,897,34.48275862068966,-0.061,-0.82,-0.594
44274,1758110156865,3.83,-126.13,-50.39,803,779,868,873,897,33.333333333333336,-0.061,-0.819,-0.594
44303,1758110156895,3.85,-126.14,-50.39,802,773,885,867,895,34.48275862068966,-0.061,-0.818,-0.594
44333,1758110156926,3.84,-126.14,-50.42,804,771,880,880,895,33.333333333333336,-0.061,-0.819,-0.595
44362,1758110156957,3.81,-126.12,-50.42,802,780,878,877,897,34.48275862068966,-0.06,-0.819,-0.595
44392,1758110156984,3.82,-126.13,-50.41,803,783,877,873,902,33.333333333333336,-0.061,-0.819,-0.593
44421,1758110157012,3.86,-126.1,-50.4,804,796,867,878,891,34.48275862068966,-0.061,-0.82,-0.593
44451,1758110157040,3.85,-126.05,-50.41,812,775,873,881,896,33.333333333333336,-0.061,-0.818,-0.595
44481,1758110157067,3.83,-126.05,-50.44,803,778,869,865,899,33.333333333333336,-0.061,-0.819,-0.595
44510,1758110157095,3.84,-126.06,-50.43,806,780,878,871,892,34.48275862068966,-0.061,-0.82,-0.592
44540,1758110157123,3.87,-126.06,-50.41,796,778,880,885,898,33.333333333333336,-0.062,-0.821,-0.593
44570,1758110157151,3.87,-126.05,-50.42,806,775,887,881,900,33.333333333333336,-0.061,-0.819,-0.594
44599,1758110157178,3.85,-126.09,-50.46,804,775,885,892,892,34.48275862068966,-0.06,-0.82,-0.594
44629,1758110157209,3.84,-126.1,-50.46,807,783,879,878,902,33.333333333333336,-0.061,-0.821,-0.593
