timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
56200,1758110416525,8.28,-114.12,-20.6,798,783,792,828,868,33.333333333333336,-0.149,-0.924,-0.391
56229,1758110416556,8.26,-114.08,-20.6,803,782,786,826,863,34.48275862068966,-0.149,-0.923,-0.391
56259,1758110416587,8.27,-114.09,-20.6,806,779,787,818,861,33.333333333333336,-0.149,-0.924,-0.391
56288,1758110416617,8.29,-114.11,-20.6,804,781,782,836,867,34.48275862068966,-0.149,-0.924,-0.391
56318,1758110416646,8.3,-114.12,-20.59,809,783,784,842,863,33.333333333333336,-0.149,-0.923,-0.393
56347,1758110416674,8.29,-114.12,-20.6,807,776,784,834,897,34.48275862068966,-0.149,-0.923,-0.392
56377,1758110416701,8.31,-114.13,-20.6,803,775,791,832,872,33.333333333333336,-0.149,-0.923,-0.391
56406,1758110416729,8.35,-114.15,-20.6,811,786,796,827,865,34.48275862068966,-0.149,-0.924,-0.391
56436,1758110416754,8.35,-114.13,-20.59,801,774,790,828,865,33.333333333333336,-0.148,-0.923,-0.393
56465,1758110416779,8.33,-114.13,-20.6,804,788,785,827,865,34.48275862068966,-0.148,-0.924,-0.393
56495,1758110416805,8.33,-114.13,-20.6,803,770,793,828,871,33.333333333333336,-0.148,-0.923,-0.391
56525,1758110416830,8.36,-114.13,-20.59,804,788,794,833,866,33.333333333333336,-0.149,-0.924,-0.39
56554,1758110416857,8.39,-114.11,-20.59,808,780,786,827,863,34.48275862068966,-0.148,-0.923,-0.392
56584,1758110416885,8.39,-114.1,-20.59,808,772,791,829,872,33.333333333333336,-0.148,-0.923,-0.393
56613,1758110416912,8.38,-114.12,-20.57,804,777,791,831,900,34.48275862068966,-0.148,-0.924,-0.391
56643,1758110416939,8.4,-114.12,-20.56,805,772,794,832,863,33.333333333333336,-0.148,-0.923,-0.391
56672,1758110416970,8.42,-114.13,-20.57,804,781,779,826,861,34.48275862068966,-0.148,-0.923,-0.392
56702,1758110417000,8.42,-114.12,-20.57,806,786,794,833,867,33.333333333333336,-0.148,-0.923,-0.393
56732,1758110417030,8.42,-114.09,-20.56,812,777,788,825,873,33.333333333333336,-0.148,-0.923,-0.393
56761,1758110417060,8.42,-114.14,-20.55,806,777,794,829,861,34.48275862068966,-0.148,-0.924,-0.392
56791,1758110417093,8.43,-114.14,-20.54,805,787,787,856,869,33.333333333333336,-0.148,-0.922,-0.392
56821,1758110417126,8.44,-114.17,-20.56,799,777,786,832,870,33.333333333333336,-0.148,-0.923,-0.393
56850,1758110417159,8.43,-114.14,-20.56,806,781,793,832,867,34.48275862068966,-0.148,-0.923,-0.393
56880,1758110417191,8.42,-114.1,-20.55,807,784,795,836,858,33.333333333333336,-0.148,-0.922,-0.394
56909,1758110417221,8.41,-114.12,-20.55,804,783,802,827,880,34.48275862068966,-0.148,-0.922,-0.393
56939,1758110417251,8.42,-114.15,-20.55,806,774,786,833,861,33.333333333333336,-0.148,-0.923,-0.393
56969,1758110417281,8.44,-114.14,-20.55,809,776,792,833,868,33.333333333333336,-0.148,-0.923,-0.392
56998,1758110417310,8.44,-114.11,-20.55,804,782,789,825,872,34.48275862068966,-0.147,-0.923,-0.394
57028,1758110417338,8.42,-114.14,-20.55,806,774,788,823,864,33.333333333333336,-0.147,-0.924,-0.395
57057,1758110417365,8.42,-114.13,-20.54,808,776,795,834,859,34.48275862068966,-0.148,-0.924,-0.393
57087,1758110417392,8.42,-114.1,-20.54,804,776,791,820,868,33.333333333333336,-0.147,-0.923,-0.394
57116,1758110417419,8.42,-114.11,-20.53,810,774,791,833,898,34.48275862068966,-0.148,-0.924,-0.392
57146,1758110417449,8.43,-114.08,-20.51,809,775,798,818,863,33.333333333333336,-0.148,-0.924,-0.393
57176,1758110417478,8.41,-114.03,-20.51,805,783,784,827,863,33.333333333333336,-0.148,-0.923,-0.394
57205,1758110417508,8.37,-114.01,-20.51,803,783,787,830,870,34.48275862068966,-0.148,-0.924,-0.394
57235,1758110417537,8.34,-114.05,-20.5,804,782,786,832,868,33.333333333333336,-0.148,-0.923,-0.391
57265,1758110417570,7.9,-114.03,-20.49,803,780,789,830,870,33.333333333333336,-0.149,-0.924,-0.391
57294,1758110417603,7.9,-114.02,-20.49,798,781,796,831,873,34.48275862068966,-0.148,-0.924,-0.392
57324,1758110417635,7.89,-114.0,-20.48,805,770,797,828,870,33.333333333333336,-0.148,-0.924,-0.391
57353,1758110417667,7.89,-114.03,-20.49,802,782,796,828,872,34.48275862068966,-0.149,-0.924,-0.391
57383,1758110417700,7.91,-113.99,-20.47,809,781,791,835,870,33.333333333333336,-0.149,-0.924,-0.389
57412,1758110417732,7.93,-113.99,-20.48,808,776,800,824,870,34.48275862068966,-0.149,-0.924,-0.391
57442,1758110417765,7.92,-113.98,-20.47,806,782,789,822,875,33.333333333333336,-0.149,-0.925,-0.391
