timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
112006,1758110859477,-27.5,-35.41,-39.91,842,769,889,907,916,34.48275862068966,0.479,-0.51,0.735
112036,1758110859509,-27.67,-35.37,-39.85,857,781,902,906,926,33.333333333333336,0.477,-0.506,0.733
112065,1758110859541,-27.91,-35.37,-39.93,862,782,912,891,928,34.48275862068966,0.475,-0.502,0.734
112095,1758110859573,-28.12,-35.57,-39.96,856,774,892,893,919,33.333333333333336,0.474,-0.508,0.736
112124,1758110859602,-28.17,-35.67,-39.91,866,774,904,912,922,34.48275862068966,0.477,-0.52,0.736
112154,1758110859631,-28.29,-35.65,-39.9,849,777,923,903,928,33.333333333333336,0.485,-0.525,0.735
112183,1758110859660,-28.42,-35.59,-39.87,841,769,899,902,918,34.48275862068966,0.486,-0.521,0.732
112213,1758110859688,-28.5,-35.48,-39.84,849,778,906,896,927,33.333333333333336,0.487,-0.519,0.734
112243,1758110859715,-28.69,-35.4,-39.91,842,775,901,910,919,33.333333333333336,0.487,-0.508,0.725
112272,1758110859741,-28.92,-35.42,-39.99,857,778,893,904,909,34.48275862068966,0.488,-0.514,0.729
112302,1758110859767,-28.85,-35.42,-39.94,852,775,906,922,915,33.333333333333336,0.487,-0.521,0.731
112331,1758110859793,-28.52,-35.28,-39.85,842,785,904,906,918,34.48275862068966,0.486,-0.533,0.737
112361,1758110859822,-28.06,-35.11,-39.72,848,779,912,901,926,33.333333333333336,0.484,-0.522,0.734
112390,1758110859850,-27.71,-35.08,-39.69,849,778,892,917,913,34.48275862068966,0.485,-0.518,0.733
112420,1758110859879,-27.5,-35.04,-39.7,851,770,919,888,914,33.333333333333336,0.487,-0.519,0.732
112450,1758110859907,-27.28,-34.84,-39.74,860,797,896,902,910,33.333333333333336,0.486,-0.521,0.732
112479,1758110859938,-26.96,-34.65,-39.73,861,777,887,904,931,34.48275862068966,0.478,-0.518,0.737
112509,1758110859969,-26.72,-34.56,-39.77,868,773,894,902,933,33.333333333333336,0.475,-0.508,0.737
112538,1758110860001,-26.65,-34.59,-39.8,853,784,918,901,920,34.48275862068966,0.471,-0.501,0.735
112568,1758110860032,-26.83,-34.8,-39.77,842,787,892,899,914,33.333333333333336,0.469,-0.498,0.731
112598,1758110860067,-27.2,-35.09,-39.74,857,772,883,921,923,33.333333333333336,0.468,-0.494,0.727
112628,1758110860101,-27.58,-35.58,-39.74,852,766,934,902,926,33.333333333333336,0.472,-0.506,0.733
112657,1758110860135,-27.69,-35.74,-39.65,853,775,898,903,926,34.48275862068966,0.471,-0.513,0.738
112677,1758110860166,-27.67,-35.78,-39.61,850,783,896,888,919,50.0,0.469,-0.519,0.742
112707,1758110860197,-27.48,-35.53,-39.61,843,766,910,901,921,33.333333333333336,0.467,-0.526,0.741
112736,1758110860228,-27.29,-35.2,-39.62,843,773,905,911,942,34.48275862068966,0.467,-0.525,0.742
112766,1758110860259,-27.17,-35.11,-39.64,854,777,900,894,913,33.333333333333336,0.474,-0.511,0.74
112795,1758110860287,-27.11,-35.07,-39.73,842,769,898,893,921,34.48275862068966,0.474,-0.513,0.738
112825,1758110860315,-27.07,-34.94,-39.86,844,778,913,897,910,33.333333333333336,0.473,-0.518,0.74
112855,1758110860343,-26.91,-34.68,-39.95,848,780,898,895,918,33.333333333333336,0.471,-0.523,0.745
112885,1758110860371,-26.69,-34.34,-40.08,855,778,888,899,922,33.333333333333336,0.469,-0.521,0.741
112914,1758110860397,-26.6,-34.0,-40.27,840,778,894,898,909,34.48275862068966,0.467,-0.51,0.741
