timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
16339,1758110957887,-21.5,-24.91,-7.5,799,779,790,823,855,50.0,0.382,-0.397,0.854
16369,1758110957923,-21.49,-24.85,-7.5,804,768,793,818,859,33.333333333333336,0.381,-0.397,0.853
16399,1758110957959,-21.45,-24.82,-7.51,798,778,790,819,856,33.333333333333336,0.378,-0.395,0.853
16428,1758110957992,-21.49,-24.81,-7.54,798,774,800,814,855,34.48275862068966,0.378,-0.393,0.852
16458,1758110958025,-21.56,-24.84,-7.57,797,778,790,811,864,33.333333333333336,0.379,-0.393,0.851
16488,1758110958058,-21.69,-24.77,-7.6,797,772,790,815,854,33.333333333333336,0.379,-0.393,0.844
16518,1758110958091,-21.76,-24.8,-7.61,800,779,779,824,862,33.333333333333336,0.379,-0.392,0.848
16548,1758110958121,-21.75,-24.76,-7.63,804,772,789,824,851,33.333333333333336,0.378,-0.391,0.85
16578,1758110958151,-21.68,-24.77,-7.62,796,780,790,819,858,33.333333333333336,0.379,-0.391,0.851
16607,1758110958180,-21.65,-24.81,-7.62,803,762,795,829,853,34.48275862068966,0.38,-0.393,0.851
16637,1758110958210,-21.65,-24.83,-7.62,806,772,787,825,862,33.333333333333336,0.382,-0.393,0.852
16667,1758110958237,-21.64,-24.82,-7.62,803,783,797,824,856,33.333333333333336,0.383,-0.393,0.853
16697,1758110958264,-21.66,-24.8,-7.62,799,791,790,814,859,33.333333333333336,0.384,-0.393,0.854
16727,1758110958290,-21.67,-24.78,-7.62,802,779,794,816,862,33.333333333333336,0.384,-0.391,0.854
16756,1758110958317,-21.67,-24.77,-7.63,795,771,792,821,863,34.48275862068966,0.383,-0.39,0.854
16786,1758110958346,-21.67,-24.76,-7.68,803,781,798,822,862,33.333333333333336,0.382,-0.39,0.854
16816,1758110958376,-21.69,-24.74,-7.72,799,777,793,819,870,33.333333333333336,0.381,-0.39,0.853
16836,1758110958405,-21.71,-24.75,-7.73,801,780,790,820,859,50.0,0.381,-0.391,0.852
16856,1758110958434,-21.72,-24.76,-7.72,806,788,796,821,876,50.0,0.381,-0.393,0.852
16886,1758110958467,-21.71,-24.74,-7.71,790,775,793,826,858,33.333333333333336,0.382,-0.393,0.854
16916,1758110958499,-21.76,-24.79,-7.72,798,772,793,820,859,33.333333333333336,0.381,-0.391,0.852
16946,1758110958531,-21.81,-24.85,-7.73,803,780,786,819,857,33.333333333333336,0.382,-0.39,0.851
16975,1758110958563,-21.82,-24.83,-7.73,796,780,793,808,857,34.48275862068966,0.383,-0.39,0.853
17005,1758110958599,-21.83,-24.82,-7.74,794,774,788,823,860,33.333333333333336,0.385,-0.39,0.854
17035,1758110958634,-21.84,-24.83,-7.73,795,774,781,819,855,33.333333333333336,0.385,-0.391,0.854
17055,1758110958669,-21.84,-24.82,-7.72,802,779,800,825,863,50.0,0.385,-0.392,0.853
17085,1758110958701,-21.85,-24.82,-7.71,797,766,794,836,856,33.333333333333336,0.385,-0.392,0.853
17115,1758110958733,-21.86,-24.81,-7.7,799,771,797,821,874,33.333333333333336,0.384,-0.392,0.853
17144,1758110958765,-21.85,-24.81,-7.7,797,776,791,818,860,34.48275862068966,0.384,-0.391,0.853
17174,1758110958797,-21.85,-24.8,-7.68,797,777,785,835,877,33.333333333333336,0.385,-0.39,0.853
17204,1758110958826,-21.82,-24.77,-7.67,797,781,789,815,861,33.333333333333336,0.384,-0.389,0.853
17234,1758110958855,-21.81,-24.78,-7.68,808,778,790,827,864,33.333333333333336,0.384,-0.389,0.853
17264,1758110958883,-21.84,-24.8,-7.7,803,769,788,830,869,33.333333333333336,0.384,-0.39,0.852
17294,1758110958912,-21.85,-24.79,-7.69,804,767,794,813,853,33.333333333333336,0.384,-0.392,0.853
17323,1758110958939,-21.84,-24.78,-7.68,794,771,790,822,863,34.48275862068966,0.385,-0.392,0.854
17353,1758110958965,-21.82,-24.77,-7.66,801,776,796,824,867,33.333333333333336,0.385,-0.392,0.854
17383,1758110958991,-21.8,-24.76,-7.66,798,773,791,817,852,33.333333333333336,0.384,-0.391,0.853
17413,1758110959017,-21.82,-24.77,-7.65,792,777,783,816,857,33.333333333333336,0.384,-0.389,0.852
17443,1758110959045,-21.82,-24.78,-7.64,804,765,796,838,866,33.333333333333336,0.384,-0.389,0.852
17472,1758110959074,-21.87,-24.81,-7.66,800,779,796,816,861,34.48275862068966,0.384,-0.39,0.852
17492,1758110959103,-21.9,-24.83,-7.67,802,779,789,823,862,50.0,0.384,-0.393,0.852
