timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
83343,1758111293816,-0.03,-75.59,-80.21,842,782,886,886,906,34.48275862068966,0.045,-0.959,0.332
83372,1758111293849,-0.02,-75.59,-80.22,841,777,893,897,903,34.48275862068966,0.045,-0.959,0.332
83402,1758111293880,-0.01,-75.59,-80.23,845,776,892,894,903,33.333333333333336,0.045,-0.96,0.333
83432,1758111293912,-0.02,-75.56,-80.25,845,776,871,882,899,33.333333333333336,0.045,-0.959,0.331
83461,1758111293941,-0.04,-75.56,-80.28,839,780,885,888,899,34.48275862068966,0.045,-0.96,0.331
83491,1758111293969,-0.05,-75.55,-80.29,845,778,889,886,900,33.333333333333336,0.045,-0.959,0.333
83520,1758111293998,-0.03,-75.54,-80.32,846,776,890,890,901,34.48275862068966,0.045,-0.958,0.334
83550,1758111294027,-0.01,-75.5,-80.36,837,771,890,888,906,33.333333333333336,0.045,-0.96,0.334
83570,1758111294053,-0.04,-75.39,-80.38,844,785,880,879,898,50.0,0.045,-0.959,0.332
83599,1758111294079,-0.1,-75.35,-80.4,843,772,875,889,898,34.48275862068966,0.045,-0.96,0.332
83629,1758111294105,-0.14,-75.35,-80.42,839,781,880,891,894,33.333333333333336,0.045,-0.959,0.334
83659,1758111294131,-0.15,-75.31,-80.44,837,767,878,877,907,33.333333333333336,0.046,-0.958,0.336
83688,1758111294160,-0.15,-75.3,-80.45,836,776,891,887,905,34.48275862068966,0.045,-0.958,0.333
83718,1758111294189,-0.17,-75.41,-80.46,833,773,887,885,904,33.333333333333336,0.046,-0.959,0.334
83748,1758111294217,-0.17,-75.43,-80.47,841,774,886,881,903,33.333333333333336,0.046,-0.958,0.336
83777,1758111294245,-0.19,-75.34,-80.5,839,779,882,891,912,34.48275862068966,0.046,-0.956,0.335
83807,1758111294277,-0.2,-75.36,-80.52,843,762,889,891,903,33.333333333333336,0.046,-0.958,0.335
83836,1758111294308,-0.2,-75.42,-80.53,840,769,878,890,889,34.48275862068966,0.046,-0.958,0.336
83866,1758111294339,-0.2,-75.42,-80.55,836,770,890,887,897,33.333333333333336,0.046,-0.957,0.337
83896,1758111294371,-0.21,-75.4,-80.58,843,777,876,882,899,33.333333333333336,0.046,-0.956,0.336
83925,1758111294405,-0.2,-75.43,-80.6,836,792,876,886,909,34.48275862068966,0.046,-0.958,0.336
83954,1758111294439,-0.2,-75.45,-80.63,846,765,886,886,903,34.48275862068966,0.047,-0.956,0.337
83984,1758111294473,-0.19,-75.41,-80.67,843,769,881,881,902,33.333333333333336,0.046,-0.956,0.337
84013,1758111294504,-0.15,-75.45,-80.7,840,780,886,889,904,34.48275862068966,0.046,-0.958,0.337
84043,1758111294535,-0.14,-75.47,-80.72,839,777,887,885,897,33.333333333333336,0.047,-0.957,0.336
84072,1758111294566,-0.13,-75.46,-80.74,838,780,874,885,903,34.48275862068966,0.047,-0.957,0.335
84101,1758111294597,-0.14,-75.48,-80.76,832,773,893,890,904,34.48275862068966,0.047,-0.958,0.335
84131,1758111294625,-0.13,-75.5,-80.78,836,778,884,892,899,33.333333333333336,0.047,-0.957,0.335
84161,1758111294652,-0.13,-75.48,-80.8,848,767,882,895,906,33.333333333333336,0.047,-0.957,0.335
84190,1758111294680,-0.14,-75.49,-80.82,835,779,889,891,907,34.48275862068966,0.047,-0.958,0.333
84219,1758111294708,-0.15,-75.47,-80.83,845,773,877,890,906,34.48275862068966,0.047,-0.957,0.335
84249,1758111294736,-0.16,-75.46,-80.85,843,779,877,889,900,33.333333333333336,0.047,-0.957,0.335
84278,1758111294763,-0.16,-75.45,-80.87,841,770,891,901,901,34.48275862068966,0.047,-0.958,0.334
84308,1758111294791,-0.16,-75.45,-80.89,841,768,873,893,902,33.333333333333336,0.047,-0.958,0.335
84338,1758111294819,-0.17,-75.48,-80.9,833,779,871,892,909,33.333333333333336,0.047,-0.958,0.335
84367,1758111294850,-0.17,-75.43,-80.92,828,784,894,904,907,34.48275862068966,0.047,-0.957,0.335
84397,1758111294880,-0.17,-75.45,-80.94,838,767,879,893,902,33.333333333333336,0.047,-0.959,0.336
84426,1758111294911,-0.18,-75.45,-80.96,847,768,889,886,908,34.48275862068966,0.047,-0.958,0.336
84456,1758111294941,-0.18,-75.42,-80.98,845,772,888,881,931,33.333333333333336,0.047,-0.956,0.336
84485,1758111294975,-0.17,-75.43,-81.0,841,769,867,884,906,34.48275862068966,0.047,-0.957,0.335
84515,1758111295009,-0.17,-75.44,-81.03,837,771,885,886,900,33.333333333333336,0.047,-0.958,0.335
84544,1758111295042,-0.16,-75.43,-81.04,845,776,893,884,898,34.48275862068966,0.047,-0.957,0.336
84574,1758111295073,-0.16,-75.41,-81.07,843,767,885,884,901,33.333333333333336,0.047,-0.957,0.336
84604,1758111295103,-0.15,-75.45,-81.08,843,778,885,890,898,33.333333333333336,0.047,-0.958,0.335
84633,1758111295133,-0.17,-75.46,-81.08,842,779,884,889,908,34.48275862068966,0.047,-0.958,0.334
84663,1758111295163,-0.2,-75.46,-81.11,841,785,875,890,902,33.333333333333336,0.047,-0.957,0.335
84692,1758111295191,-0.18,-75.43,-81.14,842,770,880,895,899,34.48275862068966,0.047,-0.957,0.336
84722,1758111295218,-0.16,-75.45,-81.16,844,775,884,886,901,33.333333333333336,0.047,-0.958,0.336
