timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
162983,1758111626712,43.17,56.92,-4.6,808,853,842,819,837,34.48275862068966,-0.676,0.606,0.395
163013,1758111626746,43.17,56.91,-4.61,802,848,847,806,834,33.333333333333336,-0.675,0.607,0.394
163042,1758111626780,43.17,56.91,-4.61,810,860,828,818,827,34.48275862068966,-0.676,0.606,0.395
163072,1758111626811,43.17,56.92,-4.62,805,860,828,821,825,33.333333333333336,-0.676,0.607,0.395
163101,1758111626841,43.18,56.91,-4.63,801,858,834,814,828,34.48275862068966,-0.676,0.606,0.396
163131,1758111626871,43.19,56.9,-4.63,800,847,838,833,821,33.333333333333336,-0.676,0.606,0.396
163160,1758111626902,43.19,56.9,-4.62,808,853,826,840,834,34.48275862068966,-0.678,0.606,0.396
163190,1758111626930,43.19,56.89,-4.62,804,863,834,815,824,33.333333333333336,-0.678,0.605,0.396
163219,1758111626958,43.18,56.89,-4.61,803,853,847,826,826,34.48275862068966,-0.676,0.606,0.395
163248,1758111626985,43.18,56.89,-4.6,803,846,832,818,835,34.48275862068966,-0.676,0.606,0.395
163278,1758111627013,43.18,56.87,-4.6,804,870,825,834,828,33.333333333333336,-0.675,0.606,0.395
163307,1758111627040,43.18,56.86,-4.61,807,852,838,830,815,34.48275862068966,-0.676,0.606,0.395
163337,1758111627068,43.16,56.86,-4.6,807,844,826,822,826,33.333333333333336,-0.677,0.605,0.396
163366,1758111627096,43.16,56.87,-4.62,807,851,840,821,823,34.48275862068966,-0.676,0.606,0.397
163396,1758111627124,43.2,56.88,-4.65,803,858,838,814,823,33.333333333333336,-0.676,0.607,0.398
163425,1758111627155,43.26,56.89,-4.69,809,855,834,817,829,34.48275862068966,-0.677,0.606,0.397
163454,1758111627185,43.29,56.9,-4.71,809,865,816,855,830,34.48275862068966,-0.677,0.605,0.396
163484,1758111627215,43.3,56.9,-4.7,802,852,840,806,832,33.333333333333336,-0.677,0.605,0.394
163513,1758111627245,43.28,56.88,-4.69,806,853,832,833,833,34.48275862068966,-0.677,0.604,0.393
163543,1758111627278,43.27,56.88,-4.66,804,850,836,814,826,33.333333333333336,-0.678,0.603,0.394
163572,1758111627311,43.25,56.86,-4.63,807,854,835,819,826,34.48275862068966,-0.676,0.605,0.394
163602,1758111627344,43.24,56.84,-4.63,806,850,840,827,826,33.333333333333336,-0.676,0.606,0.394
163631,1758111627377,43.24,56.84,-4.62,815,847,843,819,823,34.48275862068966,-0.676,0.607,0.395
163661,1758111627408,43.24,56.85,-4.64,809,857,839,823,842,33.333333333333336,-0.674,0.608,0.394
163691,1758111627438,43.25,56.84,-4.65,797,849,833,811,833,33.333333333333336,-0.675,0.607,0.395
163720,1758111627468,43.26,56.84,-4.67,812,848,837,823,829,34.48275862068966,-0.675,0.606,0.394
163750,1758111627498,43.26,56.83,-4.7,805,852,843,813,826,33.333333333333336,-0.675,0.606,0.394
163779,1758111627525,43.27,56.84,-4.73,805,853,848,821,825,34.48275862068966,-0.675,0.606,0.395
163809,1758111627552,43.29,56.83,-4.78,808,859,824,824,820,33.333333333333336,-0.676,0.606,0.395
163838,1758111627579,43.32,56.84,-4.8,815,853,829,819,827,34.48275862068966,-0.677,0.606,0.395
163868,1758111627606,43.33,56.84,-4.82,808,846,835,813,832,33.333333333333336,-0.678,0.604,0.395
163897,1758111627636,43.34,56.85,-4.82,807,859,832,814,835,34.48275862068966,-0.678,0.604,0.394
163926,1758111627666,43.35,56.85,-4.83,801,848,835,833,828,34.48275862068966,-0.678,0.604,0.393
163956,1758111627695,43.34,56.84,-4.83,807,861,839,817,827,33.333333333333336,-0.678,0.604,0.394
163985,1758111627725,43.34,56.84,-4.82,810,859,834,827,828,34.48275862068966,-0.678,0.604,0.393
164015,1758111627758,43.34,56.83,-4.83,811,853,826,819,832,33.333333333333336,-0.678,0.603,0.393
164044,1758111627790,43.33,56.84,-4.82,804,857,833,829,830,34.48275862068966,-0.678,0.604,0.393
164073,1758111627823,43.33,56.83,-4.83,806,852,832,823,831,34.48275862068966,-0.677,0.605,0.394
164103,1758111627855,43.34,56.82,-4.84,810,843,838,804,829,33.333333333333336,-0.677,0.604,0.394
164132,1758111627888,43.35,56.84,-4.84,809,854,841,821,829,34.48275862068966,-0.678,0.604,0.393
164162,1758111627920,43.34,56.83,-4.85,805,859,834,819,827,33.333333333333336,-0.678,0.604,0.394
164191,1758111627953,43.34,56.82,-4.85,803,853,844,821,825,34.48275862068966,-0.679,0.604,0.395
