timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
97877,1758097557702,-23.03,-40.46,-38.69,777,777,901,849,926,34.48275862068966,0.402,-0.609,0.705
97907,1758097557703,-23.04,-40.48,-38.72,781,775,914,877,919,33.333333333333336,0.402,-0.61,0.707
97936,1758097557706,-23.02,-40.48,-38.69,773,774,882,871,937,34.48275862068966,0.403,-0.612,0.707
97966,1758097557708,-23.01,-40.47,-38.67,779,772,925,878,920,33.333333333333336,0.402,-0.608,0.706
97995,1758097557710,-23.04,-40.48,-38.71,779,780,909,877,916,34.48275862068966,0.401,-0.604,0.704
98024,1758097557712,-23.07,-40.48,-38.75,781,777,916,866,931,34.48275862068966,0.402,-0.609,0.705
98054,1758097557714,-23.07,-40.47,-38.75,778,776,912,874,906,33.333333333333336,0.402,-0.612,0.706
98083,1758097557716,-23.09,-40.51,-38.74,774,765,910,856,922,34.48275862068966,0.402,-0.608,0.706
98113,1758097557718,-23.08,-40.5,-38.77,778,771,924,871,915,33.333333333333336,0.401,-0.61,0.706
98143,1758097557720,-23.06,-40.47,-38.77,778,777,900,911,919,33.333333333333336,0.403,-0.613,0.707
98173,1758097557722,-23.08,-40.47,-38.76,778,778,888,867,923,33.333333333333336,0.404,-0.61,0.706
98202,1758097557724,-23.09,-40.47,-38.78,778,771,902,851,921,34.48275862068966,0.403,-0.61,0.706
98223,1758097557726,-23.09,-40.45,-38.81,776,774,934,874,910,47.61904761904762,0.403,-0.609,0.706
98252,1758097557728,-23.09,-40.42,-38.82,784,770,891,857,921,34.48275862068966,0.405,-0.612,0.707
98282,1758097557730,-22.64,-40.44,-38.79,778,773,899,878,914,33.333333333333336,0.405,-0.613,0.709
98312,1758097557732,-22.61,-40.4,-38.77,775,771,910,860,921,33.333333333333336,0.403,-0.609,0.708
98341,1758097557734,-22.58,-40.39,-38.75,774,771,889,879,906,34.48275862068966,0.401,-0.608,0.706
98362,1758097557736,-22.59,-40.39,-38.76,787,767,896,872,915,47.61904761904762,0.401,-0.607,0.704
98391,1758097557738,-22.62,-40.35,-38.77,780,765,910,877,905,34.48275862068966,0.403,-0.609,0.704
98421,1758097557740,-22.66,-40.36,-38.78,772,782,914,882,925,33.333333333333336,0.404,-0.609,0.708
98451,1758097557742,-22.65,-40.43,-38.79,782,767,923,870,916,33.333333333333336,0.402,-0.609,0.707
98481,1758097557744,-22.65,-40.38,-38.81,781,774,906,865,927,33.333333333333336,0.4,-0.609,0.706
98510,1758097557746,-22.67,-40.38,-38.81,776,777,902,870,921,34.48275862068966,0.401,-0.606,0.706
98540,1758097557748,-22.69,-40.41,-38.84,777,779,896,879,922,33.333333333333336,0.403,-0.607,0.707
98569,1758097557750,-22.68,-40.36,-38.84,781,782,917,868,927,34.48275862068966,0.403,-0.612,0.708
98598,1758097557752,-22.67,-40.33,-38.84,780,773,880,872,920,34.48275862068966,0.401,-0.607,0.708
98628,1758097557754,-22.66,-40.36,-38.85,781,762,913,864,921,33.333333333333336,0.401,-0.609,0.706
98657,1758097557756,-22.66,-40.34,-38.83,780,774,907,877,910,34.48275862068966,0.402,-0.61,0.707
98687,1758097557758,-22.67,-40.29,-38.83,776,771,913,878,917,33.333333333333336,0.401,-0.605,0.708
98707,1758097557760,-22.68,-40.29,-38.84,774,775,902,880,926,50.0,0.4,-0.605,0.707
98736,1758097557785,-22.67,-40.27,-38.81,779,768,900,860,918,34.48275862068966,0.401,-0.608,0.71
98766,1758097557815,-22.65,-40.28,-38.79,775,768,904,879,921,33.333333333333336,0.401,-0.608,0.711
98795,1758097557845,-22.6,-40.24,-38.78,778,773,914,859,915,34.48275862068966,0.4,-0.608,0.709
98825,1758097557874,-22.61,-40.21,-38.78,773,780,932,870,931,33.333333333333336,0.399,-0.605,0.706
98855,1758097557904,-22.69,-40.22,-38.82,776,781,896,866,925,33.333333333333336,0.4,-0.602,0.705
98885,1758097557934,-22.73,-40.24,-38.86,773,776,895,851,942,33.333333333333336,0.402,-0.603,0.71
98914,1758097557963,-22.76,-40.26,-38.88,779,775,897,874,918,34.48275862068966,0.4,-0.606,0.71
98944,1758097557992,-22.75,-40.27,-38.87,778,779,885,892,919,33.333333333333336,0.399,-0.608,0.71
98973,1758097558022,-22.71,-40.2,-38.85,777,771,903,872,905,34.48275862068966,0.4,-0.609,0.711
99003,1758097558051,-22.69,-40.21,-38.82,776,775,884,871,921,33.333333333333336,0.4,-0.607,0.711
99032,1758097558081,-22.69,-40.22,-38.82,772,780,915,867,921,34.48275862068966,0.399,-0.606,0.71
99061,1758097558110,-22.69,-40.17,-38.84,774,767,901,877,913,34.48275862068966,0.4,-0.607,0.71
99091,1758097558140,-22.7,-40.2,-38.85,780,775,918,871,919,33.333333333333336,0.4,-0.604,0.71
99120,1758097558170,-22.71,-40.25,-38.86,785,776,919,879,931,34.48275862068966,0.399,-0.609,0.709
99150,1758097558199,-22.69,-40.2,-38.85,778,775,900,868,921,33.333333333333336,0.4,-0.61,0.711
99180,1758097558229,-22.7,-40.22,-38.86,771,778,926,856,923,33.333333333333336,0.4,-0.606,0.71
99209,1758097558258,-22.71,-40.24,-38.87,774,783,890,865,910,34.48275862068966,0.4,-0.609,0.709
99239,1758097558287,-22.72,-40.21,-38.89,780,778,902,866,921,33.333333333333336,0.4,-0.609,0.709
99268,1758097558317,-22.72,-40.19,-38.89,778,773,909,875,927,34.48275862068966,0.402,-0.609,0.711
99298,1758097558347,-22.69,-40.2,-38.88,777,777,882,880,917,33.333333333333336,0.402,-0.612,0.711
99327,1758097558376,-22.69,-40.17,-38.89,777,773,931,868,921,34.48275862068966,0.401,-0.61,0.71
99356,1758097558406,-22.71,-40.13,-38.94,779,763,897,855,940,34.48275862068966,0.398,-0.604,0.708
99386,1758097558435,-22.76,-40.15,-39.0,775,787,901,872,912,33.333333333333336,0.397,-0.604,0.706
99416,1758097558465,-22.82,-40.15,-39.03,774,780,899,868,931,33.333333333333336,0.399,-0.607,0.708
