timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
158984,1758096910690,20.6,-85.33,-50.08,782,773,845,828,899,34.48275862068966,-0.352,-0.946,0.08
159014,1758096910692,20.61,-85.32,-50.09,779,770,851,833,896,33.333333333333336,-0.352,-0.945,0.079
159034,1758096910694,20.61,-85.32,-50.09,784,772,850,837,904,50.0,-0.352,-0.947,0.078
159063,1758096910696,20.59,-85.3,-50.09,780,776,834,836,898,34.48275862068966,-0.353,-0.947,0.078
159093,1758096910698,20.55,-85.29,-50.1,785,782,834,834,895,33.333333333333336,-0.352,-0.944,0.078
159122,1758096910700,20.54,-85.27,-50.13,779,762,840,828,893,34.48275862068966,-0.353,-0.946,0.081
159152,1758096910702,20.54,-85.23,-50.17,771,772,840,839,907,33.333333333333336,-0.353,-0.944,0.081
159181,1758096910704,20.54,-85.18,-50.23,774,780,837,825,893,34.48275862068966,-0.352,-0.944,0.08
159211,1758096910706,20.53,-85.15,-50.25,782,781,846,830,900,33.333333333333336,-0.352,-0.947,0.078
159240,1758096910708,20.53,-85.14,-50.23,781,775,841,837,898,34.48275862068966,-0.351,-0.948,0.08
159270,1758096910710,20.57,-85.14,-50.19,781,780,835,833,925,33.333333333333336,-0.351,-0.948,0.081
159299,1758096910712,20.59,-85.13,-50.16,782,767,834,834,893,34.48275862068966,-0.351,-0.946,0.08
159329,1758096910714,20.57,-85.13,-50.14,778,769,852,829,904,33.333333333333336,-0.353,-0.946,0.082
159358,1758096910716,20.56,-85.11,-50.14,777,774,848,838,905,34.48275862068966,-0.351,-0.943,0.081
159388,1758096910721,20.53,-85.1,-50.13,781,776,848,831,900,33.333333333333336,-0.35,-0.946,0.08
159417,1758096910751,20.51,-85.11,-50.1,778,765,842,838,900,34.48275862068966,-0.351,-0.945,0.084
159437,1758096910771,20.5,-85.12,-50.09,782,777,842,831,895,50.0,-0.351,-0.943,0.085
159467,1758096910800,20.5,-85.08,-50.07,777,773,832,833,890,33.333333333333336,-0.352,-0.944,0.083
159496,1758096910830,20.47,-85.0,-50.04,784,777,844,830,902,34.48275862068966,-0.351,-0.943,0.084
159526,1758096910859,20.48,-84.99,-50.04,783,774,846,840,902,33.333333333333336,-0.352,-0.939,0.086
159555,1758096910889,20.52,-85.04,-50.07,766,768,857,833,902,34.48275862068966,-0.354,-0.942,0.086
159585,1758096910919,20.51,-85.01,-50.11,794,776,846,827,901,33.333333333333336,-0.354,-0.941,0.087
159605,1758096910938,20.51,-85.0,-50.15,784,758,848,832,879,50.0,-0.354,-0.939,0.087
159634,1758096910968,20.54,-85.07,-50.22,779,778,833,836,900,34.48275862068966,-0.355,-0.942,0.083
159664,1758096910997,20.53,-85.07,-50.23,778,782,836,840,900,33.333333333333336,-0.354,-0.944,0.084
159693,1758096911027,20.57,-85.04,-50.25,786,769,842,835,895,34.48275862068966,-0.353,-0.942,0.086
159723,1758096911056,20.59,-85.06,-50.29,774,768,835,834,893,33.333333333333336,-0.354,-0.944,0.083
159752,1758096911086,20.57,-85.06,-50.3,784,770,841,838,896,34.48275862068966,-0.354,-0.947,0.081
159782,1758096911115,20.52,-84.97,-50.25,787,767,845,838,895,33.333333333333336,-0.351,-0.946,0.082
159811,1758096911145,20.55,-84.98,-50.26,777,779,843,837,904,34.48275862068966,-0.35,-0.943,0.086
159841,1758096911174,20.61,-85.09,-50.28,776,774,839,834,894,33.333333333333336,-0.352,-0.945,0.087
159870,1758096911204,20.63,-85.06,-50.3,783,778,842,836,902,34.48275862068966,-0.351,-0.946,0.083
159900,1758096911233,20.57,-84.94,-50.31,777,774,844,852,899,33.333333333333336,-0.35,-0.945,0.081
159929,1758096911263,20.58,-84.94,-50.3,780,774,840,832,904,34.48275862068966,-0.352,-0.946,0.086
159959,1758096911292,20.65,-85.06,-50.3,774,774,831,832,899,33.333333333333336,-0.352,-0.946,0.085
159988,1758096911322,20.64,-85.03,-50.31,776,778,851,833,897,34.48275862068966,-0.352,-0.947,0.084
160018,1758096911351,20.66,-84.99,-50.29,766,775,856,825,904,33.333333333333336,-0.352,-0.946,0.083
160047,1758096911380,20.66,-85.03,-50.28,777,777,845,827,901,34.48275862068966,-0.353,-0.947,0.083
160076,1758096911410,20.67,-85.06,-50.28,786,767,842,837,903,34.48275862068966,-0.352,-0.946,0.084
160106,1758096911439,20.68,-85.03,-50.28,781,776,845,842,904,33.333333333333336,-0.352,-0.946,0.083
160135,1758096911469,20.66,-85.01,-50.26,772,765,848,833,899,34.48275862068966,-0.352,-0.946,0.083
160165,1758096911498,20.67,-85.06,-50.27,780,773,849,841,891,33.333333333333336,-0.353,-0.944,0.083
160194,1758096911528,20.66,-85.1,-50.32,783,771,842,836,895,34.48275862068966,-0.354,-0.948,0.081
160224,1758096911557,20.62,-85.05,-50.26,783,785,843,829,899,33.333333333333336,-0.353,-0.95,0.08
160253,1758096911587,20.63,-85.05,-50.21,787,784,843,839,900,34.48275862068966,-0.35,-0.947,0.084
160283,1758096911616,20.72,-85.09,-50.2,775,769,842,838,889,33.333333333333336,-0.352,-0.945,0.086
160312,1758096911646,20.76,-85.14,-50.19,781,768,849,827,903,34.48275862068966,-0.353,-0.947,0.083
