timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
174778,1758097818179,-15.09,-79.42,-92.0,833,778,775,805,841,34.48275862068966,0.274,-0.964,0.169
174808,1758097818181,-15.12,-79.44,-92.03,843,782,767,806,834,33.333333333333336,0.274,-0.963,0.169
174837,1758097818183,-15.12,-79.44,-92.05,833,779,778,808,842,34.48275862068966,0.275,-0.964,0.17
174867,1758097818185,-15.08,-79.42,-92.05,835,777,783,810,840,33.333333333333336,0.275,-0.964,0.171
174896,1758097818187,-15.09,-79.44,-92.06,839,776,784,817,840,34.48275862068966,0.274,-0.965,0.168
174926,1758097818189,-15.13,-79.45,-92.07,833,766,774,805,837,33.333333333333336,0.274,-0.964,0.169
174956,1758097818191,-15.13,-79.49,-92.1,837,780,784,803,850,33.333333333333336,0.274,-0.963,0.17
174985,1758097818192,-15.12,-79.47,-92.12,836,779,787,815,830,34.48275862068966,0.274,-0.965,0.169
175015,1758097818195,-15.12,-79.42,-92.14,833,768,770,807,827,33.333333333333336,0.275,-0.964,0.169
175035,1758097818197,-15.12,-79.42,-92.14,840,773,780,812,840,50.0,0.275,-0.964,0.17
175064,1758097818199,-15.11,-79.43,-92.16,828,780,779,810,836,34.48275862068966,0.275,-0.963,0.17
175094,1758097818201,-15.11,-79.4,-92.17,840,765,782,814,838,33.333333333333336,0.275,-0.963,0.17
175123,1758097818203,-15.12,-79.43,-92.18,836,772,784,810,841,34.48275862068966,0.275,-0.964,0.171
175152,1758097818205,-15.12,-79.41,-92.2,837,791,778,802,837,34.48275862068966,0.275,-0.963,0.171
175182,1758097818207,-15.12,-79.41,-92.2,834,767,773,811,836,33.333333333333336,0.276,-0.964,0.171
175212,1758097818209,-15.12,-79.44,-92.22,834,778,788,805,837,33.333333333333336,0.275,-0.963,0.17
175242,1758097818211,-15.12,-79.43,-92.24,839,774,782,801,835,33.333333333333336,0.276,-0.964,0.172
175271,1758097818213,-15.11,-79.35,-92.26,841,768,784,811,844,34.48275862068966,0.275,-0.963,0.17
175301,1758097818215,-15.11,-79.29,-92.29,835,775,778,813,844,33.333333333333336,0.274,-0.962,0.169
175330,1758097818217,-15.12,-79.29,-92.3,843,774,772,819,843,34.48275862068966,0.274,-0.96,0.169
175360,1758097818225,-15.12,-79.3,-92.31,835,780,783,808,836,33.333333333333336,0.274,-0.96,0.171
175389,1758097818254,-15.1,-79.27,-92.33,836,777,782,808,845,34.48275862068966,0.274,-0.959,0.171
175419,1758097818284,-15.12,-79.26,-92.35,830,771,784,817,841,33.333333333333336,0.274,-0.957,0.171
175449,1758097818313,-15.13,-79.27,-92.38,839,780,782,810,842,33.333333333333336,0.274,-0.961,0.172
175478,1758097818343,-15.15,-79.25,-92.37,834,768,776,811,839,34.48275862068966,0.275,-0.96,0.173
175507,1758097818373,-15.13,-79.22,-92.38,833,765,776,815,842,34.48275862068966,0.276,-0.961,0.172
175537,1758097818402,-15.14,-79.17,-92.4,836,763,784,814,845,33.333333333333336,0.276,-0.961,0.174
175567,1758097818432,-15.14,-79.07,-92.42,834,776,783,799,837,33.333333333333336,0.275,-0.96,0.174
175587,1758097818452,-15.16,-79.02,-92.44,839,776,775,823,844,50.0,0.274,-0.961,0.176
175616,1758097818481,-15.15,-79.01,-92.45,845,765,776,811,842,34.48275862068966,0.275,-0.962,0.176
175646,1758097818511,-15.15,-78.98,-92.45,834,761,779,810,844,33.333333333333336,0.276,-0.961,0.176
175675,1758097818540,-15.14,-78.94,-92.46,836,782,782,794,843,34.48275862068966,0.275,-0.961,0.177
175705,1758097818570,-15.16,-78.97,-92.48,836,780,786,802,840,33.333333333333336,0.276,-0.961,0.176
175734,1758097818599,-15.17,-78.95,-92.49,839,777,785,804,840,34.48275862068966,0.276,-0.961,0.177
175764,1758097818628,-15.17,-78.93,-92.52,841,774,782,804,841,33.333333333333336,0.277,-0.96,0.178
175793,1758097818658,-15.15,-78.91,-92.54,835,774,774,803,842,34.48275862068966,0.276,-0.961,0.178
175822,1758097818687,-15.14,-78.91,-92.55,840,780,770,806,845,34.48275862068966,0.276,-0.961,0.179
175852,1758097818717,-15.15,-78.88,-92.55,835,780,771,805,845,33.333333333333336,0.275,-0.961,0.179
175881,1758097818746,-15.17,-78.83,-92.55,839,774,778,808,841,34.48275862068966,0.276,-0.961,0.179
175911,1758097818776,-15.18,-78.83,-92.58,837,776,778,811,844,33.333333333333336,0.276,-0.96,0.181
175941,1758097818806,-15.15,-78.84,-92.59,841,774,783,807,835,33.333333333333336,0.275,-0.961,0.181
175970,1758097818835,-15.16,-78.81,-92.59,840,767,788,808,839,34.48275862068966,0.275,-0.96,0.18
176000,1758097818864,-15.18,-78.82,-92.61,843,773,783,804,839,33.333333333333336,0.276,-0.96,0.181
176029,1758097818894,-15.18,-78.81,-92.62,834,776,792,802,834,34.48275862068966,0.276,-0.96,0.181
176058,1758097818924,-15.18,-78.78,-92.64,836,781,784,812,836,34.48275862068966,0.276,-0.96,0.182
176088,1758097818953,-15.19,-78.78,-92.65,839,770,773,814,841,33.333333333333336,0.276,-0.959,0.181
176117,1758097818983,-15.22,-78.75,-92.69,838,767,783,812,868,34.48275862068966,0.276,-0.96,0.182
176147,1758097819012,-15.22,-78.62,-92.7,834,774,778,809,843,33.333333333333336,0.274,-0.964,0.18
176176,1758097819042,-15.25,-78.45,-92.69,836,781,783,805,840,34.48275862068966,0.275,-0.964,0.183
176206,1758097819071,-15.26,-78.46,-92.69,834,773,782,809,852,33.333333333333336,0.276,-0.959,0.185
176236,1758097819101,-15.26,-78.54,-92.73,832,781,771,808,836,33.333333333333336,0.276,-0.961,0.185
176265,1758097819130,-15.25,-78.49,-92.72,839,766,784,804,838,34.48275862068966,0.275,-0.962,0.186
176295,1758097819160,-15.25,-78.48,-92.73,833,773,778,810,844,33.333333333333336,0.276,-0.96,0.187
176324,1758097819190,-15.23,-78.52,-92.77,839,765,788,811,832,34.48275862068966,0.277,-0.959,0.187
176354,1758097819219,-15.21,-78.52,-92.79,839,772,785,814,838,33.333333333333336,0.276,-0.961,0.186
176384,1758097819248,-15.21,-78.53,-92.79,836,783,783,804,845,33.333333333333336,0.276,-0.96,0.186
176413,1758097819278,-15.2,-78.57,-92.82,832,771,787,813,840,34.48275862068966,0.277,-0.96,0.186
176443,1758097819308,-15.18,-78.56,-92.85,843,777,788,811,848,33.333333333333336,0.277,-0.96,0.187
176472,1758097819337,-15.14,-78.55,-92.88,835,778,773,812,836,34.48275862068966,0.277,-0.959,0.188
176502,1758097819367,-15.13,-78.58,-92.9,837,765,779,812,841,33.333333333333336,0.277,-0.96,0.186
176531,1758097819396,-15.14,-78.6,-92.94,839,786,784,806,835,34.48275862068966,0.277,-0.96,0.187
176561,1758097819426,-15.15,-78.64,-92.95,838,776,775,800,873,33.333333333333336,0.276,-0.961,0.187
176590,1758097819456,-15.16,-78.65,-92.95,834,773,786,803,834,34.48275862068966,0.277,-0.96,0.186
176620,1758097819486,-15.18,-78.62,-92.97,843,780,786,811,841,33.333333333333336,0.279,-0.959,0.187
176650,1758097819515,-15.15,-78.57,-93.0,831,764,791,815,836,33.333333333333336,0.278,-0.96,0.181
176680,1758097819545,-15.14,-78.53,-92.97,835,781,788,811,844,33.333333333333336,0.278,-0.959,0.181
176709,1758097819575,-15.19,-78.51,-92.99,839,778,785,814,836,34.48275862068966,0.279,-0.959,0.183
176739,1758097819604,-15.17,-78.51,-93.01,836,767,775,812,848,33.333333333333336,0.279,-0.958,0.185
176769,1758097819634,-15.15,-78.53,-93.04,840,775,780,813,845,33.333333333333336,0.277,-0.96,0.185
176798,1758097819664,-15.17,-78.4,-93.05,834,767,778,815,870,34.48275862068966,0.277,-0.958,0.185
176828,1758097819693,-15.17,-78.42,-93.07,836,769,782,806,845,33.333333333333336,0.277,-0.957,0.188
176858,1758097819723,-15.15,-78.4,-93.06,838,779,778,813,832,33.333333333333336,0.277,-0.96,0.189
176887,1758097819752,-15.14,-78.36,-93.09,841,773,773,812,840,34.48275862068966,0.277,-0.958,0.188
176917,1758097819782,-15.16,-78.37,-93.08,840,779,784,820,843,33.333333333333336,0.277,-0.958,0.189
176946,1758097819811,-15.15,-78.36,-93.09,835,781,783,810,846,34.48275862068966,0.277,-0.958,0.189
176976,1758097819841,-15.21,-78.32,-93.1,836,770,780,806,843,33.333333333333336,0.277,-0.958,0.189
177005,1758097819870,-15.2,-78.31,-93.13,838,779,791,814,844,34.48275862068966,0.278,-0.957,0.192
177035,1758097819900,-15.14,-78.25,-93.16,839,772,784,815,844,33.333333333333336,0.278,-0.958,0.192
177064,1758097819929,-15.18,-78.13,-93.2,836,776,781,806,843,34.48275862068966,0.278,-0.959,0.191
177094,1758097819959,-15.21,-78.13,-93.19,839,770,772,814,843,33.333333333333336,0.279,-0.957,0.193
