timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
26108,1758102041375,52.7,14.01,8.83,783,849,807,852,850,34.48275862068966,-0.788,0.155,0.59
26138,1758102041377,52.71,14.02,8.84,781,847,814,859,859,33.333333333333336,-0.789,0.157,0.588
26168,1758102041379,52.68,14.04,8.8,790,838,809,856,873,33.333333333333336,-0.788,0.158,0.587
26197,1758102041381,52.66,14.03,8.74,783,847,814,853,865,34.48275862068966,-0.789,0.158,0.587
26227,1758102041383,52.62,14.05,8.68,785,854,802,849,872,33.333333333333336,-0.788,0.158,0.588
26257,1758102041385,52.61,14.05,8.59,779,836,814,849,869,33.333333333333336,-0.788,0.158,0.589
26287,1758102041387,52.58,14.13,8.5,783,846,804,855,884,33.333333333333336,-0.787,0.157,0.59
26316,1758102041389,52.55,14.17,8.39,787,847,799,857,863,34.48275862068966,-0.786,0.156,0.59
26346,1758102041392,52.52,14.2,8.27,791,846,814,864,868,33.333333333333336,-0.787,0.152,0.592
26376,1758102041393,52.48,14.32,8.22,789,842,809,852,871,33.333333333333336,-0.788,0.15,0.594
26405,1758102041396,52.49,14.4,8.18,792,839,820,863,868,34.48275862068966,-0.788,0.148,0.594
26435,1758102041398,52.5,14.41,8.15,786,843,803,857,866,33.333333333333336,-0.787,0.146,0.593
26465,1758102041400,52.46,14.46,8.14,790,848,805,862,881,33.333333333333336,-0.787,0.146,0.591
26495,1758102041402,52.42,14.51,8.12,792,836,809,862,869,33.333333333333336,-0.787,0.146,0.591
26525,1758102041404,52.41,14.52,8.09,791,845,804,863,867,33.333333333333336,-0.789,0.145,0.592
26554,1758102041406,52.4,14.52,8.08,792,840,811,858,880,34.48275862068966,-0.79,0.144,0.595
26584,1758102041418,52.39,14.48,8.1,791,831,799,855,870,33.333333333333336,-0.79,0.143,0.598
26604,1758102041438,52.4,14.47,8.12,790,839,809,857,864,50.0,-0.788,0.145,0.597
26634,1758102041467,52.4,14.46,8.15,791,831,802,856,878,33.333333333333336,-0.786,0.147,0.595
26663,1758102041497,52.39,14.45,8.14,783,847,798,854,858,34.48275862068966,-0.786,0.148,0.594
26693,1758102041527,52.39,14.46,8.13,791,852,807,866,867,33.333333333333336,-0.787,0.15,0.594
26723,1758102041556,52.4,14.48,8.11,788,839,814,852,905,33.333333333333336,-0.785,0.15,0.594
26752,1758102041586,52.4,14.48,8.1,788,844,807,859,866,34.48275862068966,-0.785,0.15,0.594
26782,1758102041616,52.39,14.49,8.11,788,839,798,847,869,33.333333333333336,-0.785,0.149,0.595
26812,1758102041646,52.39,14.5,8.1,789,846,809,855,876,33.333333333333336,-0.786,0.149,0.593
26842,1758102041675,52.37,14.48,8.11,783,837,807,863,879,33.333333333333336,-0.786,0.148,0.593
26871,1758102041705,52.34,14.46,8.11,780,850,808,864,861,34.48275862068966,-0.786,0.148,0.592
26901,1758102041735,52.32,14.47,8.13,790,840,813,849,870,33.333333333333336,-0.787,0.15,0.593
26931,1758102041764,52.3,14.48,8.11,786,845,802,855,857,33.333333333333336,-0.786,0.15,0.592
26960,1758102041794,52.29,14.44,8.09,786,844,799,852,871,34.48275862068966,-0.787,0.15,0.593
26990,1758102041824,52.26,14.42,8.08,794,835,813,858,857,33.333333333333336,-0.787,0.149,0.593
27020,1758102041854,52.21,14.42,8.09,784,852,807,860,865,33.333333333333336,-0.786,0.15,0.595
27050,1758102041884,52.2,14.43,8.06,786,844,807,860,872,33.333333333333336,-0.785,0.15,0.597
27080,1758102041913,52.19,14.42,8.06,785,842,817,858,867,33.333333333333336,-0.785,0.149,0.598
27109,1758102041943,52.18,14.41,8.05,785,836,812,855,867,34.48275862068966,-0.786,0.148,0.597
27139,1758102041973,52.15,14.4,8.07,791,841,811,868,860,33.333333333333336,-0.785,0.148,0.596
27169,1758102042002,52.11,14.37,8.07,789,831,807,860,873,33.333333333333336,-0.785,0.149,0.597
27198,1758102042032,52.09,14.33,8.07,787,844,801,857,888,34.48275862068966,-0.784,0.148,0.598
27228,1758102042062,52.07,14.33,8.07,786,843,812,865,860,33.333333333333336,-0.785,0.148,0.598
27258,1758102042092,52.05,14.38,8.06,784,847,807,867,861,33.333333333333336,-0.784,0.149,0.597
27288,1758102042121,51.98,14.38,8.03,789,839,806,857,872,33.333333333333336,-0.783,0.149,0.597
27317,1758102042151,51.89,14.35,8.02,787,830,810,862,867,34.48275862068966,-0.782,0.148,0.6
27347,1758102042180,51.85,14.32,8.0,787,844,800,861,862,33.333333333333336,-0.781,0.147,0.602
27376,1758102042210,51.85,14.31,7.97,784,834,809,855,856,34.48275862068966,-0.782,0.145,0.605
27406,1758102042240,51.89,14.31,7.97,790,845,796,859,864,33.333333333333336,-0.781,0.144,0.605
27436,1758102042270,51.96,14.29,7.98,788,841,804,856,868,33.333333333333336,-0.781,0.144,0.604
