timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
39071,1758103874690,-16.46,-41.64,-6.27,792,780,770,832,869,33.333333333333336,0.296,-0.642,0.727
39101,1758103874692,-16.48,-41.67,-6.25,790,777,776,812,878,33.333333333333336,0.296,-0.64,0.728
39130,1758103874694,-16.49,-41.66,-6.26,786,786,780,820,884,34.48275862068966,0.296,-0.639,0.729
39160,1758103874696,-16.49,-41.66,-6.27,783,777,778,809,868,33.333333333333336,0.296,-0.64,0.729
39189,1758103874698,-16.46,-41.67,-6.23,790,790,781,806,868,34.48275862068966,0.296,-0.643,0.729
39219,1758103874700,-16.44,-41.67,-6.21,791,783,786,815,876,33.333333333333336,0.297,-0.643,0.728
39249,1758103874702,-16.45,-41.68,-6.2,789,780,780,824,877,33.333333333333336,0.296,-0.642,0.726
39278,1758103874704,-16.47,-41.68,-6.21,790,781,786,820,859,34.48275862068966,0.295,-0.641,0.725
39307,1758103874705,-16.48,-41.69,-6.2,793,778,777,816,868,34.48275862068966,0.295,-0.643,0.727
39337,1758103874707,-16.47,-41.68,-6.19,780,768,775,827,869,33.333333333333336,0.295,-0.644,0.727
39366,1758103874710,-16.47,-41.68,-6.17,793,778,780,819,876,34.48275862068966,0.296,-0.645,0.726
39396,1758103874711,-16.48,-41.69,-6.15,800,788,777,819,871,33.333333333333336,0.296,-0.644,0.726
39426,1758103874713,-16.48,-41.66,-6.12,781,777,777,820,863,33.333333333333336,0.296,-0.642,0.727
39455,1758103874715,-16.51,-41.65,-6.12,785,780,785,823,870,34.48275862068966,0.297,-0.641,0.728
39485,1758103874717,-16.5,-41.64,-6.11,786,775,777,823,872,33.333333333333336,0.296,-0.641,0.728
39514,1758103874719,-16.49,-41.62,-6.1,786,787,779,814,858,34.48275862068966,0.295,-0.642,0.728
39544,1758103874721,-16.5,-41.63,-6.1,789,779,787,816,866,33.333333333333336,0.295,-0.643,0.728
39574,1758103874723,-16.52,-41.62,-6.1,793,785,781,822,865,33.333333333333336,0.295,-0.642,0.726
39603,1758103874748,-16.54,-41.61,-6.09,796,787,778,816,877,34.48275862068966,0.295,-0.642,0.726
39633,1758103874778,-16.53,-41.61,-6.06,787,788,784,805,865,33.333333333333336,0.297,-0.642,0.729
39662,1758103874808,-16.5,-41.6,-6.03,783,780,778,823,869,34.48275862068966,0.297,-0.642,0.73
39692,1758103874837,-16.47,-41.6,-6.03,795,785,779,813,872,33.333333333333336,0.296,-0.64,0.729
39721,1758103874866,-16.49,-41.61,-6.05,799,780,777,823,868,34.48275862068966,0.295,-0.639,0.726
39751,1758103874896,-16.52,-41.62,-6.06,779,778,786,811,868,33.333333333333336,0.295,-0.641,0.726
39780,1758103874926,-16.52,-41.65,-6.06,790,789,777,817,871,34.48275862068966,0.296,-0.643,0.728
39810,1758103874955,-16.51,-41.65,-6.04,789,784,776,821,869,33.333333333333336,0.297,-0.642,0.727
39840,1758103874985,-16.5,-41.64,-6.02,798,782,787,812,873,33.333333333333336,0.297,-0.641,0.727
39869,1758103875014,-16.51,-41.65,-6.04,782,783,780,834,877,34.48275862068966,0.297,-0.641,0.727
39899,1758103875044,-16.53,-41.66,-6.05,793,778,785,812,870,33.333333333333336,0.297,-0.643,0.726
39928,1758103875073,-16.55,-41.68,-6.03,795,775,788,819,880,34.48275862068966,0.297,-0.644,0.726
39958,1758103875103,-16.57,-41.69,-5.99,789,783,783,820,872,33.333333333333336,0.297,-0.644,0.726
39987,1758103875132,-16.57,-41.68,-5.97,790,779,778,815,870,34.48275862068966,0.297,-0.643,0.727
40017,1758103875162,-16.57,-41.67,-5.95,779,772,778,813,872,33.333333333333336,0.297,-0.643,0.728
40047,1758103875191,-16.56,-41.67,-5.94,789,781,778,816,874,33.333333333333336,0.299,-0.643,0.729
40076,1758103875221,-16.55,-41.66,-5.92,785,781,791,818,877,34.48275862068966,0.299,-0.643,0.728
