timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
47708,1758104073323,60.34,18.71,-97.36,865,926,776,798,817,33.333333333333336,-0.72,0.095,0.684
47737,1758104073325,60.37,18.64,-97.23,865,928,785,782,818,34.48275862068966,-0.72,0.095,0.687
47767,1758104073327,60.39,18.67,-97.05,866,931,786,792,819,33.333333333333336,-0.721,0.091,0.686
47796,1758104073329,60.28,18.64,-96.92,869,915,785,793,821,34.48275862068966,-0.721,0.089,0.683
47826,1758104073331,60.2,18.7,-96.82,871,919,787,793,819,33.333333333333336,-0.721,0.091,0.685
47855,1758104073333,60.21,18.76,-96.7,875,933,782,797,822,34.48275862068966,-0.72,0.09,0.688
47885,1758104073335,60.24,18.81,-96.56,872,935,788,803,825,33.333333333333336,-0.722,0.086,0.686
47914,1758104073337,60.19,18.84,-96.42,869,923,779,792,824,34.48275862068966,-0.724,0.084,0.685
47944,1758104073339,60.12,18.83,-96.28,866,917,784,791,827,33.333333333333336,-0.722,0.085,0.684
47964,1758104073341,60.0,18.75,-96.17,867,922,777,792,819,50.0,-0.721,0.088,0.683
47993,1758104073343,59.93,18.76,-96.02,868,927,804,793,829,34.48275862068966,-0.721,0.089,0.682
48022,1758104073345,59.9,18.71,-95.88,872,928,791,784,833,34.48275862068966,-0.722,0.09,0.684
48052,1758104073347,59.92,18.67,-95.75,873,931,791,791,821,33.333333333333336,-0.721,0.089,0.684
48081,1758104073349,59.92,18.58,-95.59,867,930,773,797,817,34.48275862068966,-0.721,0.088,0.685
48111,1758104073351,59.87,18.46,-95.45,867,932,786,788,816,33.333333333333336,-0.719,0.089,0.685
48140,1758104073353,59.87,18.44,-95.37,867,929,779,792,825,34.48275862068966,-0.719,0.087,0.686
48170,1758104073355,59.91,18.41,-95.23,874,925,778,791,827,33.333333333333336,-0.721,0.083,0.688
48200,1758104073357,59.94,18.38,-95.06,870,923,793,801,818,33.333333333333336,-0.722,0.08,0.688
48229,1758104073359,60.0,18.31,-94.9,870,932,791,794,821,34.48275862068966,-0.723,0.079,0.688
48258,1758104073361,60.1,18.28,-94.74,864,926,789,795,820,34.48275862068966,-0.723,0.08,0.686
48288,1758104073363,60.12,18.21,-94.6,874,932,785,789,827,33.333333333333336,-0.72,0.08,0.683
48317,1758104073365,60.14,18.12,-94.55,863,931,772,796,823,34.48275862068966,-0.719,0.082,0.685
48347,1758104073367,60.13,18.09,-94.46,867,927,783,791,831,33.333333333333336,-0.721,0.082,0.685
48376,1758104073369,60.14,18.06,-94.37,864,922,781,790,828,34.48275862068966,-0.723,0.078,0.684
48405,1758104073372,60.14,18.02,-94.29,853,927,780,793,822,34.48275862068966,-0.724,0.074,0.685
48435,1758104073373,60.1,18.02,-94.16,869,934,780,791,825,33.333333333333336,-0.726,0.073,0.685
50158,1758104073376,59.12,16.44,-85.77,865,922,777,794,827,0.5803830528148578,-0.715,0.053,0.694
50188,1758104073378,59.14,16.42,-85.61,869,919,787,793,820,33.333333333333336,-0.715,0.051,0.696
50217,1758104073380,59.12,16.45,-85.43,867,927,779,799,819,34.48275862068966,-0.713,0.05,0.697
50246,1758104073383,59.1,16.43,-85.3,871,931,777,786,827,34.48275862068966,-0.713,0.053,0.696
50276,1758104073385,59.08,16.44,-85.16,859,931,788,787,827,33.333333333333336,-0.713,0.053,0.696
50305,1758104073387,59.07,16.42,-85.01,858,921,778,788,827,34.48275862068966,-0.715,0.053,0.695
50334,1758104073389,59.08,16.39,-84.85,868,926,784,797,823,34.48275862068966,-0.716,0.052,0.695
50364,1758104073390,59.09,16.35,-84.68,864,928,784,792,829,33.333333333333336,-0.716,0.052,0.696
50393,1758104073393,59.1,16.4,-84.51,862,930,788,796,821,34.48275862068966,-0.715,0.051,0.698
50423,1758104073395,59.1,16.4,-84.36,870,931,788,786,819,33.333333333333336,-0.714,0.052,0.696
50452,1758104073397,59.11,16.41,-84.17,866,924,782,789,823,34.48275862068966,-0.716,0.051,0.696
50481,1758104073399,59.1,16.37,-84.01,864,914,781,784,821,34.48275862068966,-0.715,0.052,0.696
50511,1758104073401,59.08,16.35,-83.86,863,926,784,801,830,33.333333333333336,-0.714,0.052,0.696
50540,1758104073403,59.08,16.35,-83.69,867,927,786,794,820,34.48275862068966,-0.715,0.053,0.697
50570,1758104073405,59.07,16.35,-83.53,868,922,776,798,830,33.333333333333336,-0.715,0.053,0.697
50599,1758104073407,59.08,16.39,-83.37,867,921,788,797,830,34.48275862068966,-0.714,0.053,0.698
50629,1758104073409,59.1,16.4,-83.19,868,907,782,792,821,33.333333333333336,-0.714,0.053,0.696
50658,1758104073411,59.12,16.46,-83.01,871,920,789,790,823,34.48275862068966,-0.715,0.053,0.696
50687,1758104073413,59.12,16.51,-82.82,863,931,788,783,828,34.48275862068966,-0.717,0.054,0.697
50717,1758104073415,59.12,16.53,-82.66,864,927,779,794,817,33.333333333333336,-0.716,0.057,0.697
50746,1758104073418,59.15,16.43,-82.52,862,921,788,788,826,34.48275862068966,-0.714,0.057,0.697
50776,1758104073419,59.15,16.42,-82.37,864,928,781,793,827,33.333333333333336,-0.714,0.055,0.697
50805,1758104073422,59.13,16.49,-82.22,863,928,777,794,821,34.48275862068966,-0.717,0.053,0.698
50835,1758104073424,59.15,16.48,-82.04,865,925,775,788,826,33.333333333333336,-0.718,0.053,0.697
50864,1758104073426,59.14,16.49,-81.87,865,924,787,784,824,34.48275862068966,-0.716,0.055,0.696
50894,1758104073428,59.13,16.52,-81.71,861,924,782,800,832,33.333333333333336,-0.713,0.057,0.698
50923,1758104073430,59.13,16.59,-81.54,862,913,787,790,826,34.48275862068966,-0.714,0.057,0.698
50952,1758104073432,59.13,16.6,-81.38,863,927,783,792,827,34.48275862068966,-0.715,0.058,0.696
50982,1758104073434,59.14,16.62,-81.22,866,926,776,795,829,33.333333333333336,-0.714,0.059,0.696
51011,1758104073436,59.13,16.65,-81.06,857,926,780,792,817,34.48275862068966,-0.715,0.06,0.695
51041,1758104073438,59.12,16.69,-80.89,865,939,789,793,822,33.333333333333336,-0.715,0.059,0.695
51070,1758104073440,59.13,16.69,-80.72,861,920,783,800,828,34.48275862068966,-0.715,0.059,0.696
51100,1758104073442,59.11,16.71,-80.56,866,923,783,789,826,33.333333333333336,-0.713,0.061,0.695
51129,1758104073444,59.09,16.72,-80.41,866,920,787,796,827,34.48275862068966,-0.713,0.06,0.696
51158,1758104073446,59.07,16.74,-80.27,866,914,783,792,828,34.48275862068966,-0.714,0.061,0.696
51188,1758104073448,59.09,16.73,-80.09,868,927,789,786,822,33.333333333333336,-0.716,0.061,0.695
51218,1758104073450,59.1,16.74,-79.92,867,929,790,797,817,33.333333333333336,-0.715,0.061,0.694
51247,1758104073452,59.1,16.76,-79.77,866,923,789,796,818,34.48275862068966,-0.716,0.055,0.694
51276,1758104073454,59.09,16.78,-79.59,864,925,779,797,826,34.48275862068966,-0.717,0.056,0.695
51306,1758104073464,59.11,16.73,-79.44,868,922,780,791,824,33.333333333333336,-0.717,0.056,0.696
51335,1758104073493,59.11,16.72,-79.28,861,925,777,794,825,34.48275862068966,-0.715,0.058,0.696
51365,1758104073522,59.06,16.77,-79.13,865,918,787,797,821,33.333333333333336,-0.714,0.061,0.695
51394,1758104073552,59.06,16.77,-78.99,866,921,773,796,830,34.48275862068966,-0.716,0.061,0.695
51424,1758104073581,59.06,16.76,-78.82,862,921,789,801,822,33.333333333333336,-0.716,0.062,0.695
51453,1758104073611,59.05,16.75,-78.66,867,932,791,785,822,34.48275862068966,-0.715,0.06,0.696
51482,1758104073640,59.05,16.75,-78.48,868,926,774,793,824,34.48275862068966,-0.715,0.062,0.696
51512,1758104073669,59.02,16.76,-78.31,864,929,785,799,814,33.333333333333336,-0.714,0.064,0.696
51541,1758104073699,59.0,16.74,-78.17,864,930,784,790,826,34.48275862068966,-0.714,0.064,0.696
51570,1758104073729,59.0,16.73,-78.01,869,920,782,791,825,34.48275862068966,-0.715,0.062,0.697
51600,1758104073758,59.01,16.72,-77.85,868,922,788,790,833,33.333333333333336,-0.715,0.061,0.697
51629,1758104073787,59.02,16.72,-77.67,861,919,780,786,833,34.48275862068966,-0.715,0.062,0.697
51659,1758104073816,59.01,16.74,-77.49,864,930,784,788,828,33.333333333333336,-0.714,0.063,0.696
51688,1758104073846,58.99,16.71,-77.33,866,916,780,791,824,34.48275862068966,-0.712,0.064,0.696
51718,1758104073875,58.98,16.74,-77.18,866,918,778,792,827,33.333333333333336,-0.713,0.065,0.697
