timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
128912,1758104350701,-9.82,-62.96,-52.19,789,775,777,892,939,33.333333333333336,0.173,-0.889,0.455
128942,1758104350703,-9.83,-62.96,-52.21,792,780,779,876,926,33.333333333333336,0.175,-0.889,0.449
128972,1758104350705,-9.81,-63.02,-52.24,792,776,772,904,929,33.333333333333336,0.176,-0.892,0.456
129001,1758104350707,-9.79,-62.96,-52.18,790,787,778,898,956,34.48275862068966,0.176,-0.893,0.458
129031,1758104350709,-9.81,-62.94,-52.14,790,781,775,894,929,33.333333333333336,0.176,-0.891,0.452
129061,1758104350711,-9.76,-62.96,-52.11,798,771,781,902,917,33.333333333333336,0.175,-0.891,0.455
129091,1758104350713,-9.68,-62.97,-52.02,791,773,781,913,975,33.333333333333336,0.176,-0.895,0.457
129121,1758104350715,-9.62,-62.95,-51.83,798,770,778,894,919,33.333333333333336,0.175,-0.897,0.456
129151,1758104350717,-9.55,-62.85,-51.57,794,779,775,919,931,33.333333333333336,0.174,-0.897,0.457
129181,1758104350719,-9.65,-62.73,-51.38,801,769,781,923,945,33.333333333333336,0.174,-0.888,0.455
129210,1758104350721,-9.59,-63.0,-51.22,797,786,771,899,929,34.48275862068966,0.174,-0.889,0.457
129240,1758104350723,-9.28,-63.49,-51.05,797,785,781,920,926,33.333333333333336,0.169,-0.898,0.458
129270,1758104350725,-8.93,-63.66,-50.7,798,782,778,902,927,33.333333333333336,0.16,-0.903,0.46
129300,1758104350727,-8.8,-63.52,-50.33,795,785,783,898,927,33.333333333333336,0.158,-0.895,0.454
129330,1758104350729,-8.81,-63.97,-50.19,793,788,784,914,929,33.333333333333336,0.155,-0.888,0.445
129359,1758104350731,-8.73,-64.96,-50.19,791,779,776,908,935,34.48275862068966,0.147,-0.896,0.446
129389,1758104350733,-8.51,-65.59,-50.02,792,772,779,893,923,33.333333333333336,0.142,-0.911,0.443
129419,1758104350736,-8.43,-65.72,-49.74,795,788,783,914,928,33.333333333333336,0.138,-0.911,0.437
129439,1758104350738,-8.41,-65.87,-49.58,792,775,787,914,929,50.0,0.135,-0.906,0.421
129469,1758104350740,-8.36,-66.55,-49.47,796,788,781,901,912,33.333333333333336,0.13,-0.906,0.413
129499,1758104350742,-8.35,-67.33,-49.38,794,786,781,885,917,33.333333333333336,0.125,-0.92,0.41
129519,1758104350744,-8.37,-67.59,-49.23,796,786,786,889,911,50.0,0.122,-0.929,0.407
129549,1758104350746,-8.39,-67.52,-48.91,792,781,785,890,908,33.333333333333336,0.122,-0.932,0.399
