timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
61407,1758104466072,-8.91,-52.41,-29.6,789,769,780,778,864,34.48275862068966,0.155,-0.794,0.616
61437,1758104466074,-8.89,-52.43,-29.55,788,777,775,780,887,33.333333333333336,0.156,-0.791,0.618
61466,1758104466076,-8.92,-52.58,-29.59,791,780,776,781,896,34.48275862068966,0.158,-0.789,0.621
61496,1758104466078,-8.89,-52.68,-29.61,786,773,773,774,890,33.333333333333336,0.161,-0.787,0.621
61526,1758104466080,-8.86,-52.66,-29.63,782,778,765,782,888,33.333333333333336,0.163,-0.789,0.619
61555,1758104466082,-8.85,-52.67,-29.7,783,790,775,770,890,34.48275862068966,0.163,-0.788,0.616
61584,1758104466084,-8.81,-52.72,-29.75,789,787,781,778,900,34.48275862068966,0.162,-0.793,0.615
61614,1758104466086,-8.75,-52.79,-29.76,794,780,776,783,898,33.333333333333336,0.162,-0.796,0.612
61644,1758104466088,-8.76,-52.81,-29.76,784,786,779,784,902,33.333333333333336,0.161,-0.796,0.609
61673,1758104466090,-8.82,-52.79,-29.8,788,779,770,777,901,34.48275862068966,0.162,-0.796,0.608
61703,1758104466092,-8.83,-52.76,-29.83,791,777,777,786,904,33.333333333333336,0.164,-0.796,0.608
61733,1758104466094,-8.79,-52.82,-29.82,784,776,779,779,904,33.333333333333336,0.162,-0.796,0.608
61762,1758104466096,-8.82,-52.84,-29.81,783,782,779,780,897,34.48275862068966,0.162,-0.794,0.607
61792,1758104466098,-8.85,-52.83,-29.83,790,762,787,782,898,33.333333333333336,0.161,-0.794,0.608
61821,1758104466100,-8.87,-52.84,-29.86,784,783,777,784,908,34.48275862068966,0.162,-0.795,0.606
61851,1758104466102,-8.88,-52.86,-29.86,789,785,771,781,905,33.333333333333336,0.162,-0.798,0.605
61880,1758104466104,-8.9,-52.86,-29.85,785,790,776,788,906,34.48275862068966,0.164,-0.799,0.605
61910,1758104466106,-8.92,-52.85,-29.86,778,779,782,783,906,33.333333333333336,0.165,-0.799,0.604
61939,1758104466108,-8.91,-52.88,-29.86,792,780,777,788,903,34.48275862068966,0.164,-0.8,0.604
61969,1758104466110,-8.97,-52.82,-29.79,791,767,776,780,903,33.333333333333336,0.162,-0.801,0.603
61998,1758104466112,-9.07,-52.82,-29.77,780,779,780,781,907,34.48275862068966,0.163,-0.797,0.601
62028,1758104466115,-9.1,-52.82,-29.8,784,783,787,782,914,33.333333333333336,0.163,-0.795,0.604
62057,1758104466117,-9.09,-52.87,-29.8,784,779,770,786,904,34.48275862068966,0.162,-0.796,0.606
62087,1758104466118,-9.07,-52.86,-29.77,791,779,769,778,920,33.333333333333336,0.163,-0.798,0.607
62116,1758104466120,-9.08,-52.81,-29.75,789,782,778,790,899,34.48275862068966,0.162,-0.795,0.607
62146,1758104466122,-9.09,-52.83,-29.79,789,784,780,785,903,33.333333333333336,0.162,-0.792,0.607
62176,1758104466124,-9.08,-52.87,-29.83,786,785,781,780,913,33.333333333333336,0.162,-0.795,0.606
62205,1758104466126,-9.03,-52.85,-29.8,782,772,779,783,910,34.48275862068966,0.162,-0.803,0.607
62235,1758104466128,-9.07,-52.78,-29.78,794,775,773,780,906,33.333333333333336,0.164,-0.801,0.605
62265,1758104466130,-9.07,-52.79,-29.79,783,782,783,788,909,33.333333333333336,0.162,-0.796,0.606
62295,1758104466132,-9.05,-52.86,-29.81,786,782,782,783,908,33.333333333333336,0.161,-0.796,0.607
62324,1758104466134,-9.04,-52.88,-29.82,793,768,780,780,911,34.48275862068966,0.161,-0.797,0.606
62354,1758104466136,-9.04,-52.88,-29.83,782,781,787,778,927,33.333333333333336,0.161,-0.798,0.605
62383,1758104466138,-9.07,-52.86,-29.83,787,780,793,780,904,34.48275862068966,0.163,-0.795,0.602
62413,1758104466140,-9.1,-52.9,-29.86,789,778,772,778,902,33.333333333333336,0.163,-0.796,0.605
62442,1758104466143,-9.11,-52.84,-29.86,787,770,782,775,908,34.48275862068966,0.164,-0.796,0.608
62472,1758104466144,-9.1,-52.81,-29.85,791,782,777,781,911,33.333333333333336,0.164,-0.794,0.607
62501,1758104466146,-9.12,-52.87,-29.86,791,779,781,783,910,34.48275862068966,0.163,-0.794,0.605
62530,1758104466149,-9.14,-52.9,-29.86,789,784,771,781,911,34.48275862068966,0.161,-0.797,0.604
62560,1758104466151,-9.15,-52.77,-29.84,788,780,775,785,916,33.333333333333336,0.16,-0.798,0.605
62589,1758104466153,-9.2,-52.68,-29.84,784,775,792,782,906,34.48275862068966,0.163,-0.795,0.608
62619,1758104466155,-9.21,-52.74,-29.85,785,783,777,769,909,33.333333333333336,0.165,-0.795,0.608
62648,1758104466157,-9.19,-52.81,-29.84,787,785,790,785,909,34.48275862068966,0.167,-0.797,0.607
62678,1758104466159,-9.16,-52.76,-29.82,788,771,779,786,910,33.333333333333336,0.167,-0.798,0.607
62708,1758104466161,-9.17,-52.68,-29.82,789,777,777,783,905,33.333333333333336,0.166,-0.795,0.607
62737,1758104466163,-9.18,-52.7,-29.84,789,769,784,785,916,34.48275862068966,0.165,-0.794,0.607
62767,1758104466166,-9.16,-52.75,-29.86,788,781,774,781,910,33.333333333333336,0.164,-0.796,0.608
62796,1758104466167,-9.17,-52.72,-29.85,792,781,778,784,910,34.48275862068966,0.163,-0.796,0.609
62826,1758104466170,-9.19,-52.66,-29.84,789,777,784,779,916,33.333333333333336,0.164,-0.796,0.609
62855,1758104466172,-9.2,-52.69,-29.85,793,778,777,784,912,34.48275862068966,0.165,-0.795,0.61
62885,1758104466174,-9.18,-52.71,-29.85,791,773,773,785,905,33.333333333333336,0.165,-0.796,0.612
62914,1758104466175,-9.17,-52.68,-29.83,790,781,775,778,910,34.48275862068966,0.164,-0.795,0.611
62944,1758104466177,-9.18,-52.66,-29.81,782,780,774,781,922,33.333333333333336,0.162,-0.795,0.609
62974,1758104466180,-9.22,-52.66,-29.81,795,771,781,789,911,33.333333333333336,0.162,-0.793,0.608
63003,1758104466181,-9.25,-52.69,-29.81,792,775,782,786,909,34.48275862068966,0.163,-0.793,0.61
63032,1758104466183,-9.25,-52.65,-29.82,786,782,783,783,920,34.48275862068966,0.164,-0.794,0.612
63062,1758104466185,-9.23,-52.64,-29.81,788,776,780,787,917,33.333333333333336,0.164,-0.794,0.61
63092,1758104466187,-9.25,-52.66,-29.81,788,780,781,788,906,33.333333333333336,0.164,-0.794,0.609
63121,1758104466190,-9.27,-52.66,-29.83,791,781,783,778,905,34.48275862068966,0.164,-0.794,0.608
63151,1758104466191,-9.26,-52.66,-29.83,787,780,776,778,907,33.333333333333336,0.164,-0.794,0.609
63180,1758104466193,-9.24,-52.68,-29.83,789,782,791,772,911,34.48275862068966,0.164,-0.793,0.61
63210,1758104466195,-9.27,-52.68,-29.84,784,782,776,778,902,33.333333333333336,0.163,-0.793,0.609
63239,1758104466198,-9.34,-52.67,-29.82,790,762,778,782,911,34.48275862068966,0.162,-0.795,0.609
63268,1758104466199,-9.35,-52.65,-29.83,785,777,778,784,906,34.48275862068966,0.161,-0.794,0.609
63298,1758104466201,-9.37,-52.59,-29.83,793,779,773,785,912,33.333333333333336,0.162,-0.793,0.612
63327,1758104466203,-9.37,-52.58,-29.84,786,784,782,783,907,34.48275862068966,0.163,-0.792,0.613
63357,1758104466214,-9.38,-52.57,-29.84,785,774,781,780,911,33.333333333333336,0.164,-0.794,0.611
63387,1758104466244,-9.38,-52.53,-29.82,786,775,788,784,910,33.333333333333336,0.164,-0.796,0.612
63407,1758104466264,-9.37,-52.47,-29.81,789,787,786,786,920,50.0,0.164,-0.794,0.612
63436,1758104466293,-9.38,-52.42,-29.8,790,773,777,782,909,34.48275862068966,0.165,-0.792,0.612
63466,1758104466322,-9.37,-52.44,-29.81,785,786,776,788,905,33.333333333333336,0.165,-0.792,0.612
63495,1758104466352,-9.35,-52.46,-29.82,790,782,775,778,902,34.48275862068966,0.166,-0.793,0.613
63525,1758104466381,-9.33,-52.46,-29.8,790,769,775,794,904,33.333333333333336,0.166,-0.792,0.612
63554,1758104466411,-9.34,-52.4,-29.82,790,776,773,785,911,34.48275862068966,0.165,-0.791,0.612
63584,1758104466441,-9.34,-52.4,-29.84,787,773,773,782,910,33.333333333333336,0.164,-0.791,0.612
63614,1758104466470,-9.35,-52.41,-29.85,792,776,767,784,911,33.333333333333336,0.164,-0.792,0.612
63643,1758104466500,-9.36,-52.38,-29.84,797,775,776,782,906,34.48275862068966,0.164,-0.793,0.612
63673,1758104466530,-9.35,-52.37,-29.82,787,773,778,776,913,33.333333333333336,0.165,-0.792,0.613
63703,1758104466559,-9.35,-52.35,-29.84,796,773,780,780,904,33.333333333333336,0.166,-0.789,0.613
63732,1758104466589,-9.35,-52.36,-29.84,789,769,779,787,914,34.48275862068966,0.166,-0.79,0.613
