timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
161054,1758104752460,-5.86,-54.7,-169.49,787,772,790,774,832,33.333333333333336,0.083,-0.833,0.575
161083,1758104752462,-5.86,-54.68,-169.51,789,777,780,774,836,34.48275862068966,0.082,-0.833,0.575
161113,1758104752464,-5.85,-54.66,-169.54,781,791,787,773,844,33.333333333333336,0.081,-0.832,0.574
161142,1758104752466,-5.85,-54.64,-169.55,790,787,774,772,832,34.48275862068966,0.082,-0.832,0.576
161172,1758104752468,-5.84,-54.64,-169.57,782,787,777,789,834,33.333333333333336,0.082,-0.832,0.577
161202,1758104752471,-5.85,-54.62,-169.59,782,790,783,781,830,33.333333333333336,0.081,-0.832,0.576
161231,1758104752472,-5.86,-54.63,-169.61,787,791,790,778,855,34.48275862068966,0.081,-0.832,0.577
161260,1758104752474,-5.86,-54.63,-169.63,793,784,778,774,836,34.48275862068966,0.081,-0.832,0.577
161290,1758104752477,-5.85,-54.61,-169.65,782,778,777,805,837,33.333333333333336,0.082,-0.831,0.578
161319,1758104752479,-5.84,-54.61,-169.68,786,789,782,781,832,34.48275862068966,0.082,-0.831,0.578
161349,1758104752481,-5.83,-54.6,-169.68,788,781,778,788,828,33.333333333333336,0.082,-0.831,0.577
161379,1758104752483,-5.84,-54.6,-169.71,786,789,779,795,830,33.333333333333336,0.081,-0.83,0.578
161409,1758104752486,-5.85,-54.6,-169.74,786,802,783,774,826,33.333333333333336,0.08,-0.831,0.579
161438,1758104752488,-5.85,-54.59,-169.74,786,779,775,793,833,34.48275862068966,0.08,-0.832,0.578
161468,1758104752490,-5.85,-54.56,-169.76,784,782,783,785,835,33.333333333333336,0.08,-0.831,0.578
161497,1758104752507,-5.87,-54.57,-169.8,789,795,777,782,815,34.48275862068966,0.079,-0.831,0.579
161527,1758104752536,-5.87,-54.58,-169.84,790,768,800,776,828,33.333333333333336,0.078,-0.833,0.578
161556,1758104752566,-5.88,-54.56,-169.86,787,771,784,797,826,34.48275862068966,0.078,-0.834,0.578
161586,1758104752595,-5.88,-54.57,-169.88,790,781,774,789,836,33.333333333333336,0.078,-0.832,0.579
161615,1758104752625,-5.87,-54.58,-169.88,786,778,779,785,819,34.48275862068966,0.079,-0.833,0.578
161645,1758104752654,-5.86,-54.52,-169.85,787,781,776,779,829,33.333333333333336,0.079,-0.835,0.577
161674,1758104752684,-5.83,-54.48,-169.83,782,784,780,781,830,34.48275862068966,0.08,-0.836,0.579
161704,1758104752714,-5.79,-54.42,-169.8,786,788,773,780,827,33.333333333333336,0.079,-0.833,0.58
161734,1758104752743,-5.77,-54.4,-169.79,785,780,789,785,827,33.333333333333336,0.078,-0.83,0.581
161763,1758104752773,-5.77,-54.37,-169.84,791,783,783,784,824,34.48275862068966,0.077,-0.829,0.58
161792,1758104752803,-5.8,-54.34,-169.9,787,793,790,787,824,34.48275862068966,0.077,-0.829,0.579
161822,1758104752832,-5.81,-54.32,-169.94,789,779,788,788,828,33.333333333333336,0.077,-0.83,0.58
161852,1758104752861,-5.82,-54.3,-169.96,781,785,785,766,832,33.333333333333336,0.076,-0.831,0.581
161881,1758104752891,-5.82,-54.27,-169.97,780,769,777,795,844,34.48275862068966,0.076,-0.831,0.582
