timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
103816,1758104878437,10.22,-79.81,-40.4,846,774,779,791,925,33.333333333333336,-0.18,-0.985,0.167
103845,1758104878439,10.24,-79.82,-40.4,855,776,770,782,915,34.48275862068966,-0.18,-0.984,0.167
103875,1758104878441,10.25,-79.85,-40.42,854,785,766,789,923,33.333333333333336,-0.18,-0.984,0.166
103905,1758104878443,10.24,-79.84,-40.42,851,767,779,796,924,33.333333333333336,-0.18,-0.986,0.166
103934,1758104878445,10.23,-79.86,-40.43,849,783,774,789,930,34.48275862068966,-0.179,-0.985,0.165
103964,1758104878447,10.21,-79.83,-40.42,858,778,776,790,929,33.333333333333336,-0.181,-0.985,0.166
103993,1758104878449,10.2,-79.82,-40.43,853,785,776,780,923,34.48275862068966,-0.18,-0.984,0.166
104023,1758104878452,10.22,-79.84,-40.42,859,776,780,778,936,33.333333333333336,-0.18,-0.986,0.167
104052,1758104878454,10.24,-79.83,-40.42,835,780,778,790,923,34.48275862068966,-0.18,-0.985,0.168
104082,1758104878456,10.23,-79.8,-40.42,856,775,781,780,927,33.333333333333336,-0.18,-0.984,0.168
104112,1758104878458,10.22,-79.8,-40.43,848,780,780,787,914,33.333333333333336,-0.181,-0.984,0.167
104141,1758104878460,10.19,-79.8,-40.44,858,784,782,800,923,34.48275862068966,-0.18,-0.984,0.166
104171,1758104878462,10.19,-79.78,-40.44,852,777,780,781,940,33.333333333333336,-0.18,-0.983,0.166
104200,1758104878464,10.2,-79.8,-40.44,848,780,776,787,925,34.48275862068966,-0.179,-0.985,0.165
104230,1758104878466,10.21,-79.83,-40.44,849,776,772,788,927,33.333333333333336,-0.179,-0.985,0.166
104260,1758104878468,10.21,-79.81,-40.45,856,780,772,785,930,33.333333333333336,-0.18,-0.982,0.167
104289,1758104878470,10.23,-79.83,-40.47,847,778,775,786,927,34.48275862068966,-0.18,-0.984,0.167
104319,1758104878472,10.19,-79.8,-40.47,858,772,774,787,925,33.333333333333336,-0.18,-0.986,0.165
