timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
130614,1758105070757,55.24,25.3,-14.45,847,884,850,856,876,33.333333333333336,-0.817,0.227,0.522
130643,1758105070760,55.25,25.28,-14.47,844,875,859,849,869,34.48275862068966,-0.818,0.226,0.522
130673,1758105070762,55.25,25.29,-14.49,850,878,856,864,876,33.333333333333336,-0.818,0.226,0.522
130702,1758105070763,55.26,25.28,-14.5,847,877,862,857,867,34.48275862068966,-0.818,0.226,0.522
130732,1758105070765,55.24,25.26,-14.54,842,890,851,849,878,33.333333333333336,-0.818,0.226,0.522
130752,1758105070767,55.23,25.23,-14.55,838,873,849,854,881,50.0,-0.818,0.226,0.521
130781,1758105070769,55.23,25.22,-14.57,843,880,832,862,874,34.48275862068966,-0.818,0.225,0.522
130811,1758105070772,55.24,25.22,-14.58,844,880,850,860,869,33.333333333333336,-0.819,0.225,0.522
130840,1758105070774,55.23,25.2,-14.59,846,877,841,851,872,34.48275862068966,-0.817,0.226,0.523
130870,1758105070776,55.22,25.18,-14.61,844,870,850,858,876,33.333333333333336,-0.817,0.225,0.523
130899,1758105070778,55.21,25.16,-14.63,850,867,858,851,875,34.48275862068966,-0.818,0.224,0.523
130928,1758105070780,55.22,25.15,-14.64,842,890,845,858,873,34.48275862068966,-0.818,0.224,0.523
130958,1758105070782,55.23,25.14,-14.64,841,879,858,854,878,33.333333333333336,-0.819,0.224,0.524
130987,1758105070784,55.23,25.13,-14.64,844,873,859,853,860,34.48275862068966,-0.818,0.224,0.523
131017,1758105070786,55.21,25.12,-14.66,843,873,848,860,878,33.333333333333336,-0.817,0.224,0.523
131046,1758105070788,55.2,25.13,-14.66,847,886,847,849,870,34.48275862068966,-0.817,0.225,0.524
131076,1758105070790,55.2,25.12,-14.21,846,883,849,859,879,33.333333333333336,-0.818,0.225,0.524
131106,1758105070792,55.2,25.1,-14.22,843,875,850,862,875,33.333333333333336,-0.818,0.225,0.523
131135,1758105070794,55.2,25.08,-14.24,842,883,864,848,879,34.48275862068966,-0.817,0.225,0.522
131164,1758105070796,55.18,25.07,-14.26,842,884,853,855,871,34.48275862068966,-0.817,0.224,0.523
131194,1758105070798,55.18,25.06,-14.26,845,895,847,855,880,33.333333333333336,-0.818,0.224,0.523
131224,1758105070800,55.18,25.06,-14.26,839,880,842,853,864,33.333333333333336,-0.818,0.223,0.524
131253,1758105070802,55.19,25.06,-14.25,848,889,857,849,872,34.48275862068966,-0.818,0.222,0.524
131282,1758105070804,55.19,25.06,-14.27,846,885,839,860,877,34.48275862068966,-0.816,0.223,0.523
131312,1758105070806,55.19,25.03,-14.3,846,863,854,857,878,33.333333333333336,-0.816,0.224,0.523
131341,1758105070808,55.18,25.0,-14.33,846,880,854,845,875,34.48275862068966,-0.817,0.224,0.523
131371,1758105070810,55.18,25.02,-14.31,842,886,858,856,876,33.333333333333336,-0.816,0.224,0.524
131400,1758105070812,55.19,25.02,-14.32,848,883,849,862,867,34.48275862068966,-0.817,0.225,0.525
131430,1758105070814,55.18,25.01,-14.32,845,880,849,849,872,33.333333333333336,-0.817,0.225,0.524
131459,1758105070816,55.18,24.99,-14.33,845,876,849,863,880,34.48275862068966,-0.816,0.224,0.523
131489,1758105070818,55.16,24.98,-14.34,837,881,855,849,877,33.333333333333336,-0.818,0.225,0.523
131518,1758105070846,55.17,24.97,-14.36,851,869,864,835,871,34.48275862068966,-0.818,0.224,0.523
131548,1758105070876,55.17,24.96,-14.37,848,881,852,866,875,33.333333333333336,-0.816,0.223,0.525
131577,1758105070905,55.18,24.98,-14.36,844,859,854,851,872,34.48275862068966,-0.816,0.224,0.526
131607,1758105070935,55.18,24.96,-14.37,846,875,855,852,883,33.333333333333336,-0.816,0.223,0.524
131636,1758105070964,55.19,24.94,-14.41,840,880,844,857,875,34.48275862068966,-0.816,0.223,0.524
131665,1758105070993,55.19,24.94,-14.41,840,882,846,852,872,34.48275862068966,-0.817,0.225,0.525
131695,1758105071023,55.2,24.94,-14.42,844,884,855,858,874,33.333333333333336,-0.816,0.226,0.524
131724,1758105071052,55.21,24.92,-14.44,847,884,848,854,870,34.48275862068966,-0.816,0.225,0.523
131753,1758105071081,55.2,24.9,-14.46,838,886,839,868,872,34.48275862068966,-0.817,0.225,0.523
131783,1758105071111,55.19,24.89,-14.47,843,881,848,855,872,33.333333333333336,-0.818,0.225,0.524
131812,1758105071140,55.19,24.88,-14.48,843,885,857,853,882,34.48275862068966,-0.817,0.224,0.524
131841,1758105071169,55.19,24.86,-14.49,840,883,864,856,882,34.48275862068966,-0.817,0.224,0.524
131871,1758105071199,55.18,24.84,-14.51,852,874,849,857,870,33.333333333333336,-0.817,0.224,0.524
131900,1758105071228,55.18,24.83,-14.52,850,874,852,849,881,34.48275862068966,-0.817,0.223,0.524
131929,1758105071257,55.18,24.82,-14.53,846,880,845,859,873,34.48275862068966,-0.818,0.223,0.525
131959,1758105071287,55.2,24.81,-14.55,849,874,850,850,883,33.333333333333336,-0.818,0.223,0.525
131988,1758105071316,55.18,24.82,-14.55,843,883,848,847,882,34.48275862068966,-0.817,0.223,0.525
132018,1758105071346,55.19,24.81,-14.57,850,870,848,858,877,33.333333333333336,-0.817,0.223,0.524
132047,1758105071375,55.19,24.8,-14.59,834,879,860,856,878,34.48275862068966,-0.818,0.224,0.523
132076,1758105071405,55.17,24.79,-14.61,846,873,856,859,883,34.48275862068966,-0.818,0.224,0.523
132106,1758105071434,55.15,24.78,-14.64,849,865,858,867,873,33.333333333333336,-0.817,0.223,0.523
132136,1758105071464,55.15,24.78,-14.64,844,875,853,847,876,33.333333333333336,-0.818,0.222,0.525
132165,1758105071494,55.14,24.79,-14.63,841,893,844,852,878,34.48275862068966,-0.817,0.224,0.526
132195,1758105071523,55.14,24.78,-14.65,848,882,852,846,877,33.333333333333336,-0.815,0.223,0.526
132225,1758105071553,55.13,24.75,-14.67,844,884,841,853,876,33.333333333333336,-0.817,0.222,0.525
132254,1758105071583,55.11,24.75,-14.69,843,875,855,853,877,34.48275862068966,-0.818,0.223,0.524
132284,1758105071612,55.1,24.72,-14.72,850,885,853,847,880,33.333333333333336,-0.817,0.223,0.525
132314,1758105071642,55.09,24.69,-14.75,838,876,843,846,873,33.333333333333336,-0.816,0.224,0.525
132343,1758105071671,55.09,24.65,-14.77,844,880,843,857,877,34.48275862068966,-0.816,0.222,0.525
132372,1758105071700,55.09,24.63,-14.78,843,880,847,853,873,34.48275862068966,-0.817,0.22,0.525
132402,1758105071730,55.1,24.6,-14.79,849,880,851,854,881,33.333333333333336,-0.818,0.221,0.525
132431,1758105071759,55.12,24.6,-14.78,845,885,854,857,877,34.48275862068966,-0.817,0.222,0.525
132461,1758105071788,55.11,24.58,-14.79,844,882,838,851,876,33.333333333333336,-0.816,0.222,0.525
132490,1758105071818,55.11,24.56,-14.81,848,887,829,863,871,34.48275862068966,-0.816,0.221,0.524
132520,1758105071847,55.11,24.51,-14.86,844,876,846,856,873,33.333333333333336,-0.816,0.219,0.524
132549,1758105071877,55.1,24.49,-14.89,843,880,838,850,879,34.48275862068966,-0.817,0.216,0.526
132578,1758105071906,55.1,24.5,-14.9,848,874,856,854,876,34.48275862068966,-0.817,0.219,0.529
132608,1758105071936,55.13,24.51,-14.9,839,880,847,860,871,33.333333333333336,-0.815,0.22,0.529
132637,1758105071966,55.12,24.53,-14.9,848,878,845,857,871,34.48275862068966,-0.815,0.222,0.526
132667,1758105071995,55.1,24.51,-14.94,842,871,859,851,882,33.333333333333336,-0.815,0.221,0.524
132696,1758105072025,55.07,24.47,-15.0,849,886,857,866,881,34.48275862068966,-0.815,0.22,0.525
132726,1758105072054,55.06,24.45,-15.02,847,878,853,848,876,33.333333333333336,-0.818,0.219,0.527
132755,1758105072083,55.07,24.46,-15.0,852,879,859,862,869,34.48275862068966,-0.818,0.217,0.528
132785,1758105072113,55.1,24.45,-14.98,847,877,844,855,879,33.333333333333336,-0.817,0.217,0.527
132814,1758105072143,55.13,24.45,-14.98,845,884,849,854,910,34.48275862068966,-0.817,0.217,0.527
132844,1758105072172,55.12,24.43,-15.02,850,883,862,862,871,33.333333333333336,-0.816,0.218,0.527
132873,1758105072201,55.1,24.41,-15.06,848,878,863,848,879,34.48275862068966,-0.815,0.219,0.527
132903,1758105072231,55.08,24.41,-15.07,850,880,855,848,869,33.333333333333336,-0.815,0.217,0.527
132932,1758105072260,55.12,24.42,-15.06,843,866,861,862,875,34.48275862068966,-0.816,0.218,0.528
