timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
122488,1758105254091,29.99,-95.92,-14.98,798,815,823,830,900,34.48275862068966,-0.508,-0.872,-0.089
122518,1758105254093,30.0,-95.9,-14.98,800,822,822,838,889,33.333333333333336,-0.506,-0.872,-0.09
122547,1758105254095,30.0,-95.89,-14.97,801,804,813,841,905,34.48275862068966,-0.506,-0.873,-0.089
122577,1758105254097,29.99,-95.89,-14.98,802,819,806,829,893,33.333333333333336,-0.507,-0.872,-0.089
122607,1758105254099,30.0,-95.89,-14.98,798,837,819,850,892,33.333333333333336,-0.508,-0.872,-0.09
122636,1758105254100,30.0,-95.91,-14.98,797,826,808,836,891,34.48275862068966,-0.508,-0.872,-0.089
122666,1758105254103,29.99,-95.87,-14.99,795,835,829,847,897,33.333333333333336,-0.507,-0.872,-0.089
122686,1758105254104,29.99,-95.86,-14.99,801,816,811,844,897,50.0,-0.507,-0.872,-0.089
122716,1758105254107,30.0,-95.84,-14.99,801,824,806,840,884,33.333333333333336,-0.507,-0.872,-0.088
122745,1758105254109,30.01,-95.83,-14.99,793,817,819,830,884,34.48275862068966,-0.507,-0.871,-0.088
122775,1758105254111,30.02,-95.83,-15.0,802,819,838,862,895,33.333333333333336,-0.507,-0.872,-0.088
122805,1758105254114,30.02,-95.81,-15.0,793,810,816,838,889,33.333333333333336,-0.508,-0.872,-0.087
122834,1758105254115,30.03,-95.78,-14.99,796,830,828,840,891,34.48275862068966,-0.507,-0.871,-0.086
122864,1758105254118,30.05,-95.79,-15.0,798,801,815,814,892,33.333333333333336,-0.507,-0.872,-0.087
122893,1758105254119,30.04,-95.78,-14.99,799,822,818,854,911,34.48275862068966,-0.506,-0.873,-0.086
122923,1758105254122,30.05,-95.73,-15.0,796,815,817,829,902,33.333333333333336,-0.507,-0.871,-0.084
122953,1758105254124,30.08,-95.71,-15.01,794,824,793,835,886,33.333333333333336,-0.507,-0.871,-0.084
122982,1758105254126,30.08,-95.73,-15.03,800,821,820,844,889,34.48275862068966,-0.508,-0.872,-0.088
123012,1758105254127,30.06,-95.69,-15.02,800,821,820,845,901,33.333333333333336,-0.507,-0.872,-0.087
123041,1758105254130,30.06,-95.62,-15.03,801,823,816,827,900,34.48275862068966,-0.507,-0.871,-0.083
123061,1758105254132,30.08,-95.6,-15.03,788,822,816,850,890,50.0,-0.507,-0.872,-0.082
123091,1758105254134,30.1,-95.61,-15.03,801,812,816,842,891,33.333333333333336,-0.507,-0.872,-0.084
123121,1758105254136,30.09,-95.62,-15.04,797,810,809,855,893,33.333333333333336,-0.507,-0.873,-0.085
123150,1758105254138,30.06,-95.6,-15.03,795,828,824,841,900,34.48275862068966,-0.507,-0.873,-0.084
123171,1758105254141,30.06,-95.58,-15.02,799,813,799,840,890,47.61904761904762,-0.507,-0.872,-0.082
123200,1758105254143,30.09,-95.61,-15.04,804,824,826,841,896,34.48275862068966,-0.507,-0.872,-0.081
123230,1758105254145,30.11,-95.6,-15.06,796,812,824,849,892,33.333333333333336,-0.507,-0.872,-0.083
123260,1758105254146,30.11,-95.59,-15.05,793,826,818,840,896,33.333333333333336,-0.507,-0.873,-0.084
123289,1758105254148,30.12,-95.62,-15.05,795,797,825,843,886,34.48275862068966,-0.507,-0.872,-0.083
123319,1758105254150,30.14,-95.67,-15.08,797,779,812,837,890,33.333333333333336,-0.508,-0.871,-0.083
123348,1758105254153,30.16,-95.68,-15.08,797,777,841,840,884,34.48275862068966,-0.506,-0.872,-0.084
123378,1758105254154,30.17,-95.64,-15.08,795,815,799,847,896,33.333333333333336,-0.506,-0.874,-0.085
123407,1758105254157,30.16,-95.57,-15.07,796,834,816,828,890,34.48275862068966,-0.505,-0.873,-0.083
123437,1758105254159,30.14,-95.54,-15.07,798,837,823,847,895,33.333333333333336,-0.506,-0.873,-0.083
123467,1758105254160,30.13,-95.55,-15.06,797,818,833,845,924,33.333333333333336,-0.506,-0.873,-0.086
123496,1758105254163,30.11,-95.55,-15.05,799,833,819,842,887,34.48275862068966,-0.507,-0.873,-0.086
123526,1758105254165,30.11,-95.51,-15.05,801,835,818,838,898,33.333333333333336,-0.508,-0.871,-0.082
123555,1758105254167,30.12,-95.44,-15.08,797,844,840,848,893,34.48275862068966,-0.509,-0.871,-0.081
123585,1758105254169,30.14,-95.39,-15.08,797,820,825,846,900,33.333333333333336,-0.509,-0.871,-0.083
123614,1758105254171,30.13,-95.39,-15.08,796,806,804,837,890,34.48275862068966,-0.509,-0.871,-0.086
123644,1758105254172,30.13,-95.4,-15.09,792,801,808,844,942,33.333333333333336,-0.508,-0.87,-0.082
123674,1758105254174,30.17,-95.38,-15.1,801,735,806,839,897,33.333333333333336,-0.508,-0.871,-0.08
123703,1758105254176,30.18,-95.37,-15.11,799,725,820,848,904,34.48275862068966,-0.508,-0.872,-0.083
123724,1758105254178,30.18,-95.38,-15.11,795,669,824,841,899,47.61904761904762,-0.507,-0.867,-0.083
123753,1758105254181,30.17,-95.38,-15.11,796,660,821,830,880,34.48275862068966,-0.507,-0.868,-0.081
123783,1758105254183,30.18,-95.39,-15.12,801,694,820,843,909,33.333333333333336,-0.507,-0.869,-0.08
123813,1758105254185,30.21,-95.38,-15.12,792,682,821,841,899,33.333333333333336,-0.507,-0.87,-0.08
123842,1758105254187,30.21,-95.37,-15.11,796,686,790,828,881,34.48275862068966,-0.506,-0.871,-0.081
123872,1758105254189,30.19,-95.33,-15.12,802,660,819,835,895,33.333333333333336,-0.507,-0.87,-0.08
123902,1758105254191,30.19,-95.35,-15.13,798,688,805,858,897,33.333333333333336,-0.508,-0.87,-0.079
123931,1758105254194,30.2,-95.34,-15.13,797,813,813,841,897,34.48275862068966,-0.507,-0.871,-0.08
123961,1758105254196,30.2,-95.31,-15.13,799,831,827,851,889,33.333333333333336,-0.507,-0.872,-0.08
123990,1758105254198,30.21,-95.28,-15.13,797,800,855,840,892,34.48275862068966,-0.506,-0.872,-0.08
124020,1758105254200,30.21,-95.23,-15.14,797,835,834,844,891,33.333333333333336,-0.506,-0.872,-0.079
124049,1758105254224,30.2,-95.19,-15.15,800,845,818,835,898,34.48275862068966,-0.507,-0.872,-0.081
124079,1758105254254,30.18,-95.15,-15.14,796,843,820,848,897,33.333333333333336,-0.508,-0.872,-0.079
124108,1758105254283,30.18,-95.14,-15.16,793,837,838,831,898,34.48275862068966,-0.507,-0.87,-0.078
124138,1758105254313,30.2,-95.17,-15.17,793,832,837,834,894,33.333333333333336,-0.507,-0.873,-0.08
124168,1758105254342,30.18,-95.17,-15.16,794,851,808,838,884,33.333333333333336,-0.506,-0.874,-0.08
124197,1758105254372,30.18,-95.16,-15.14,806,841,826,860,892,34.48275862068966,-0.506,-0.873,-0.078
124227,1758105254402,30.19,-95.17,-15.15,796,856,817,844,902,33.333333333333336,-0.507,-0.872,-0.077
124256,1758105254431,30.19,-95.18,-15.16,793,837,834,838,890,34.48275862068966,-0.507,-0.872,-0.078
124286,1758105254461,30.17,-95.16,-15.16,800,862,823,834,890,33.333333333333336,-0.507,-0.873,-0.079
124315,1758105254490,30.15,-95.12,-15.16,805,840,808,850,895,34.48275862068966,-0.507,-0.873,-0.077
124345,1758105254520,30.16,-95.16,-15.17,797,852,813,832,897,33.333333333333336,-0.508,-0.873,-0.076
124374,1758105254549,30.15,-95.19,-15.17,798,837,811,848,904,34.48275862068966,-0.508,-0.873,-0.077
124404,1758105254579,30.14,-95.16,-15.17,801,843,815,837,897,33.333333333333336,-0.507,-0.874,-0.077
124433,1758105254608,30.15,-95.15,-15.17,800,852,811,830,897,34.48275862068966,-0.508,-0.873,-0.075
124463,1758105254638,30.17,-95.18,-15.19,800,831,819,833,894,33.333333333333336,-0.508,-0.873,-0.076
124493,1758105254668,30.18,-95.17,-15.19,802,845,813,832,891,33.333333333333336,-0.507,-0.874,-0.077
124522,1758105254697,30.18,-95.17,-15.19,796,843,817,837,895,34.48275862068966,-0.507,-0.874,-0.078
124552,1758105254727,30.16,-95.15,-15.17,800,855,822,844,898,33.333333333333336,-0.507,-0.875,-0.077
124581,1758105254757,30.18,-95.12,-15.16,793,700,826,839,890,34.48275862068966,-0.507,-0.872,-0.075
124611,1758105254786,30.2,-95.14,-15.16,802,711,803,851,898,33.333333333333336,-0.507,-0.873,-0.077
124641,1758105254816,30.19,-95.16,-15.16,794,713,823,847,892,33.333333333333336,-0.507,-0.873,-0.078
124670,1758105254845,30.17,-95.12,-15.17,801,689,815,851,890,34.48275862068966,-0.508,-0.871,-0.076
124700,1758105254876,30.15,-95.09,-15.18,809,724,817,838,894,33.333333333333336,-0.508,-0.871,-0.077
124720,1758105254895,30.14,-95.08,-15.19,792,719,822,839,899,50.0,-0.507,-0.872,-0.077
124750,1758105254925,30.14,-95.1,-15.2,798,700,801,839,907,33.333333333333336,-0.507,-0.873,-0.077
124779,1758105254954,30.15,-95.09,-15.2,806,683,818,833,899,34.48275862068966,-0.507,-0.874,-0.077
