timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
160063,1758109206049,48.19,41.98,-20.12,816,777,829,796,842,34.48275862068966,-0.744,0.442,0.488
160093,1758109206052,48.2,41.99,-20.14,816,780,819,797,845,33.333333333333336,-0.743,0.443,0.488
160123,1758109206054,48.21,41.99,-20.14,807,779,832,802,843,33.333333333333336,-0.743,0.444,0.487
160153,1758109206056,48.21,41.99,-20.15,814,768,827,797,852,33.333333333333336,-0.744,0.443,0.487
160182,1758109206057,48.21,41.99,-20.15,814,777,827,797,843,34.48275862068966,-0.744,0.443,0.487
160212,1758109206060,48.22,41.98,-20.17,815,785,813,793,845,33.333333333333336,-0.744,0.442,0.487
160242,1758109206062,48.21,41.99,-20.17,810,773,831,799,847,33.333333333333336,-0.744,0.441,0.487
160272,1758109206064,48.2,41.98,-20.17,812,784,828,802,851,33.333333333333336,-0.743,0.443,0.487
160292,1758109206066,48.2,41.97,-20.18,814,783,818,805,847,50.0,-0.743,0.443,0.489
160322,1758109206068,48.21,41.98,-20.18,818,768,828,805,856,33.333333333333336,-0.744,0.442,0.49
160351,1758109206070,48.23,41.98,-20.18,818,784,822,808,862,34.48275862068966,-0.744,0.442,0.489
160381,1758109206072,48.24,41.98,-20.19,812,778,844,807,852,33.333333333333336,-0.744,0.443,0.488
160411,1758109206074,48.25,41.98,-20.2,811,776,819,809,838,33.333333333333336,-0.743,0.442,0.488
160440,1758109206076,48.24,41.99,-20.2,815,778,834,798,846,34.48275862068966,-0.743,0.442,0.489
160470,1758109206078,48.26,41.99,-20.21,807,766,838,792,850,33.333333333333336,-0.744,0.442,0.489
160500,1758109206080,48.27,42.0,-20.22,820,775,834,801,856,33.333333333333336,-0.743,0.443,0.488
160529,1758109206082,48.27,42.0,-20.22,817,772,829,810,853,34.48275862068966,-0.743,0.442,0.488
160559,1758109206084,48.25,42.01,-20.22,822,777,822,798,845,33.333333333333336,-0.743,0.443,0.488
160589,1758109206086,48.27,41.99,-20.24,809,783,826,803,851,33.333333333333336,-0.744,0.442,0.49
160619,1758109206088,48.29,41.99,-20.23,811,784,830,804,850,33.333333333333336,-0.744,0.442,0.489
160649,1758109206090,48.29,41.99,-20.23,813,771,826,804,838,33.333333333333336,-0.744,0.443,0.488
160678,1758109206099,48.28,42.01,-20.24,823,777,835,803,847,34.48275862068966,-0.744,0.444,0.488
160708,1758109206129,48.28,42.0,-20.25,813,781,827,803,846,33.333333333333336,-0.744,0.442,0.489
160738,1758109206158,48.29,42.0,-20.25,829,775,823,798,842,33.333333333333336,-0.744,0.442,0.49
160767,1758109206188,48.32,42.0,-20.26,818,780,830,803,852,34.48275862068966,-0.744,0.442,0.489
160797,1758109206218,48.31,42.01,-20.27,824,780,833,812,848,33.333333333333336,-0.744,0.443,0.488
160827,1758109206248,48.32,42.02,-20.28,822,781,828,812,832,33.333333333333336,-0.745,0.443,0.49
160857,1758109206278,48.34,42.04,-20.27,814,787,826,807,850,33.333333333333336,-0.745,0.443,0.489
160887,1758109206308,48.36,42.04,-20.27,821,779,837,799,836,33.333333333333336,-0.744,0.444,0.487
160917,1758109206337,48.33,42.04,-20.28,812,780,832,822,842,33.333333333333336,-0.744,0.444,0.487
160946,1758109206367,48.33,42.02,-20.3,818,783,836,805,848,34.48275862068966,-0.743,0.443,0.488
160976,1758109206397,48.34,42.02,-20.31,818,777,826,806,841,33.333333333333336,-0.743,0.444,0.488
160996,1758109206417,48.34,42.02,-20.32,813,784,822,801,856,50.0,-0.743,0.444,0.488
161026,1758109206447,48.33,42.03,-20.3,818,781,828,803,852,33.333333333333336,-0.744,0.444,0.488
161056,1758109206476,48.33,42.02,-20.31,823,780,824,808,844,33.333333333333336,-0.743,0.444,0.488
161085,1758109206506,48.32,42.02,-20.32,821,779,831,803,851,34.48275862068966,-0.743,0.443,0.488
161115,1758109206536,48.3,42.01,-20.33,818,771,827,803,841,33.333333333333336,-0.744,0.443,0.489
161145,1758109206566,48.32,42.01,-20.33,818,778,820,797,848,33.333333333333336,-0.743,0.443,0.489
161165,1758109206585,48.33,42.01,-20.33,814,776,828,809,844,50.0,-0.743,0.443,0.489
161195,1758109206615,48.32,42.01,-20.33,813,782,832,804,843,33.333333333333336,-0.743,0.443,0.488
