timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
45401,1758109432681,40.59,32.25,-4.41,792,781,777,824,905,33.333333333333336,-0.641,0.409,0.638
45430,1758109432713,40.57,32.27,-4.4,788,779,779,825,879,34.48275862068966,-0.64,0.411,0.639
45450,1758109432745,40.55,32.26,-4.43,787,770,780,825,891,50.0,-0.639,0.412,0.639
45480,1758109432777,40.53,32.23,-4.45,791,769,786,818,901,33.333333333333336,-0.637,0.41,0.64
45510,1758109432806,40.55,32.25,-4.44,792,781,789,822,890,33.333333333333336,-0.638,0.411,0.642
45539,1758109432835,40.57,32.27,-4.47,795,787,791,827,896,34.48275862068966,-0.639,0.412,0.64
45569,1758109432864,40.56,32.27,-4.47,806,773,787,832,887,33.333333333333336,-0.64,0.411,0.638
45599,1758109432892,40.51,32.29,-4.46,795,778,787,826,876,33.333333333333336,-0.64,0.412,0.637
45628,1758109432918,40.47,32.26,-4.49,794,776,789,822,884,34.48275862068966,-0.64,0.412,0.638
45658,1758109432944,40.43,32.25,-4.51,791,771,787,825,900,33.333333333333336,-0.64,0.411,0.64
45688,1758109432970,40.41,32.27,-4.51,787,767,795,833,878,33.333333333333336,-0.639,0.41,0.64
45718,1758109432996,40.39,32.27,-4.51,794,768,778,825,883,33.333333333333336,-0.639,0.41,0.641
45748,1758109433025,40.37,32.22,-4.53,793,777,789,821,878,33.333333333333336,-0.638,0.408,0.643
45777,1758109433054,40.36,32.22,-4.54,790,779,786,832,883,34.48275862068966,-0.637,0.409,0.644
45807,1758109433083,40.39,32.27,-4.54,797,781,780,828,873,33.333333333333336,-0.64,0.411,0.644
45837,1758109433111,40.37,32.28,-4.55,790,777,790,822,881,33.333333333333336,-0.638,0.411,0.643
45867,1758109433143,40.36,32.24,-4.57,792,768,784,830,891,33.333333333333336,-0.637,0.41,0.641
45896,1758109433174,40.37,32.27,-4.58,788,774,787,822,875,34.48275862068966,-0.639,0.412,0.642
45926,1758109433205,40.37,32.28,-4.59,791,784,789,830,887,33.333333333333336,-0.638,0.409,0.645
45956,1758109433236,40.4,32.28,-4.6,787,782,792,829,885,33.333333333333336,-0.64,0.409,0.643
45986,1758109433271,40.36,32.24,-4.58,792,779,785,821,878,33.333333333333336,-0.638,0.408,0.64
46015,1758109433305,40.31,32.21,-4.55,799,782,793,835,888,34.48275862068966,-0.639,0.41,0.642
46045,1758109433339,40.3,32.24,-4.54,794,782,788,834,882,33.333333333333336,-0.638,0.41,0.646
46075,1758109433371,40.34,32.26,-4.55,795,777,785,826,894,33.333333333333336,-0.638,0.411,0.646
46105,1758109433402,40.35,32.26,-4.56,788,782,788,825,885,33.333333333333336,-0.637,0.411,0.643
46134,1758109433433,40.34,32.24,-4.57,796,778,782,826,881,34.48275862068966,-0.636,0.412,0.642
46164,1758109433464,40.31,32.23,-4.58,790,772,781,829,893,33.333333333333336,-0.636,0.411,0.642
46194,1758109433492,40.3,32.21,-4.62,795,777,791,829,888,33.333333333333336,-0.638,0.41,0.644
46223,1758109433520,40.32,32.19,-4.65,791,774,798,830,882,34.48275862068966,-0.639,0.409,0.645
46253,1758109433548,40.34,32.21,-4.62,788,775,771,827,880,33.333333333333336,-0.639,0.408,0.645
46283,1758109433576,40.35,32.21,-4.59,802,779,800,833,876,33.333333333333336,-0.638,0.409,0.644
46313,1758109433601,40.35,32.19,-4.6,789,785,779,823,897,33.333333333333336,-0.637,0.411,0.643
46342,1758109433627,40.36,32.2,-4.62,791,773,793,837,890,34.48275862068966,-0.637,0.412,0.644
46372,1758109433652,40.4,32.22,-4.64,795,776,789,824,881,33.333333333333336,-0.638,0.413,0.644
46402,1758109433677,40.4,32.2,-4.65,792,779,793,831,882,33.333333333333336,-0.638,0.411,0.641
46432,1758109433705,40.37,32.19,-4.64,798,778,782,823,882,33.333333333333336,-0.637,0.41,0.642
46462,1758109433733,40.38,32.22,-4.61,793,770,787,828,886,33.333333333333336,-0.638,0.411,0.644
46491,1758109433762,40.39,32.24,-4.63,790,780,786,829,896,34.48275862068966,-0.637,0.41,0.641
46521,1758109433789,40.33,32.21,-4.64,796,783,783,831,879,33.333333333333336,-0.635,0.409,0.639
46551,1758109433820,40.31,32.17,-4.62,791,780,788,834,928,33.333333333333336,-0.636,0.41,0.644
46581,1758109433851,40.34,32.19,-4.63,791,778,789,819,887,33.333333333333336,-0.637,0.411,0.646
46611,1758109433881,40.36,32.18,-4.66,793,779,788,832,886,33.333333333333336,-0.637,0.411,0.642
46631,1758109433912,40.33,32.16,-4.66,788,778,786,824,883,50.0,-0.635,0.409,0.64
46661,1758109433946,40.28,32.13,-4.67,797,773,807,829,881,33.333333333333336,-0.635,0.409,0.641
46681,1758109433979,40.28,32.13,-4.68,792,777,792,830,893,50.0,-0.638,0.41,0.645
46710,1758109434012,40.29,32.12,-4.69,797,789,786,814,883,34.48275862068966,-0.638,0.409,0.645
46740,1758109434043,40.29,32.11,-4.67,792,778,792,828,868,33.333333333333336,-0.638,0.409,0.643
