timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
81859,1758109733426,-5.93,-74.42,-37.57,858,773,872,877,905,34.48275862068966,0.112,-0.973,0.273
81889,1758109733462,-5.94,-74.43,-37.55,854,769,895,872,907,33.333333333333336,0.112,-0.971,0.275
81918,1758109733498,-5.91,-74.42,-37.56,852,775,890,876,906,34.48275862068966,0.112,-0.971,0.276
81948,1758109733531,-5.9,-74.43,-37.57,848,769,886,860,907,33.333333333333336,0.112,-0.972,0.275
81977,1758109733564,-5.93,-74.43,-37.56,853,773,882,881,908,34.48275862068966,0.112,-0.972,0.274
82007,1758109733597,-5.91,-74.43,-37.56,856,772,876,874,912,33.333333333333336,0.111,-0.97,0.277
82036,1758109733629,-5.88,-74.44,-37.58,852,778,887,875,902,34.48275862068966,0.112,-0.972,0.277
82066,1758109733659,-5.87,-74.44,-37.59,857,780,881,875,926,33.333333333333336,0.111,-0.972,0.276
82096,1758109733689,-5.86,-74.39,-37.59,852,778,866,881,906,33.333333333333336,0.112,-0.972,0.276
82125,1758109733718,-5.84,-74.4,-37.6,859,773,886,874,913,34.48275862068966,0.112,-0.973,0.276
82155,1758109733748,-5.84,-74.43,-37.6,853,771,892,875,903,33.333333333333336,0.112,-0.971,0.276
82184,1758109733775,-5.83,-74.45,-37.62,853,776,871,877,911,34.48275862068966,0.112,-0.972,0.276
82214,1758109733802,-5.8,-74.43,-37.62,853,765,894,870,905,33.333333333333336,0.112,-0.972,0.276
82243,1758109733828,-5.8,-74.44,-37.61,848,774,886,887,906,34.48275862068966,0.112,-0.971,0.275
82273,1758109733855,-5.8,-74.51,-37.61,851,775,877,880,916,33.333333333333336,0.112,-0.971,0.276
82302,1758109733885,-5.8,-74.49,-37.61,861,776,872,879,906,34.48275862068966,0.111,-0.971,0.276
82331,1758109733914,-5.81,-74.47,-37.62,858,777,879,878,904,34.48275862068966,0.111,-0.971,0.275
82361,1758109733944,-5.83,-74.49,-37.63,849,777,884,879,908,33.333333333333336,0.112,-0.972,0.275
82391,1758109733974,-5.82,-74.47,-37.64,858,775,872,881,904,33.333333333333336,0.112,-0.971,0.275
82420,1758109734006,-5.81,-74.47,-37.64,852,770,890,881,910,34.48275862068966,0.112,-0.972,0.275
82450,1758109734039,-5.81,-74.48,-37.64,854,774,876,876,910,33.333333333333336,0.112,-0.971,0.275
82479,1758109734071,-5.81,-74.46,-37.66,853,771,881,874,916,34.48275862068966,0.112,-0.971,0.275
82509,1758109734104,-5.82,-74.46,-37.66,849,779,878,875,898,33.333333333333336,0.112,-0.973,0.274
82538,1758109734136,-5.82,-74.49,-37.65,855,769,884,872,906,34.48275862068966,0.112,-0.972,0.274
82567,1758109734168,-5.8,-74.49,-37.64,857,772,880,880,906,34.48275862068966,0.112,-0.971,0.276
82597,1758109734200,-5.76,-74.45,-37.66,857,789,887,864,913,33.333333333333336,0.113,-0.972,0.275
