timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
130311,1758110021500,-12.82,-68.08,-28.85,853,780,789,904,944,33.333333333333336,0.231,-0.92,0.366
130340,1758110021531,-12.83,-68.06,-28.85,853,773,784,917,943,34.48275862068966,0.232,-0.92,0.364
130370,1758110021563,-12.83,-68.05,-28.83,862,780,797,922,938,33.333333333333336,0.231,-0.92,0.365
130400,1758110021595,-12.83,-68.06,-28.8,858,773,787,907,938,33.333333333333336,0.23,-0.919,0.366
130429,1758110021624,-12.85,-68.04,-28.77,858,780,788,908,929,34.48275862068966,0.228,-0.92,0.366
130458,1758110021653,-12.88,-68.02,-28.74,850,774,788,911,942,34.48275862068966,0.231,-0.92,0.366
130488,1758110021681,-12.87,-68.02,-28.71,849,779,780,905,935,33.333333333333336,0.232,-0.92,0.366
130508,1758110021710,-12.86,-68.03,-28.71,850,776,782,909,937,50.0,0.231,-0.919,0.365
130537,1758110021736,-12.85,-68.03,-28.72,856,781,783,917,933,34.48275862068966,0.229,-0.919,0.366
130567,1758110021763,-12.83,-68.02,-28.71,854,777,785,889,937,33.333333333333336,0.229,-0.919,0.366
130596,1758110021789,-12.81,-68.02,-28.72,857,777,787,908,940,34.48275862068966,0.23,-0.919,0.366
130626,1758110021815,-12.79,-68.0,-28.71,849,778,789,902,941,33.333333333333336,0.228,-0.919,0.367
130656,1758110021844,-12.78,-67.99,-28.7,855,775,783,898,935,33.333333333333336,0.228,-0.92,0.366
130685,1758110021872,-12.79,-68.01,-28.72,859,779,789,906,927,34.48275862068966,0.229,-0.918,0.366
130715,1758110021901,-12.82,-68.01,-28.73,853,778,777,921,940,33.333333333333336,0.228,-0.921,0.366
130744,1758110021929,-12.84,-68.0,-28.69,851,778,791,912,951,34.48275862068966,0.227,-0.922,0.365
130774,1758110021960,-12.85,-67.99,-28.66,857,780,776,899,922,33.333333333333336,0.227,-0.92,0.367
130803,1758110021991,-12.87,-68.0,-28.66,852,767,788,915,929,34.48275862068966,0.228,-0.919,0.368
130832,1758110022023,-12.84,-68.0,-28.68,853,781,781,898,937,34.48275862068966,0.23,-0.919,0.367
130862,1758110022054,-12.8,-68.0,-28.66,852,776,784,915,937,33.333333333333336,0.228,-0.919,0.367
130891,1758110022089,-12.78,-67.97,-28.65,872,770,788,909,937,34.48275862068966,0.227,-0.918,0.367
130921,1758110022124,-12.76,-67.97,-28.65,856,779,783,905,928,33.333333333333336,0.228,-0.918,0.367
130941,1758110022158,-12.76,-67.98,-28.66,861,774,789,905,945,50.0,0.228,-0.918,0.366
130971,1758110022189,-12.76,-67.99,-28.66,852,778,776,925,931,33.333333333333336,0.228,-0.919,0.367
131000,1758110022220,-12.75,-67.98,-28.65,849,782,786,906,935,34.48275862068966,0.227,-0.919,0.368
131030,1758110022250,-12.75,-67.98,-28.66,856,775,783,917,949,33.333333333333336,0.227,-0.918,0.368
131059,1758110022281,-12.76,-67.99,-28.69,848,782,787,911,930,34.48275862068966,0.228,-0.918,0.367
131089,1758110022309,-12.79,-68.04,-28.7,850,784,788,917,932,33.333333333333336,0.227,-0.919,0.366
131118,1758110022337,-12.82,-68.04,-28.68,854,778,777,909,934,34.48275862068966,0.226,-0.92,0.366
131148,1758110022365,-12.8,-68.02,-28.66,857,782,783,897,938,33.333333333333336,0.227,-0.92,0.366
131177,1758110022393,-12.82,-68.02,-28.67,844,773,789,912,932,34.48275862068966,0.227,-0.918,0.365
131206,1758110022421,-12.83,-68.04,-28.67,858,776,792,909,937,34.48275862068966,0.227,-0.919,0.366
131236,1758110022448,-12.81,-68.02,-28.65,853,780,782,908,945,33.333333333333336,0.227,-0.92,0.367
131266,1758110022477,-12.81,-68.02,-28.65,851,782,786,912,939,33.333333333333336,0.226,-0.92,0.366
131296,1758110022505,-12.84,-68.02,-28.66,853,766,787,908,937,33.333333333333336,0.227,-0.919,0.366
131325,1758110022537,-12.83,-68.03,-28.66,850,783,783,920,921,34.48275862068966,0.229,-0.92,0.368
131355,1758110022567,-12.77,-68.03,-28.65,855,786,777,918,939,33.333333333333336,0.229,-0.92,0.367
131384,1758110022598,-12.77,-68.03,-28.65,846,784,783,904,926,34.48275862068966,0.227,-0.919,0.366
131414,1758110022629,-12.8,-68.02,-28.66,850,780,779,900,934,33.333333333333336,0.227,-0.92,0.367
131443,1758110022662,-12.79,-68.0,-28.64,855,782,782,905,931,34.48275862068966,0.228,-0.92,0.366
131473,1758110022695,-12.79,-68.0,-28.64,857,777,787,902,932,33.333333333333336,0.228,-0.919,0.366
131502,1758110022729,-12.78,-68.0,-28.64,853,781,783,906,933,34.48275862068966,0.228,-0.92,0.367
131532,1758110022759,-12.76,-67.99,-28.63,862,772,787,905,933,33.333333333333336,0.227,-0.919,0.367
131561,1758110022790,-12.75,-67.97,-28.64,856,778,787,900,945,34.48275862068966,0.228,-0.919,0.367
131591,1758110022820,-12.75,-67.98,-28.64,859,798,781,901,932,33.333333333333336,0.228,-0.919,0.367
131620,1758110022851,-12.75,-67.98,-28.63,851,770,789,912,934,34.48275862068966,0.228,-0.92,0.367
131650,1758110022878,-12.75,-68.0,-28.63,853,778,783,904,928,33.333333333333336,0.227,-0.919,0.366
131680,1758110022905,-12.76,-68.0,-28.64,852,772,796,909,944,33.333333333333336,0.227,-0.92,0.367
131709,1758110022933,-12.75,-68.01,-28.65,852,778,797,910,940,34.48275862068966,0.228,-0.919,0.367
131739,1758110022961,-12.76,-68.0,-28.65,862,780,793,910,934,33.333333333333336,0.228,-0.919,0.366
131768,1758110022991,-12.76,-68.02,-28.65,852,778,793,891,941,34.48275862068966,0.228,-0.919,0.367
131798,1758110023021,-12.75,-68.02,-28.65,846,780,787,904,938,33.333333333333336,0.228,-0.918,0.367
131827,1758110023051,-12.75,-68.03,-28.66,855,770,788,912,939,34.48275862068966,0.229,-0.921,0.366
131857,1758110023081,-12.76,-68.01,-28.63,860,771,789,905,942,33.333333333333336,0.229,-0.92,0.367
131887,1758110023114,-12.75,-68.0,-28.62,848,781,789,911,927,33.333333333333336,0.227,-0.918,0.368
131916,1758110023147,-12.77,-67.99,-28.61,843,780,786,914,951,34.48275862068966,0.227,-0.92,0.367
131946,1758110023180,-12.77,-68.0,-28.6,849,767,798,897,953,33.333333333333336,0.229,-0.92,0.366
131975,1758110023213,-12.75,-68.01,-28.6,846,783,793,912,970,34.48275862068966,0.228,-0.919,0.367
132005,1758110023242,-12.77,-68.02,-28.61,858,777,792,902,952,33.333333333333336,0.226,-0.919,0.366
132035,1758110023272,-12.79,-68.03,-28.61,846,774,780,915,965,33.333333333333336,0.227,-0.92,0.367
132064,1758110023302,-12.79,-68.02,-28.61,856,778,793,921,935,34.48275862068966,0.228,-0.92,0.367
132094,1758110023331,-12.78,-68.04,-28.61,862,773,787,915,936,33.333333333333336,0.228,-0.92,0.367
132123,1758110023359,-12.78,-68.06,-28.61,852,783,783,913,945,34.48275862068966,0.229,-0.921,0.365
132152,1758110023386,-12.8,-68.05,-28.6,854,777,780,905,933,34.48275862068966,0.229,-0.921,0.366
132182,1758110023413,-12.82,-68.05,-28.6,845,781,785,909,919,33.333333333333336,0.227,-0.918,0.366
132212,1758110023439,-12.83,-68.08,-28.63,853,784,788,908,934,33.333333333333336,0.228,-0.919,0.366
132241,1758110023469,-12.82,-68.1,-28.65,854,782,778,907,943,34.48275862068966,0.229,-0.92,0.366
132270,1758110023498,-12.8,-68.07,-28.64,855,781,789,897,947,34.48275862068966,0.228,-0.92,0.367
132300,1758110023527,-12.78,-68.06,-28.63,848,783,791,897,930,33.333333333333336,0.229,-0.921,0.367
132329,1758110023557,-12.78,-68.06,-28.64,860,776,792,903,924,34.48275862068966,0.229,-0.92,0.367
132359,1758110023589,-12.76,-68.04,-28.65,860,781,791,916,930,33.333333333333336,0.228,-0.92,0.367
132388,1758110023621,-12.76,-68.03,-28.63,854,777,783,910,928,34.48275862068966,0.228,-0.92,0.366
132418,1758110023654,-12.75,-68.02,-28.63,854,779,786,903,939,33.333333333333336,0.228,-0.92,0.367
132448,1758110023686,-12.73,-68.03,-28.64,854,770,781,889,931,33.333333333333336,0.228,-0.92,0.367
132478,1758110023718,-12.75,-68.03,-28.63,856,769,793,904,941,33.333333333333336,0.228,-0.92,0.365
132507,1758110023750,-12.77,-68.04,-28.65,859,786,792,901,939,34.48275862068966,0.228,-0.918,0.367
132536,1758110023782,-12.75,-68.05,-28.67,844,775,784,917,940,34.48275862068966,0.228,-0.92,0.367
132566,1758110023815,-12.77,-68.05,-28.66,849,769,786,905,948,33.333333333333336,0.228,-0.921,0.366
132595,1758110023844,-12.8,-68.06,-28.68,855,766,796,928,928,34.48275862068966,0.23,-0.921,0.367
132625,1758110023873,-12.78,-68.09,-28.68,853,773,792,896,938,33.333333333333336,0.229,-0.921,0.368
