timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
86385,1758110216584,4.21,-119.88,-56.02,837,772,879,864,896,34.48275862068966,-0.069,-0.878,-0.503
86415,1758110216619,4.18,-119.87,-56.03,843,771,880,859,908,33.333333333333336,-0.07,-0.879,-0.502
86444,1758110216653,4.19,-119.85,-56.04,838,766,864,865,897,34.48275862068966,-0.069,-0.879,-0.501
86474,1758110216685,4.19,-119.82,-56.05,844,780,867,858,907,33.333333333333336,-0.069,-0.879,-0.501
86503,1758110216717,4.19,-119.79,-56.03,843,782,887,856,904,34.48275862068966,-0.07,-0.88,-0.499
86533,1758110216749,4.23,-119.69,-55.99,837,798,867,874,912,33.333333333333336,-0.07,-0.882,-0.497
86562,1758110216781,4.29,-119.6,-55.93,839,771,884,876,907,34.48275862068966,-0.069,-0.88,-0.499
86592,1758110216809,4.3,-119.6,-55.91,843,791,881,860,907,33.333333333333336,-0.069,-0.878,-0.503
86622,1758110216838,4.24,-119.58,-55.93,838,785,879,847,905,33.333333333333336,-0.069,-0.878,-0.502
86651,1758110216867,4.21,-119.56,-55.95,836,789,880,859,930,34.48275862068966,-0.07,-0.88,-0.497
86681,1758110216896,4.24,-119.49,-55.92,839,767,873,854,905,33.333333333333336,-0.071,-0.882,-0.495
86710,1758110216922,4.3,-119.49,-55.88,840,785,880,857,902,34.48275862068966,-0.071,-0.881,-0.496
86740,1758110216948,4.32,-119.45,-55.9,845,767,884,864,906,33.333333333333336,-0.07,-0.881,-0.496
86770,1758110216974,4.31,-119.4,-55.9,836,780,883,854,906,33.333333333333336,-0.071,-0.881,-0.495
86799,1758110217000,4.31,-119.36,-55.9,842,780,873,857,913,34.48275862068966,-0.071,-0.882,-0.494
86829,1758110217028,4.31,-119.38,-55.9,841,780,862,860,909,33.333333333333336,-0.071,-0.883,-0.494
86858,1758110217057,4.29,-119.42,-55.93,840,787,880,853,912,34.48275862068966,-0.071,-0.881,-0.494
86878,1758110217085,4.28,-119.45,-55.95,844,783,884,872,912,50.0,-0.072,-0.882,-0.492
86908,1758110217114,4.28,-119.42,-55.98,842,780,869,861,904,33.333333333333336,-0.071,-0.883,-0.492
86937,1758110217145,4.27,-119.32,-55.94,841,786,879,861,912,34.48275862068966,-0.071,-0.884,-0.492
86967,1758110217176,4.28,-119.31,-55.93,844,781,878,851,895,33.333333333333336,-0.071,-0.882,-0.492
86997,1758110217207,4.28,-119.33,-55.98,842,780,875,866,917,33.333333333333336,-0.071,-0.883,-0.492
87026,1758110217238,4.26,-119.24,-55.96,841,777,884,854,900,34.48275862068966,-0.071,-0.885,-0.49
87056,1758110217273,4.26,-119.27,-55.95,844,782,877,856,914,33.333333333333336,-0.071,-0.884,-0.491
87085,1758110217307,4.24,-119.27,-55.98,844,781,876,860,902,34.48275862068966,-0.071,-0.884,-0.49
87115,1758110217341,4.24,-119.25,-55.99,840,778,906,856,911,33.333333333333336,-0.072,-0.885,-0.489
87144,1758110217373,4.25,-119.28,-56.02,841,775,876,862,903,34.48275862068966,-0.071,-0.883,-0.489
87174,1758110217404,4.24,-119.28,-56.05,846,784,869,853,915,33.333333333333336,-0.071,-0.885,-0.49
