timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
147172,1758110908747,-26.42,-30.25,-42.19,845,775,886,903,911,33.333333333333336,0.454,-0.457,0.785
147192,1758110908779,-26.42,-30.25,-42.2,841,775,897,904,905,50.0,0.453,-0.457,0.785
147222,1758110908811,-26.4,-30.26,-42.19,849,774,899,901,908,33.333333333333336,0.453,-0.458,0.784
147252,1758110908843,-26.39,-30.26,-42.19,860,764,887,912,902,33.333333333333336,0.454,-0.457,0.785
147281,1758110908871,-26.38,-30.25,-42.19,852,773,883,897,908,34.48275862068966,0.453,-0.457,0.785
152623,1758110908901,-22.13,-41.72,-35.08,817,776,872,863,872,0.18719580681392736,0.373,-0.64,0.697
152653,1758110908929,-22.1,-41.69,-35.08,821,768,860,865,855,33.333333333333336,0.373,-0.639,0.696
152682,1758110908957,-22.11,-41.69,-35.1,820,768,872,862,854,34.48275862068966,0.373,-0.638,0.696
152712,1758110908983,-22.1,-41.67,-35.1,819,767,870,873,856,33.333333333333336,0.373,-0.638,0.697
152741,1758110909009,-22.1,-41.67,-35.09,820,777,870,862,858,34.48275862068966,0.374,-0.638,0.697
152771,1758110909035,-22.1,-41.63,-35.08,819,762,879,874,860,33.333333333333336,0.376,-0.638,0.698
152791,1758110909061,-22.1,-41.6,-35.07,832,773,868,864,886,50.0,0.376,-0.635,0.698
152821,1758110909089,-22.11,-41.59,-35.06,823,780,869,859,869,33.333333333333336,0.375,-0.634,0.699
152850,1758110909118,-22.08,-41.56,-35.05,819,770,862,863,859,34.48275862068966,0.374,-0.633,0.7
152880,1758110909146,-22.04,-41.51,-35.05,813,770,870,865,851,33.333333333333336,0.375,-0.633,0.702
152909,1758110909174,-22.03,-41.46,-35.07,816,776,859,858,852,34.48275862068966,0.374,-0.631,0.7
152939,1758110909206,-22.02,-41.42,-35.1,828,778,870,863,861,33.333333333333336,0.374,-0.632,0.701
152968,1758110909237,-21.98,-41.41,-35.08,820,770,867,855,865,34.48275862068966,0.374,-0.634,0.702
152998,1758110909268,-22.01,-41.44,-35.07,821,777,864,852,862,33.333333333333336,0.374,-0.631,0.702
153027,1758110909299,-22.02,-41.52,-35.07,813,776,850,845,855,34.48275862068966,0.373,-0.629,0.703
153057,1758110909333,-21.99,-41.5,-35.1,818,786,866,842,857,33.333333333333336,0.373,-0.63,0.703
153086,1758110909367,-21.98,-41.52,-35.12,825,780,862,843,850,34.48275862068966,0.373,-0.632,0.702
153115,1758110909401,-21.98,-41.54,-35.13,820,778,862,835,856,34.48275862068966,0.373,-0.632,0.702
