timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
158957,1758111147322,-13.46,-32.33,-12.53,818,769,782,877,890,33.333333333333336,0.245,-0.522,0.835
158986,1758111147352,-13.41,-32.32,-12.51,810,779,786,874,889,34.48275862068966,0.246,-0.523,0.836
159016,1758111147383,-13.39,-32.3,-12.48,814,796,779,882,888,33.333333333333336,0.247,-0.522,0.835
159046,1758111147414,-13.42,-32.28,-12.46,821,779,783,888,885,33.333333333333336,0.248,-0.519,0.835
159076,1758111147442,-13.45,-32.31,-12.46,812,778,787,877,886,33.333333333333336,0.248,-0.517,0.835
159106,1758111147470,-13.46,-32.33,-12.44,814,773,780,875,887,33.333333333333336,0.247,-0.52,0.835
159126,1758111147498,-13.47,-32.32,-12.44,815,776,783,887,891,50.0,0.246,-0.522,0.835
159155,1758111147525,-13.43,-32.33,-12.42,801,772,786,873,898,34.48275862068966,0.246,-0.523,0.836
159185,1758111147551,-13.4,-32.31,-12.42,812,783,785,893,889,33.333333333333336,0.245,-0.523,0.835
159215,1758111147576,-13.38,-32.29,-12.4,812,779,785,864,894,33.333333333333336,0.246,-0.522,0.835
159235,1758111147602,-13.39,-32.27,-12.4,819,772,782,876,884,50.0,0.247,-0.519,0.835
159256,1758111147627,-13.41,-32.26,-12.39,815,774,785,885,895,47.61904761904762,0.247,-0.518,0.834
159286,1758111147655,-13.44,-32.24,-12.4,811,776,785,874,901,33.333333333333336,0.246,-0.519,0.834
159306,1758111147682,-13.47,-32.24,-12.4,815,770,793,866,887,50.0,0.245,-0.518,0.835
159336,1758111147710,-13.47,-32.25,-12.39,814,775,789,877,883,33.333333333333336,0.245,-0.519,0.835
159365,1758111147737,-13.45,-32.24,-12.37,821,779,779,873,892,34.48275862068966,0.245,-0.52,0.835
159395,1758111147767,-13.44,-32.22,-12.35,811,775,788,888,892,33.333333333333336,0.246,-0.52,0.836
159425,1758111147798,-13.45,-32.19,-12.34,813,771,787,884,884,33.333333333333336,0.246,-0.519,0.836
159455,1758111147828,-13.46,-32.18,-12.33,816,781,788,877,895,33.333333333333336,0.245,-0.517,0.835
159485,1758111147858,-13.48,-32.19,-12.33,821,776,785,873,892,33.333333333333336,0.245,-0.518,0.835
159515,1758111147891,-13.49,-32.17,-12.31,818,784,782,876,889,33.333333333333336,0.245,-0.52,0.836
159544,1758111147925,-13.47,-32.15,-12.29,813,781,787,886,895,34.48275862068966,0.244,-0.52,0.837
159574,1758111147958,-13.44,-32.15,-12.28,805,779,786,874,889,33.333333333333336,0.244,-0.519,0.836
159594,1758111147991,-13.43,-32.14,-12.27,814,768,797,874,884,50.0,0.244,-0.521,0.835
159624,1758111148022,-13.46,-32.04,-12.26,809,780,787,886,894,33.333333333333336,0.246,-0.521,0.835
159654,1758111148052,-13.5,-31.99,-12.25,827,768,795,873,888,33.333333333333336,0.246,-0.515,0.836
159684,1758111148082,-13.53,-32.03,-12.26,812,766,789,873,889,33.333333333333336,0.241,-0.514,0.834
159704,1758111148112,-13.54,-32.07,-12.29,816,772,790,880,889,50.0,0.237,-0.515,0.834
159734,1758111148140,-13.52,-32.14,-12.32,816,779,789,889,890,33.333333333333336,0.239,-0.518,0.836
159764,1758111148166,-13.48,-32.18,-12.33,818,780,784,886,895,33.333333333333336,0.243,-0.52,0.838
159784,1758111148193,-13.48,-32.17,-12.33,814,775,790,867,885,50.0,0.245,-0.52,0.837
159814,1758111148220,-13.5,-32.16,-12.35,807,774,786,876,889,33.333333333333336,0.246,-0.517,0.836
159844,1758111148250,-13.56,-32.14,-12.37,819,777,793,880,877,33.333333333333336,0.246,-0.517,0.836
159874,1758111148280,-13.6,-32.15,-12.39,823,769,788,881,886,33.333333333333336,0.245,-0.518,0.837
159903,1758111148309,-13.61,-32.22,-12.41,821,766,791,874,889,34.48275862068966,0.244,-0.52,0.837
159933,1758111148339,-13.58,-32.25,-12.43,813,780,777,871,891,33.333333333333336,0.245,-0.521,0.836
