timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
153854,1758111400746,-4.56,-77.95,-133.3,849,779,873,881,937,34.48275862068966,0.12,-0.967,0.291
153884,1758111400778,-4.57,-77.95,-133.31,841,778,877,884,937,33.333333333333336,0.121,-0.966,0.291
153913,1758111400810,-4.58,-77.95,-133.32,844,772,864,884,937,34.48275862068966,0.121,-0.966,0.292
153943,1758111400842,-4.57,-77.93,-133.31,849,763,875,886,942,33.333333333333336,0.119,-0.965,0.294
153972,1758111400871,-4.58,-77.96,-133.34,844,775,883,880,941,34.48275862068966,0.118,-0.964,0.294
154002,1758111400900,-4.59,-77.97,-133.37,848,777,878,882,930,33.333333333333336,0.118,-0.965,0.292
154031,1758111400929,-4.6,-77.97,-133.38,851,775,851,885,933,34.48275862068966,0.119,-0.967,0.292
154061,1758111400957,-4.62,-77.98,-133.38,851,777,867,887,963,33.333333333333336,0.119,-0.965,0.294
154090,1758111400984,-4.61,-78.01,-133.4,851,777,869,883,938,34.48275862068966,0.119,-0.965,0.294
154120,1758111401010,-4.6,-78.05,-133.43,853,766,867,885,935,33.333333333333336,0.12,-0.968,0.291
154149,1758111401036,-4.61,-78.05,-133.44,850,774,869,884,939,34.48275862068966,0.121,-0.967,0.291
154179,1758111401063,-4.59,-78.05,-133.46,850,773,877,889,935,33.333333333333336,0.12,-0.966,0.291
154209,1758111401091,-4.58,-78.06,-133.48,844,781,873,882,932,33.333333333333336,0.12,-0.966,0.29
154239,1758111401120,-4.58,-78.04,-133.49,856,775,871,887,939,33.333333333333336,0.12,-0.967,0.29
154268,1758111401148,-4.6,-78.03,-133.51,845,776,876,889,931,34.48275862068966,0.12,-0.966,0.29
154298,1758111401178,-4.6,-78.05,-133.52,851,776,884,886,933,33.333333333333336,0.12,-0.966,0.291
154328,1758111401209,-4.59,-78.03,-133.54,845,776,884,880,941,33.333333333333336,0.119,-0.966,0.291
154357,1758111401240,-4.6,-78.0,-133.57,843,774,856,876,938,34.48275862068966,0.118,-0.965,0.292
154387,1758111401271,-4.58,-77.97,-133.6,843,774,875,885,931,33.333333333333336,0.119,-0.965,0.293
154416,1758111401303,-4.53,-77.94,-133.62,844,772,860,902,942,34.48275862068966,0.12,-0.96,0.292
154446,1758111401337,-4.49,-77.94,-133.63,843,767,871,875,924,33.333333333333336,0.12,-0.962,0.291
154476,1758111401371,-4.48,-77.98,-133.63,852,773,870,893,934,33.333333333333336,0.118,-0.962,0.291
154506,1758111401406,-4.48,-78.01,-133.64,850,777,864,875,943,33.333333333333336,0.117,-0.963,0.291
154535,1758111401437,-4.47,-78.01,-133.65,843,772,874,887,938,34.48275862068966,0.118,-0.964,0.291
154565,1758111401468,-4.48,-78.0,-133.66,849,780,865,882,927,33.333333333333336,0.117,-0.963,0.291
154594,1758111401499,-4.49,-78.04,-133.66,849,772,877,876,929,34.48275862068966,0.117,-0.964,0.29
154624,1758111401533,-4.51,-78.04,-133.68,850,766,859,879,933,33.333333333333336,0.118,-0.964,0.29
