timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
34167,1758111480535,55.28,47.08,2.49,816,875,830,827,834,34.48275862068966,-0.809,0.421,0.391
34197,1758111480569,55.28,47.07,2.49,822,880,829,826,821,33.333333333333336,-0.809,0.421,0.391
34226,1758111480603,55.26,47.07,2.49,827,867,845,826,834,34.48275862068966,-0.808,0.421,0.391
34256,1758111480634,55.25,47.06,2.48,825,876,840,837,829,33.333333333333336,-0.808,0.422,0.391
34285,1758111480664,55.25,47.07,2.47,817,883,846,834,821,34.48275862068966,-0.809,0.422,0.391
34314,1758111480695,55.27,47.06,2.45,823,882,829,831,820,34.48275862068966,-0.808,0.422,0.391
34344,1758111480725,55.26,47.05,2.45,822,881,840,826,836,33.333333333333336,-0.807,0.422,0.39
34373,1758111480752,55.23,47.04,2.43,824,879,827,827,825,34.48275862068966,-0.807,0.423,0.39
34402,1758111480780,55.24,47.04,2.41,822,873,849,834,832,34.48275862068966,-0.808,0.423,0.391
34432,1758111480807,55.24,47.05,2.43,821,877,834,827,833,33.333333333333336,-0.808,0.422,0.39
34461,1758111480835,55.21,47.05,2.43,825,887,844,822,832,34.48275862068966,-0.809,0.422,0.389
34490,1758111480865,55.19,47.03,2.4,823,873,851,824,832,34.48275862068966,-0.81,0.422,0.391
34520,1758111480895,55.19,47.04,2.41,826,878,826,828,838,33.333333333333336,-0.81,0.421,0.391
34549,1758111480925,55.21,47.05,2.42,826,872,841,830,828,34.48275862068966,-0.809,0.421,0.392
34579,1758111480955,55.21,47.05,2.41,819,880,842,833,831,33.333333333333336,-0.808,0.422,0.391
34608,1758111480989,55.2,47.04,2.41,827,874,833,825,833,34.48275862068966,-0.807,0.422,0.39
34638,1758111481021,55.19,47.04,2.39,821,879,847,829,826,33.333333333333336,-0.808,0.422,0.39
34667,1758111481055,55.21,47.06,2.4,821,885,834,824,828,34.48275862068966,-0.81,0.422,0.391
34696,1758111481088,55.22,47.06,2.39,825,866,838,826,827,34.48275862068966,-0.808,0.422,0.39
34726,1758111481118,55.19,47.05,2.39,822,882,835,823,829,33.333333333333336,-0.808,0.422,0.389
34755,1758111481148,55.2,47.06,2.4,825,878,834,829,833,34.48275862068966,-0.809,0.423,0.39
34784,1758111481178,55.23,47.08,2.39,822,873,843,837,854,34.48275862068966,-0.809,0.423,0.39
34814,1758111481208,55.23,47.08,2.37,821,878,841,822,826,33.333333333333336,-0.809,0.422,0.388
34843,1758111481235,55.21,47.1,2.37,817,889,826,827,843,34.48275862068966,-0.808,0.423,0.388
34873,1758111481262,55.21,47.09,2.36,818,880,836,832,840,33.333333333333336,-0.809,0.423,0.389
34902,1758111481289,55.23,47.1,2.35,826,883,837,819,837,34.48275862068966,-0.81,0.423,0.39
34931,1758111481315,55.23,47.11,2.33,821,871,835,831,828,34.48275862068966,-0.81,0.423,0.389
34961,1758111481345,55.23,47.13,2.32,821,879,839,828,826,33.333333333333336,-0.809,0.423,0.388
34990,1758111481374,55.21,47.13,2.32,818,865,841,835,837,34.48275862068966,-0.809,0.422,0.387
35020,1758111481404,55.19,47.13,2.33,824,871,819,827,823,33.333333333333336,-0.81,0.421,0.388
35049,1758111481433,55.18,47.13,2.32,817,880,836,830,823,34.48275862068966,-0.81,0.421,0.389
35078,1758111481466,55.17,47.12,2.3,824,875,839,823,829,34.48275862068966,-0.81,0.421,0.389
35108,1758111481499,55.17,47.12,2.32,826,891,825,823,829,33.333333333333336,-0.811,0.421,0.389
35137,1758111481531,55.18,47.13,2.32,821,874,835,830,830,34.48275862068966,-0.809,0.422,0.389
35166,1758111481564,55.18,47.13,2.3,824,878,852,822,831,34.48275862068966,-0.81,0.422,0.388
35196,1758111481597,55.17,47.11,2.29,824,870,843,832,827,33.333333333333336,-0.81,0.422,0.388
35226,1758111481629,55.16,47.1,2.28,819,872,842,821,833,33.333333333333336,-0.81,0.422,0.388
35255,1758111481662,55.15,47.11,2.3,818,886,842,835,841,34.48275862068966,-0.81,0.422,0.388
35284,1758111481694,55.14,47.11,2.29,823,876,836,837,813,34.48275862068966,-0.809,0.423,0.389
35314,1758111481724,55.12,47.09,2.25,822,881,841,830,825,33.333333333333336,-0.809,0.422,0.39
35343,1758111481754,55.14,47.09,2.25,821,883,845,831,827,34.48275862068966,-0.809,0.422,0.391
35372,1758111481783,55.15,47.11,2.27,819,878,841,838,836,34.48275862068966,-0.809,0.421,0.389
35402,1758111481812,55.14,47.11,2.24,818,882,820,829,833,33.333333333333336,-0.81,0.421,0.388
35431,1758111481839,55.14,47.1,2.24,817,875,839,821,834,34.48275862068966,-0.811,0.42,0.389
35460,1758111481865,55.13,47.1,2.24,828,870,829,823,832,34.48275862068966,-0.81,0.42,0.389
35490,1758111481891,55.13,47.1,2.25,821,879,821,826,832,33.333333333333336,-0.81,0.42,0.39
35519,1758111481918,55.14,47.11,2.27,821,877,831,827,826,34.48275862068966,-0.81,0.422,0.39
35549,1758111481947,55.14,47.11,2.25,821,869,845,828,824,33.333333333333336,-0.81,0.422,0.39
35578,1758111481976,55.16,47.1,2.22,820,863,834,823,826,34.48275862068966,-0.81,0.422,0.39
35608,1758111482005,55.16,47.1,2.23,823,880,835,828,833,33.333333333333336,-0.81,0.42,0.389
35637,1758111482034,55.16,47.09,2.25,824,880,851,823,827,34.48275862068966,-0.811,0.42,0.389
35666,1758111482066,55.17,47.11,2.25,823,862,831,831,833,34.48275862068966,-0.81,0.422,0.39
35696,1758111482098,55.18,47.11,2.24,821,873,832,830,826,33.333333333333336,-0.81,0.422,0.389
35725,1758111482129,55.18,47.11,2.24,816,871,834,818,830,34.48275862068966,-0.809,0.422,0.388
35755,1758111482161,55.17,47.11,2.24,824,879,842,835,831,33.333333333333336,-0.81,0.422,0.388
35784,1758111482196,55.16,47.12,2.24,824,875,835,828,836,34.48275862068966,-0.81,0.423,0.388
35813,1758111482231,55.16,47.13,2.23,816,875,843,830,830,34.48275862068966,-0.81,0.422,0.389
35843,1758111482265,55.16,47.14,2.22,815,875,847,827,829,33.333333333333336,-0.81,0.422,0.388
35873,1758111482297,55.15,47.15,2.21,818,869,836,828,839,33.333333333333336,-0.809,0.422,0.388
35902,1758111482328,55.12,47.14,2.21,821,882,827,833,826,34.48275862068966,-0.81,0.421,0.388
35932,1758111482360,55.1,47.14,2.21,827,876,844,821,822,33.333333333333336,-0.81,0.421,0.389
35961,1758111482391,55.1,47.15,2.2,826,880,849,829,831,34.48275862068966,-0.809,0.422,0.39
35990,1758111482419,55.09,47.17,2.19,823,879,834,832,832,34.48275862068966,-0.809,0.422,0.39
36020,1758111482448,55.08,47.16,2.17,816,879,836,834,829,33.333333333333336,-0.809,0.421,0.389
36049,1758111482476,55.06,47.15,2.17,819,872,832,827,840,34.48275862068966,-0.81,0.421,0.389
36079,1758111482505,55.05,47.15,2.17,820,865,839,825,832,33.333333333333336,-0.81,0.421,0.39
36108,1758111482531,55.04,47.15,2.16,823,878,840,829,820,34.48275862068966,-0.81,0.421,0.39
36137,1758111482556,55.05,47.14,2.16,820,886,851,825,829,34.48275862068966,-0.81,0.421,0.39
36167,1758111482582,55.06,47.13,2.15,818,880,843,822,832,33.333333333333336,-0.809,0.422,0.39
36196,1758111482608,55.04,47.13,2.14,825,879,837,820,835,34.48275862068966,-0.809,0.422,0.39
36225,1758111482637,55.06,47.12,2.11,815,873,846,824,861,34.48275862068966,-0.81,0.422,0.39
36255,1758111482665,55.08,47.12,2.11,821,871,845,821,828,33.333333333333336,-0.81,0.421,0.389
36284,1758111482693,55.09,47.13,2.12,820,884,833,832,835,34.48275862068966,-0.81,0.42,0.389
36313,1758111482721,55.08,47.12,2.1,822,873,832,827,817,34.48275862068966,-0.81,0.42,0.388
36343,1758111482752,55.1,47.12,2.11,823,889,834,826,831,33.333333333333336,-0.811,0.421,0.388
36372,1758111482783,55.1,47.14,2.14,827,862,824,822,829,34.48275862068966,-0.81,0.422,0.389
36402,1758111482814,55.1,47.13,2.13,824,883,832,833,831,33.333333333333336,-0.809,0.423,0.388
36431,1758111482845,55.08,47.11,2.11,826,879,842,829,860,34.48275862068966,-0.809,0.422,0.388
36461,1758111482879,55.11,47.13,2.13,820,866,839,829,836,33.333333333333336,-0.81,0.422,0.389
36490,1758111482913,55.13,47.13,2.12,821,881,827,825,832,34.48275862068966,-0.81,0.422,0.388
