timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
230704,1755606306237,16.35,68.48,126.35,842,765,856,367,901,33.333333333333336,-0.278,0.89,0.377
230734,1755606306239,16.36,68.44,126.32,836,760,850,327,904,33.333333333333336,-0.276,0.887,0.379
230763,1755606306242,16.37,68.44,126.33,843,765,859,373,905,34.48275862068966,-0.276,0.889,0.38
230793,1755606306244,16.37,68.45,126.35,842,759,849,396,897,33.333333333333336,-0.279,0.888,0.382
230823,1755606306246,16.36,68.46,126.4,846,761,854,387,905,33.333333333333336,-0.277,0.888,0.382
230882,1755606306250,16.4,68.48,126.46,841,761,850,352,903,33.333333333333336,-0.28,0.889,0.381
230912,1755606306252,16.38,68.5,126.51,841,756,856,405,907,33.333333333333336,-0.275,0.889,0.381
230942,1755606306255,16.38,68.51,126.54,845,765,856,427,905,33.333333333333336,-0.275,0.887,0.38
230971,1755606306259,16.39,68.52,126.55,837,763,846,393,902,34.48275862068966,-0.276,0.89,0.381
231001,1755606306290,16.39,68.53,126.55,844,760,852,360,908,33.333333333333336,-0.277,0.892,0.381
231021,1755606306309,16.39,68.51,126.58,841,769,854,412,899,50.0,-0.28,0.89,0.381
231051,1755606306339,16.39,68.51,126.61,843,765,857,350,905,33.333333333333336,-0.279,0.889,0.379
231081,1755606306369,16.39,68.51,126.61,842,762,852,370,903,33.333333333333336,-0.275,0.89,0.379
231110,1755606306398,16.39,68.52,126.63,847,763,854,432,901,34.48275862068966,-0.276,0.889,0.382
231140,1755606306428,16.41,68.53,126.67,846,769,856,423,907,33.333333333333336,-0.278,0.89,0.381
231170,1755606306458,16.4,68.54,126.69,840,760,854,389,902,33.333333333333336,-0.275,0.89,0.378
231200,1755606306487,16.4,68.52,126.69,833,763,855,353,906,33.333333333333336,-0.273,0.891,0.378
231229,1755606306518,16.4,68.5,126.69,841,766,850,383,902,34.48275862068966,-0.275,0.888,0.38
231259,1755606306547,16.4,68.5,126.7,837,767,851,421,905,33.333333333333336,-0.273,0.89,0.378
231289,1755606306576,16.39,68.51,126.68,842,759,861,411,905,33.333333333333336,-0.274,0.894,0.378
231318,1755606306606,16.38,68.5,126.73,848,765,857,314,909,34.48275862068966,-0.277,0.889,0.38
231348,1755606306636,16.38,68.5,126.79,838,762,853,348,905,33.333333333333336,-0.272,0.888,0.379
231378,1755606306666,16.37,68.46,126.76,846,763,851,400,905,33.333333333333336,-0.268,0.891,0.378
231408,1755606306695,16.33,68.39,126.75,842,759,851,401,906,33.333333333333336,-0.271,0.888,0.378
231437,1755606306725,16.35,68.36,126.73,843,760,850,376,907,34.48275862068966,-0.271,0.886,0.38
231467,1755606306755,16.33,68.35,126.74,842,764,853,353,903,33.333333333333336,-0.273,0.891,0.382
231526,1755606306814,16.31,68.36,126.79,834,755,855,422,902,33.333333333333336,-0.275,0.888,0.382
232198,1755606307486,16.34,68.11,127.02,842,770,852,354,908,34.48275862068966,-0.278,0.887,0.389
232228,1755606307516,16.36,68.12,127.0,838,761,854,394,910,33.333333333333336,-0.278,0.887,0.387
232258,1755606307545,16.38,68.1,126.94,846,766,853,404,902,33.333333333333336,-0.274,0.886,0.386
232287,1755606307575,16.41,68.06,126.9,843,762,855,341,909,34.48275862068966,-0.277,0.886,0.387
232317,1755606307605,16.46,68.08,126.86,840,771,854,322,910,33.333333333333336,-0.282,0.888,0.387
232347,1755606307635,16.49,68.11,126.82,841,776,855,343,902,33.333333333333336,-0.28,0.89,0.388
232406,1755606307694,16.58,68.16,126.72,844,762,851,412,905,33.333333333333336,-0.277,0.883,0.387
232466,1755606307753,16.67,68.08,126.66,837,772,853,362,904,33.333333333333336,-0.281,0.883,0.388
232495,1755606307783,16.71,68.08,126.66,845,776,853,382,902,34.48275862068966,-0.281,0.881,0.385
232525,1755606307813,16.71,68.08,126.65,851,775,859,415,902,33.333333333333336,-0.282,0.883,0.384
232555,1755606307842,16.73,68.06,126.62,836,776,865,403,909,33.333333333333336,-0.283,0.884,0.385
232584,1755606307872,16.78,68.05,126.64,839,781,852,345,906,34.48275862068966,-0.288,0.885,0.385
232673,1755606307961,16.77,67.96,126.63,830,761,859,420,904,33.333333333333336,-0.29,0.881,0.388
232703,1755606307991,16.77,67.99,126.67,840,764,851,367,902,33.333333333333336,-0.288,0.884,0.389
232733,1755606308020,16.78,67.98,126.68,840,764,854,329,910,33.333333333333336,-0.286,0.882,0.387
232762,1755606308050,16.8,67.94,126.73,839,773,855,351,908,34.48275862068966,-0.288,0.878,0.386
232792,1755606308080,16.83,67.97,126.73,833,775,857,397,904,33.333333333333336,-0.29,0.88,0.388
232821,1755606308109,16.85,67.97,126.76,833,779,849,397,900,34.48275862068966,-0.29,0.882,0.388
232851,1755606308139,16.87,67.99,126.8,843,773,851,340,903,33.333333333333336,-0.287,0.881,0.386
232881,1755606308168,16.86,67.98,126.8,843,769,857,353,900,33.333333333333336,-0.283,0.881,0.385
232910,1755606308198,16.87,67.96,126.8,845,776,852,417,902,34.48275862068966,-0.287,0.881,0.386
232940,1755606308228,16.89,67.99,126.81,835,777,854,422,911,33.333333333333336,-0.29,0.883,0.386
232970,1755606308258,16.86,67.98,126.81,834,781,851,377,906,33.333333333333336,-0.282,0.882,0.384
232999,1755606308287,16.87,67.93,126.76,841,780,855,349,903,34.48275862068966,-0.281,0.882,0.384
233029,1755606308317,16.91,67.88,126.73,836,774,857,383,902,33.333333333333336,-0.291,0.882,0.385
