timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
46697,1755606375207,17.9,56.92,0.53,787,781,779,346,896,33.333333333333336,-0.306,0.804,0.528
46726,1755606375210,17.92,56.86,0.47,792,780,777,378,894,34.48275862068966,-0.3,0.803,0.521
46756,1755606375211,17.87,56.76,0.43,788,775,782,405,891,33.333333333333336,-0.299,0.803,0.521
46786,1755606375214,17.82,56.77,0.45,786,776,777,384,897,33.333333333333336,-0.302,0.803,0.529
46815,1755606375215,17.89,56.84,0.39,793,775,781,331,889,34.48275862068966,-0.306,0.804,0.531
46844,1755606375217,17.91,56.81,0.36,793,777,782,364,895,34.48275862068966,-0.308,0.802,0.525
46874,1755606375220,17.87,56.76,0.4,793,773,781,417,894,33.333333333333336,-0.306,0.801,0.525
46903,1755606375221,17.9,56.77,0.37,793,771,776,433,895,34.48275862068966,-0.303,0.803,0.53
46933,1755606375224,17.94,56.8,0.3,787,774,779,368,890,33.333333333333336,-0.302,0.803,0.53
46962,1755606375225,17.98,56.78,0.22,790,777,777,345,891,34.48275862068966,-0.304,0.801,0.526
46992,1755606375227,17.95,56.78,0.27,785,777,776,391,893,33.333333333333336,-0.31,0.8,0.527
47021,1755606375230,17.95,56.77,0.32,791,772,777,417,896,34.48275862068966,-0.311,0.799,0.527
47050,1755606375232,17.97,56.75,0.31,793,779,774,359,892,34.48275862068966,-0.308,0.799,0.527
47080,1755606375234,17.94,56.75,0.35,792,779,779,347,893,33.333333333333336,-0.306,0.799,0.529
47109,1755606375236,17.97,56.81,0.33,795,769,778,385,894,34.48275862068966,-0.303,0.802,0.528
47139,1755606375238,17.98,56.83,0.3,791,770,775,421,890,33.333333333333336,-0.306,0.802,0.528
47168,1755606375240,17.97,56.78,0.32,791,778,774,392,894,34.48275862068966,-0.306,0.798,0.524
47197,1755606375242,17.98,56.76,0.3,787,774,782,360,893,34.48275862068966,-0.308,0.801,0.523
47227,1755606375244,17.98,56.81,0.31,793,775,781,362,892,33.333333333333336,-0.306,0.802,0.528
