timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
129271,1755606721006,60.39,-25.03,1.08,798,776,812,398,852,0.1408847562693716,-0.875,-0.197,0.447
129301,1755606721008,60.38,-24.97,1.06,799,772,818,386,850,33.333333333333336,-0.873,-0.198,0.446
129331,1755606721010,60.38,-24.91,1.05,797,776,823,352,846,33.333333333333336,-0.874,-0.2,0.447
129360,1755606721012,60.44,-24.89,1.05,793,768,818,367,848,34.48275862068966,-0.876,-0.202,0.447
129390,1755606721014,60.46,-24.85,1.06,799,772,817,399,853,33.333333333333336,-0.876,-0.203,0.445
129419,1755606721017,60.48,-24.85,1.08,799,772,817,399,850,34.48275862068966,-0.875,-0.203,0.445
129449,1755606721018,60.54,-24.86,1.08,799,777,821,358,853,33.333333333333336,-0.876,-0.201,0.445
129479,1755606721020,60.55,-24.86,1.09,799,778,813,301,847,33.333333333333336,-0.877,-0.199,0.446
129508,1755606721022,60.58,-24.85,1.08,798,779,817,371,855,34.48275862068966,-0.877,-0.2,0.446
129538,1755606721024,60.59,-24.83,1.08,797,776,815,366,849,33.333333333333336,-0.877,-0.201,0.445
129567,1755606721027,60.6,-24.81,1.1,793,777,817,384,848,34.48275862068966,-0.878,-0.201,0.445
129597,1755606721028,60.59,-24.78,1.12,798,774,820,335,852,33.333333333333336,-0.878,-0.2,0.444
129626,1755606721031,60.63,-24.83,1.11,798,776,819,354,851,34.48275862068966,-0.878,-0.199,0.443
129656,1755606721052,60.62,-24.82,1.11,799,777,816,401,846,33.333333333333336,-0.877,-0.198,0.443
129686,1755606721082,60.65,-24.83,1.11,795,773,818,410,848,33.333333333333336,-0.878,-0.199,0.443
129715,1755606721112,60.64,-24.83,1.11,797,776,816,383,851,34.48275862068966,-0.878,-0.2,0.444
129745,1755606721141,60.66,-24.86,1.1,794,772,817,346,851,33.333333333333336,-0.877,-0.201,0.445
129774,1755606721171,60.66,-24.85,1.12,798,776,814,393,849,34.48275862068966,-0.877,-0.201,0.446
129804,1755606721200,60.71,-24.85,1.13,794,774,813,422,849,33.333333333333336,-0.878,-0.201,0.445
129833,1755606721230,60.77,-24.87,1.12,799,775,809,391,849,34.48275862068966,-0.879,-0.201,0.443
129863,1755606721260,60.78,-24.89,1.14,799,771,814,353,851,33.333333333333336,-0.879,-0.201,0.442
129893,1755606721289,60.77,-24.88,1.15,799,772,814,370,854,33.333333333333336,-0.877,-0.199,0.441
129922,1755606721318,60.76,-24.88,1.14,799,774,817,402,850,34.48275862068966,-0.878,-0.198,0.441
129981,1755606721378,60.78,-24.93,1.12,796,773,818,378,851,34.48275862068966,-0.88,-0.203,0.441
130011,1755606721407,60.8,-24.96,1.13,796,770,811,372,851,33.333333333333336,-0.879,-0.205,0.44
130040,1755606721437,60.82,-24.97,1.14,797,776,817,402,847,34.48275862068966,-0.88,-0.203,0.439
130070,1755606721466,60.78,-24.99,1.14,792,772,815,424,853,33.333333333333336,-0.877,-0.202,0.439
130100,1755606721496,60.83,-25.01,1.11,797,776,815,373,845,33.333333333333336,-0.88,-0.203,0.441
130189,1755606721585,60.91,-24.97,1.07,797,779,808,391,849,33.333333333333336,-0.879,-0.206,0.44
130218,1755606721614,60.95,-24.98,1.07,795,780,817,383,849,34.48275862068966,-0.88,-0.206,0.437
130247,1755606721644,60.97,-25.01,1.08,798,774,810,340,847,34.48275862068966,-0.881,-0.206,0.437
130336,1755606721732,61.01,-24.99,1.08,793,774,809,411,850,33.333333333333336,-0.881,-0.205,0.438
130366,1755606721762,61.02,-24.93,1.11,796,779,810,371,849,33.333333333333336,-0.882,-0.205,0.437
130395,1755606721792,61.03,-24.92,1.1,797,777,817,349,852,34.48275862068966,-0.879,-0.204,0.433
130425,1755606721821,61.0,-24.95,1.09,794,772,815,369,851,33.333333333333336,-0.881,-0.204,0.432
130454,1755606721850,60.95,-24.93,1.1,794,774,818,421,851,34.48275862068966,-0.882,-0.203,0.432
130484,1755606721880,60.92,-24.91,1.09,799,772,817,393,851,33.333333333333336,-0.883,-0.205,0.433
130543,1755606721939,60.89,-24.88,1.14,796,770,818,356,848,33.333333333333336,-0.881,-0.208,0.436
130573,1755606721969,60.93,-24.88,1.16,797,769,809,408,846,33.333333333333336,-0.881,-0.208,0.438
130602,1755606721998,60.96,-24.85,1.18,798,783,815,406,851,34.48275862068966,-0.88,-0.206,0.437
130632,1755606722028,61.0,-24.83,1.19,796,772,811,356,850,33.333333333333336,-0.881,-0.205,0.435
130661,1755606722057,61.01,-24.82,1.2,796,774,813,339,849,34.48275862068966,-0.881,-0.204,0.434
130691,1755606722087,61.02,-24.84,1.2,794,770,815,390,847,33.333333333333336,-0.881,-0.203,0.433
130720,1755606722116,60.98,-24.84,1.2,795,774,816,424,851,34.48275862068966,-0.881,-0.204,0.433
130779,1755606722175,60.98,-24.88,1.19,798,768,810,355,853,33.333333333333336,-0.881,-0.204,0.436
130808,1755606722205,60.99,-24.88,1.19,796,776,813,383,851,34.48275862068966,-0.881,-0.205,0.435
130838,1755606722234,61.0,-24.9,1.2,793,775,811,399,851,33.333333333333336,-0.882,-0.206,0.434
130867,1755606722264,61.01,-24.93,1.23,799,775,818,398,847,34.48275862068966,-0.882,-0.206,0.434
130897,1755606722293,61.02,-24.93,1.26,797,777,818,352,845,33.333333333333336,-0.882,-0.206,0.435
130927,1755606722323,61.04,-24.93,1.28,797,777,815,363,846,33.333333333333336,-0.882,-0.204,0.435
130956,1755606722352,61.06,-24.92,1.28,796,771,810,410,849,34.48275862068966,-0.88,-0.201,0.435
130985,1755606722382,61.07,-24.91,1.27,797,777,818,415,850,34.48275862068966,-0.879,-0.2,0.434
131015,1755606722411,61.1,-24.93,1.25,795,775,816,366,851,33.333333333333336,-0.882,-0.201,0.433
131045,1755606722442,61.09,-24.92,1.24,795,774,810,338,851,33.333333333333336,-0.882,-0.202,0.43
131074,1755606722471,61.1,-24.94,1.24,795,769,811,380,848,34.48275862068966,-0.883,-0.204,0.431
131104,1755606722500,61.09,-24.95,1.25,799,771,819,420,853,33.333333333333336,-0.881,-0.204,0.43
131163,1755606722559,61.09,-25.02,1.22,793,774,815,356,851,33.333333333333336,-0.881,-0.203,0.431
131192,1755606722589,61.08,-25.01,1.22,798,775,811,368,848,34.48275862068966,-0.882,-0.203,0.432
131213,1755606722609,61.08,-25.02,1.21,793,773,818,383,850,47.61904761904762,-0.882,-0.204,0.431
131242,1755606722638,61.07,-25.03,1.21,797,781,818,362,849,34.48275862068966,-0.882,-0.206,0.43
131272,1755606722668,61.08,-25.06,1.2,793,777,816,415,850,33.333333333333336,-0.883,-0.207,0.43
131301,1755606722697,61.07,-25.08,1.22,799,771,807,401,853,34.48275862068966,-0.883,-0.208,0.431
131331,1755606722727,61.07,-25.1,1.23,799,779,819,360,853,33.333333333333336,-0.882,-0.207,0.431
131360,1755606722756,61.06,-25.11,1.24,795,778,814,354,850,34.48275862068966,-0.881,-0.207,0.432
131390,1755606722786,61.08,-25.14,1.24,792,778,815,389,847,33.333333333333336,-0.882,-0.208,0.433
131419,1755606722816,61.1,-25.14,1.25,791,775,813,408,848,34.48275862068966,-0.881,-0.207,0.432
131449,1755606722845,61.1,-25.17,1.26,799,774,816,371,842,33.333333333333336,-0.881,-0.207,0.432
131478,1755606722875,61.09,-25.19,1.27,796,776,815,350,850,34.48275862068966,-0.881,-0.206,0.431
131508,1755606722904,61.11,-25.22,1.26,797,775,816,388,856,33.333333333333336,-0.883,-0.206,0.432
131537,1755606722934,61.11,-25.23,1.26,795,772,818,414,848,34.48275862068966,-0.882,-0.205,0.432
131567,1755606722963,61.11,-25.22,1.27,799,779,810,410,854,33.333333333333336,-0.881,-0.206,0.433
131596,1755606722993,61.13,-25.24,1.25,796,779,819,344,850,34.48275862068966,-0.882,-0.206,0.432
131626,1755606723022,61.12,-25.23,1.25,797,774,816,354,851,33.333333333333336,-0.882,-0.207,0.431
131656,1755606723052,61.13,-25.26,1.25,796,774,816,396,850,33.333333333333336,-0.882,-0.207,0.431
131685,1755606723081,61.11,-25.28,1.26,798,772,819,360,848,34.48275862068966,-0.883,-0.208,0.431
131715,1755606723111,61.11,-25.31,1.27,797,774,813,349,843,33.333333333333336,-0.882,-0.208,0.43
131744,1755606723141,61.11,-25.33,1.27,794,777,813,328,849,34.48275862068966,-0.881,-0.208,0.43
131774,1755606723170,61.09,-25.34,1.28,797,774,812,388,852,33.333333333333336,-0.881,-0.208,0.432
131803,1755606723199,61.12,-25.34,1.28,797,773,816,410,850,34.48275862068966,-0.881,-0.208,0.432
131832,1755606723229,61.14,-25.34,1.29,796,774,813,387,848,34.48275862068966,-0.882,-0.208,0.432
131862,1755606723258,61.13,-25.35,1.31,795,774,812,344,849,33.333333333333336,-0.881,-0.208,0.43
131892,1755606723288,61.13,-25.38,1.32,798,775,815,365,849,33.333333333333336,-0.882,-0.209,0.429
131921,1755606723317,61.11,-25.42,1.32,797,768,809,399,851,34.48275862068966,-0.881,-0.208,0.428
131951,1755606723347,61.09,-25.44,1.33,799,778,812,391,847,33.333333333333336,-0.883,-0.207,0.43
131980,1755606723376,61.09,-25.44,1.34,799,780,813,361,844,34.48275862068966,-0.883,-0.208,0.432
132010,1755606723406,61.08,-25.43,1.35,797,770,810,347,848,33.333333333333336,-0.882,-0.208,0.432
132039,1755606723436,61.09,-25.44,1.37,798,774,814,389,847,34.48275862068966,-0.881,-0.209,0.432
132069,1755606723466,61.09,-25.46,1.38,798,776,815,404,850,33.333333333333336,-0.882,-0.209,0.431
132099,1755606723495,61.1,-25.47,1.4,796,767,813,362,848,33.333333333333336,-0.882,-0.208,0.432
132128,1755606723525,61.12,-25.46,1.42,794,768,811,305,850,34.48275862068966,-0.882,-0.208,0.431
132158,1755606723554,61.12,-25.45,1.41,797,775,808,339,848,33.333333333333336,-0.881,-0.207,0.43
132188,1755606723584,61.11,-25.46,1.41,798,771,809,391,845,33.333333333333336,-0.881,-0.206,0.431
132217,1755606723613,61.08,-25.45,1.41,799,780,818,378,853,34.48275862068966,-0.88,-0.206,0.43
132247,1755606723643,61.09,-25.47,1.41,798,777,810,344,852,33.333333333333336,-0.883,-0.208,0.432
132335,1755606723732,61.09,-25.48,1.43,797,774,816,397,849,34.48275862068966,-0.88,-0.207,0.43
132365,1755606723761,61.08,-25.49,1.43,798,775,809,323,851,33.333333333333336,-0.881,-0.207,0.431
132395,1755606723791,61.09,-25.48,1.42,797,768,818,341,850,33.333333333333336,-0.882,-0.207,0.431
132424,1755606723821,61.09,-25.47,1.42,792,769,816,379,848,34.48275862068966,-0.881,-0.207,0.432
132454,1755606723850,61.11,-25.47,1.41,797,774,815,400,842,33.333333333333336,-0.88,-0.207,0.431
132513,1755606723909,61.11,-25.51,1.38,797,780,814,348,852,33.333333333333336,-0.881,-0.207,0.431
132542,1755606723939,61.11,-25.49,1.39,791,775,809,364,850,34.48275862068966,-0.882,-0.207,0.431
132572,1755606723968,61.14,-25.48,1.36,798,783,814,401,844,33.333333333333336,-0.882,-0.208,0.431
132601,1755606723997,61.14,-25.49,1.35,798,770,816,412,847,34.48275862068966,-0.881,-0.209,0.43
