timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
99245,1755606692011,62.3,-27.44,-3.72,794,777,835,412,864,34.48275862068966,-0.892,-0.213,0.41
99275,1755606692014,62.3,-27.43,-3.71,797,769,836,409,865,33.333333333333336,-0.891,-0.213,0.41
99304,1755606692015,62.3,-27.42,-3.71,798,768,840,344,868,34.48275862068966,-0.89,-0.212,0.409
99334,1755606692017,62.27,-27.41,-3.72,798,768,837,359,865,33.333333333333336,-0.89,-0.212,0.409
99413,1755606692023,62.3,-27.39,-3.7,799,773,834,409,865,34.48275862068966,-0.892,-0.214,0.411
99443,1755606692025,62.29,-27.39,-3.69,803,776,840,406,868,33.333333333333336,-0.89,-0.213,0.41
99472,1755606692027,62.28,-27.38,-3.69,796,777,841,363,865,34.48275862068966,-0.891,-0.212,0.411
99502,1755606692029,62.29,-27.38,-3.68,795,775,839,347,869,33.333333333333336,-0.891,-0.212,0.411
99531,1755606692031,62.3,-27.36,-3.67,800,774,834,387,860,34.48275862068966,-0.891,-0.211,0.411
99561,1755606692033,62.29,-27.33,-3.68,801,776,838,410,866,33.333333333333336,-0.889,-0.211,0.411
99582,1755606692035,62.29,-27.32,-3.7,799,767,837,361,864,47.61904761904762,-0.889,-0.211,0.41
99612,1755606692037,62.29,-27.33,-3.7,801,772,838,416,868,33.333333333333336,-0.892,-0.213,0.41
99641,1755606692039,62.3,-27.34,-3.68,800,771,839,398,863,34.48275862068966,-0.893,-0.215,0.41
99671,1755606692041,62.31,-27.35,-3.65,796,770,832,352,866,33.333333333333336,-0.891,-0.214,0.41
99700,1755606692043,62.29,-27.35,-3.62,795,773,839,363,867,34.48275862068966,-0.89,-0.213,0.411
99730,1755606692045,62.3,-27.39,-3.6,795,776,837,401,868,33.333333333333336,-0.891,-0.212,0.411
99760,1755606692047,62.29,-27.37,-3.57,800,771,838,406,866,33.333333333333336,-0.892,-0.213,0.412
99789,1755606692049,62.33,-27.37,-3.55,796,774,838,362,866,34.48275862068966,-0.891,-0.213,0.411
99819,1755606692052,62.32,-27.37,-3.52,795,767,842,352,869,33.333333333333336,-0.89,-0.211,0.411
99849,1755606692054,62.32,-27.37,-3.5,798,773,840,382,874,33.333333333333336,-0.89,-0.21,0.411
99879,1755606692055,62.31,-27.36,-3.5,800,779,833,402,867,33.333333333333336,-0.89,-0.209,0.411
99908,1755606692057,62.29,-27.34,-3.5,799,774,837,394,863,34.48275862068966,-0.89,-0.209,0.41
99938,1755606692059,62.28,-27.34,-3.52,799,774,834,313,859,33.333333333333336,-0.889,-0.209,0.41
99968,1755606692061,62.27,-27.34,-3.53,800,774,835,333,867,33.333333333333336,-0.89,-0.209,0.411
99997,1755606692063,62.26,-27.33,-3.53,798,774,839,379,863,34.48275862068966,-0.891,-0.21,0.412
100027,1755606692065,62.27,-27.31,-3.52,799,778,839,404,863,33.333333333333336,-0.892,-0.212,0.412
100056,1755606692067,62.27,-27.32,-3.5,799,777,835,359,865,34.48275862068966,-0.891,-0.212,0.411
100085,1755606692070,62.28,-27.32,-3.49,796,780,839,342,867,34.48275862068966,-0.891,-0.211,0.411
100135,1755606692074,62.27,-27.33,-3.48,794,769,841,373,863,50.0,-0.891,-0.21,0.41
100165,1755606692076,62.27,-27.33,-3.47,795,779,835,403,866,33.333333333333336,-0.891,-0.21,0.41
100195,1755606692077,62.27,-27.31,-3.48,801,775,838,403,866,33.333333333333336,-0.891,-0.21,0.411
100224,1755606692079,62.27,-27.3,-3.48,797,773,840,387,867,34.48275862068966,-0.891,-0.21,0.411
100254,1755606692082,62.26,-27.3,-3.48,800,779,833,339,865,33.333333333333336,-0.891,-0.211,0.411
100283,1755606692084,62.27,-27.28,-3.48,799,773,836,364,866,34.48275862068966,-0.891,-0.211,0.412
100313,1755606692086,62.29,-27.27,-3.48,794,778,842,391,868,33.333333333333336,-0.892,-0.212,0.411
100342,1755606692088,62.28,-27.25,-3.45,798,774,831,402,866,34.48275862068966,-0.892,-0.212,0.411
100372,1755606692090,62.28,-27.23,-3.44,798,773,831,355,861,33.333333333333336,-0.891,-0.212,0.41
100402,1755606692092,62.28,-27.23,-3.42,794,777,836,345,867,33.333333333333336,-0.892,-0.212,0.41
100431,1755606692094,62.27,-27.23,-3.41,797,779,839,387,861,34.48275862068966,-0.89,-0.21,0.409
100491,1755606692098,62.27,-27.24,-3.42,795,774,833,392,867,33.333333333333336,-0.892,-0.211,0.409
100511,1755606692101,62.26,-27.23,-3.42,800,778,840,415,861,50.0,-0.891,-0.212,0.409
100541,1755606692103,62.29,-27.26,-3.41,798,774,835,340,866,33.333333333333336,-0.894,-0.213,0.411
100570,1755606692105,62.27,-27.25,-3.39,798,773,840,314,867,34.48275862068966,-0.893,-0.213,0.411
100600,1755606692107,62.29,-27.25,-3.37,799,775,841,344,866,33.333333333333336,-0.892,-0.212,0.412
100630,1755606692109,62.31,-27.26,-3.35,794,774,838,392,867,33.333333333333336,-0.892,-0.211,0.411
100659,1755606692111,62.3,-27.25,-3.35,801,774,837,401,874,34.48275862068966,-0.893,-0.209,0.41
100689,1755606692113,62.31,-27.25,-3.35,796,774,836,349,866,33.333333333333336,-0.893,-0.209,0.409
100718,1755606692115,62.28,-27.24,-3.35,797,772,836,343,862,34.48275862068966,-0.893,-0.209,0.409
100748,1755606692144,62.31,-27.29,-3.36,798,774,840,332,869,33.333333333333336,-0.894,-0.21,0.41
100778,1755606692173,62.31,-27.3,-3.35,797,771,834,400,865,33.333333333333336,-0.893,-0.211,0.41
100807,1755606692203,62.29,-27.28,-3.34,798,771,839,333,866,34.48275862068966,-0.894,-0.211,0.411
100837,1755606692233,62.31,-27.26,-3.34,800,777,837,321,869,33.333333333333336,-0.892,-0.209,0.411
100867,1755606692262,62.3,-27.24,-3.33,796,775,837,344,860,33.333333333333336,-0.89,-0.209,0.411
100896,1755606692292,62.3,-27.25,-3.36,798,767,839,396,868,34.48275862068966,-0.89,-0.21,0.411
100926,1755606692321,62.28,-27.25,-3.37,799,780,835,411,867,33.333333333333336,-0.89,-0.211,0.411
100956,1755606692351,62.29,-27.24,-3.36,804,769,838,366,871,33.333333333333336,-0.893,-0.212,0.411
100985,1755606692381,62.33,-27.24,-3.35,800,778,839,339,866,34.48275862068966,-0.892,-0.211,0.411
101015,1755606692410,62.32,-27.24,-3.35,800,771,838,384,865,33.333333333333336,-0.891,-0.211,0.411
101074,1755606692470,62.31,-27.23,-3.36,800,772,831,392,868,33.333333333333336,-0.891,-0.211,0.411
101104,1755606692499,62.31,-27.2,-3.36,800,770,837,364,869,33.333333333333336,-0.892,-0.211,0.411
101133,1755606692529,62.33,-27.21,-3.37,799,772,839,357,868,34.48275862068966,-0.891,-0.212,0.41
101163,1755606692559,62.31,-27.22,-3.36,795,776,841,417,864,33.333333333333336,-0.891,-0.213,0.41
101193,1755606692588,62.31,-27.24,-3.35,797,777,838,414,867,33.333333333333336,-0.892,-0.212,0.41
101222,1755606692618,62.32,-27.24,-3.35,799,773,837,370,870,34.48275862068966,-0.893,-0.212,0.411
101252,1755606692647,62.32,-27.22,-3.34,801,774,836,349,862,33.333333333333336,-0.891,-0.211,0.411
101282,1755606692677,62.32,-27.21,-3.35,800,776,834,378,862,33.333333333333336,-0.892,-0.211,0.412
101340,1755606692736,62.34,-27.21,-3.34,798,779,842,370,863,34.48275862068966,-0.893,-0.213,0.41
101370,1755606692765,62.34,-27.21,-3.34,800,776,836,349,865,33.333333333333336,-0.892,-0.213,0.409
101400,1755606692795,62.35,-27.21,-3.33,797,772,840,360,867,33.333333333333336,-0.892,-0.212,0.409
101429,1755606692825,62.34,-27.22,-3.33,797,774,839,422,865,34.48275862068966,-0.892,-0.212,0.409
101518,1755606692914,62.37,-27.25,-3.3,794,779,839,360,864,34.48275862068966,-0.893,-0.213,0.41
101548,1755606692944,62.35,-27.25,-3.29,800,774,839,399,868,33.333333333333336,-0.893,-0.212,0.409
101578,1755606692973,62.36,-27.26,-3.29,796,778,831,409,869,33.333333333333336,-0.893,-0.212,0.41
101608,1755606693003,62.34,-27.25,-3.28,796,775,837,386,865,33.333333333333336,-0.892,-0.212,0.409
101637,1755606693033,62.32,-27.25,-3.25,798,775,840,348,866,34.48275862068966,-0.893,-0.213,0.41
101667,1755606693062,62.34,-27.27,-3.24,800,773,838,360,869,33.333333333333336,-0.893,-0.213,0.41
101696,1755606693092,62.33,-27.26,-3.21,801,778,836,405,864,34.48275862068966,-0.893,-0.212,0.41
101726,1755606693121,62.35,-27.25,-3.19,796,773,834,393,865,33.333333333333336,-0.893,-0.212,0.411
101785,1755606693180,62.37,-27.23,-3.16,797,773,842,340,864,33.333333333333336,-0.891,-0.211,0.41
101815,1755606693210,62.37,-27.23,-3.16,800,772,832,386,866,33.333333333333336,-0.89,-0.209,0.409
101844,1755606693240,62.37,-27.22,-3.17,801,775,835,422,868,34.48275862068966,-0.891,-0.209,0.408
101874,1755606693269,62.33,-27.22,-3.18,794,772,843,372,864,33.333333333333336,-0.891,-0.21,0.408
101904,1755606693299,62.35,-27.23,-3.18,793,776,841,342,867,33.333333333333336,-0.892,-0.211,0.409
101933,1755606693328,62.35,-27.21,-3.15,796,778,832,372,874,34.48275862068966,-0.892,-0.212,0.41
101963,1755606693358,62.38,-27.21,-3.16,794,767,835,409,867,33.333333333333336,-0.892,-0.211,0.409
101992,1755606693387,62.39,-27.19,-3.16,797,769,841,399,869,34.48275862068966,-0.891,-0.211,0.408
102022,1755606693417,62.39,-27.2,-3.17,803,771,839,341,866,33.333333333333336,-0.892,-0.211,0.407
102052,1755606693447,62.39,-27.23,-3.17,798,774,836,337,865,33.333333333333336,-0.893,-0.213,0.406
102081,1755606693477,62.39,-27.24,-3.16,794,776,839,384,867,34.48275862068966,-0.893,-0.212,0.407
102111,1755606693506,62.4,-27.23,-3.15,799,775,834,408,863,33.333333333333336,-0.892,-0.211,0.408
102170,1755606693566,62.41,-27.24,-3.17,793,773,834,340,869,33.333333333333336,-0.891,-0.21,0.408
102200,1755606693595,62.39,-27.24,-3.18,800,770,840,356,864,33.333333333333336,-0.892,-0.21,0.407
102229,1755606693625,62.38,-27.24,-3.18,797,778,837,409,866,34.48275862068966,-0.893,-0.211,0.407
102288,1755606693684,62.39,-27.25,-3.19,798,775,837,345,862,34.48275862068966,-0.891,-0.211,0.407
102318,1755606693713,62.39,-27.23,-3.21,796,774,832,354,866,33.333333333333336,-0.891,-0.211,0.408
102348,1755606693743,62.4,-27.19,-3.21,800,779,843,388,865,33.333333333333336,-0.893,-0.213,0.408
102377,1755606693773,62.42,-27.18,-3.21,799,778,838,415,869,34.48275862068966,-0.894,-0.214,0.407
102407,1755606693802,62.41,-27.17,-3.19,793,773,837,366,867,33.333333333333336,-0.893,-0.214,0.405
102466,1755606693862,62.39,-27.22,-3.17,798,773,839,363,859,33.333333333333336,-0.893,-0.213,0.407
102496,1755606693891,62.4,-27.2,-3.16,796,782,839,395,871,33.333333333333336,-0.893,-0.212,0.407
102526,1755606693921,62.41,-27.2,-3.15,797,779,840,406,866,33.333333333333336,-0.892,-0.212,0.407
102555,1755606693951,62.4,-27.23,-3.14,797,780,833,340,871,34.48275862068966,-0.891,-0.212,0.406
102585,1755606693980,62.38,-27.26,-3.14,798,777,836,349,869,33.333333333333336,-0.891,-0.212,0.407
102614,1755606694010,62.39,-27.26,-3.12,797,779,836,387,868,34.48275862068966,-0.892,-0.213,0.408
102644,1755606694040,62.4,-27.25,-3.1,799,771,845,398,868,33.333333333333336,-0.892,-0.212,0.408
102703,1755606694099,62.39,-27.24,-3.1,795,775,838,343,866,34.48275862068966,-0.891,-0.212,0.406
102733,1755606694128,62.37,-27.25,-3.09,799,773,835,352,867,33.333333333333336,-0.892,-0.212,0.406
102762,1755606694158,62.39,-27.27,-3.09,795,774,840,416,863,34.48275862068966,-0.893,-0.213,0.406
102792,1755606694188,62.38,-27.26,-3.08,796,776,831,406,864,33.333333333333336,-0.89,-0.211,0.406
102822,1755606694218,62.39,-27.28,-3.11,798,771,836,349,863,33.333333333333336,-0.891,-0.21,0.406
102852,1755606694248,62.38,-27.27,-3.12,795,775,844,342,861,33.333333333333336,-0.892,-0.211,0.407
102882,1755606694277,62.39,-27.27,-3.12,795,773,837,394,868,33.333333333333336,-0.893,-0.213,0.407
102912,1755606694307,62.4,-27.28,-3.11,797,774,837,406,867,33.333333333333336,-0.893,-0.214,0.407
102941,1755606694337,62.39,-27.31,-3.1,797,773,843,386,866,34.48275862068966,-0.89,-0.213,0.405
102971,1755606694366,62.38,-27.32,-3.1,798,775,836,340,870,33.333333333333336,-0.891,-0.212,0.406
103001,1755606694396,62.39,-27.33,-3.12,798,773,840,356,866,33.333333333333336,-0.892,-0.214,0.407
103030,1755606694426,62.42,-27.33,-3.11,795,778,838,422,868,34.48275862068966,-0.894,-0.217,0.407
103060,1755606694455,62.44,-27.32,-3.07,799,774,844,422,866,33.333333333333336,-0.894,-0.219,0.407
103090,1755606694485,62.4,-27.31,-2.98,798,775,833,361,863,33.333333333333336,-0.895,-0.218,0.407
103119,1755606694515,62.36,-27.28,-2.9,798,768,837,295,863,34.48275862068966,-0.893,-0.213,0.407
103149,1755606694544,62.31,-27.24,-2.87,795,771,839,355,860,33.333333333333336,-0.888,-0.207,0.407
103178,1755606694573,62.28,-27.24,-2.92,802,775,836,359,868,34.48275862068966,-0.887,-0.206,0.408
103208,1755606694603,62.23,-27.23,-2.97,796,777,839,319,865,33.333333333333336,-0.89,-0.209,0.408
103237,1755606694633,62.22,-27.25,-3.0,796,778,839,310,867,34.48275862068966,-0.891,-0.212,0.408
103267,1755606694662,62.24,-27.3,-3.0,800,774,839,359,867,33.333333333333336,-0.892,-0.213,0.407
