timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
221228,1755607090755,44.13,-74.05,-71.06,799,776,779,347,930,33.333333333333336,-0.703,-0.683,0.195
221257,1755607090756,44.12,-74.08,-71.07,799,773,778,406,932,34.48275862068966,-0.701,-0.682,0.195
221287,1755607090759,44.09,-74.13,-71.11,798,777,778,405,929,33.333333333333336,-0.704,-0.681,0.194
221317,1755607090761,44.09,-74.13,-71.11,795,772,777,372,929,33.333333333333336,-0.704,-0.685,0.194
221346,1755607090763,44.08,-74.12,-71.1,799,768,775,333,928,34.48275862068966,-0.701,-0.681,0.195
221376,1755607090764,44.08,-74.2,-71.18,800,771,778,370,933,33.333333333333336,-0.699,-0.683,0.197
221396,1755607090767,44.1,-74.23,-71.22,797,775,778,360,923,50.0,-0.7,-0.687,0.195
221426,1755607090768,44.1,-74.21,-71.18,800,778,776,374,927,33.333333333333336,-0.702,-0.687,0.195
221456,1755607090771,44.09,-74.16,-71.17,797,780,777,418,933,33.333333333333336,-0.701,-0.686,0.197
221485,1755607090773,44.11,-74.15,-71.17,794,774,779,403,927,34.48275862068966,-0.702,-0.688,0.196
221515,1755607090775,44.15,-74.15,-71.14,800,773,774,355,936,33.333333333333336,-0.702,-0.684,0.197
221545,1755607090777,44.12,-74.11,-71.14,794,775,776,344,931,33.333333333333336,-0.703,-0.683,0.194
221575,1755607090779,44.06,-74.04,-71.11,797,767,777,407,931,33.333333333333336,-0.703,-0.684,0.195
221604,1755607090781,44.06,-74.03,-71.1,799,767,773,421,926,34.48275862068966,-0.701,-0.683,0.197
221634,1755607090783,44.05,-74.04,-71.1,794,776,776,378,927,33.333333333333336,-0.702,-0.683,0.199
221683,1755607090787,44.06,-74.0,-71.08,798,778,777,387,920,50.0,-0.702,-0.682,0.197
221713,1755607090789,44.06,-74.05,-71.08,800,777,777,361,927,33.333333333333336,-0.699,-0.683,0.197
221743,1755607090791,44.09,-74.06,-71.09,797,773,777,392,922,33.333333333333336,-0.701,-0.683,0.197
221772,1755607090793,44.07,-74.07,-71.11,801,776,780,431,927,34.48275862068966,-0.701,-0.683,0.197
221802,1755607090795,44.11,-74.07,-71.13,800,776,778,405,922,33.333333333333336,-0.701,-0.682,0.196
221831,1755607090797,44.1,-74.1,-71.15,799,774,777,355,925,34.48275862068966,-0.702,-0.682,0.194
221861,1755607090799,44.1,-74.12,-71.16,797,767,778,355,929,33.333333333333336,-0.702,-0.683,0.196
221891,1755607090801,44.09,-74.17,-71.17,799,774,775,420,932,33.333333333333336,-0.704,-0.684,0.196
221920,1755607090803,44.07,-74.17,-71.16,799,773,775,428,923,34.48275862068966,-0.703,-0.683,0.197
221950,1755607090805,44.01,-74.12,-71.16,799,774,780,378,927,33.333333333333336,-0.702,-0.683,0.196
221980,1755607090807,43.99,-74.14,-71.16,798,773,777,347,928,33.333333333333336,-0.702,-0.685,0.196
222039,1755607090810,43.98,-74.13,-71.13,799,777,779,414,924,33.333333333333336,-0.701,-0.682,0.198
222068,1755607090813,43.93,-74.12,-71.13,803,766,775,392,922,34.48275862068966,-0.702,-0.682,0.198
222098,1755607090815,43.94,-74.15,-71.12,797,774,777,342,930,33.333333333333336,-0.701,-0.685,0.195
222157,1755607090818,43.98,-74.28,-71.16,797,781,777,404,928,34.48275862068966,-0.7,-0.68,0.197
222217,1755607090822,43.96,-74.25,-71.15,792,769,776,368,926,33.333333333333336,-0.701,-0.685,0.194
222246,1755607090825,43.9,-74.27,-71.16,799,779,780,344,929,34.48275862068966,-0.699,-0.683,0.197
222276,1755607090828,43.9,-74.2,-71.17,799,778,776,386,924,33.333333333333336,-0.701,-0.684,0.196
222305,1755607090830,43.91,-74.23,-71.15,800,774,776,427,923,34.48275862068966,-0.701,-0.684,0.195
222335,1755607090832,43.92,-74.22,-71.16,799,776,777,390,925,33.333333333333336,-0.701,-0.683,0.197
222365,1755607090834,43.89,-74.22,-71.18,795,774,779,327,930,33.333333333333336,-0.701,-0.683,0.197
222394,1755607090837,43.91,-74.23,-71.2,798,778,779,336,925,34.48275862068966,-0.702,-0.684,0.195
222423,1755607090839,43.87,-74.22,-71.21,799,774,776,398,925,34.48275862068966,-0.702,-0.683,0.196
222453,1755607090841,43.86,-74.2,-71.23,800,772,776,407,940,33.333333333333336,-0.7,-0.682,0.198
222513,1755607090844,43.88,-74.19,-71.24,801,777,783,340,930,33.333333333333336,-0.702,-0.687,0.195
222542,1755607090846,43.86,-74.28,-71.24,797,769,777,376,926,34.48275862068966,-0.702,-0.687,0.197
222572,1755607090848,43.86,-74.28,-71.25,800,778,776,425,930,33.333333333333336,-0.699,-0.684,0.197
222602,1755607090851,43.82,-74.24,-71.23,799,776,777,407,922,33.333333333333336,-0.697,-0.682,0.194
222631,1755607090853,43.79,-74.22,-71.23,797,778,776,348,934,34.48275862068966,-0.696,-0.681,0.193
222660,1755607090872,43.77,-74.25,-71.22,797,772,778,354,930,34.48275862068966,-0.696,-0.683,0.194
222690,1755607090901,43.77,-74.24,-71.19,801,778,777,400,929,33.333333333333336,-0.696,-0.682,0.194
222720,1755607090930,43.7,-74.23,-71.2,796,775,772,407,930,33.333333333333336,-0.695,-0.681,0.196
222749,1755607090960,43.72,-74.23,-71.21,796,775,778,364,928,34.48275862068966,-0.695,-0.683,0.197
222769,1755607090980,43.74,-74.21,-71.23,799,773,775,408,932,50.0,-0.696,-0.682,0.199
222799,1755607091009,43.72,-74.21,-71.22,798,778,774,358,936,33.333333333333336,-0.698,-0.684,0.197
222828,1755607091039,43.74,-74.25,-71.22,795,774,776,337,929,34.48275862068966,-0.696,-0.684,0.198
222858,1755607091069,43.78,-74.24,-71.26,795,774,777,407,926,33.333333333333336,-0.699,-0.683,0.197
222888,1755607091098,43.73,-74.25,-71.22,792,773,779,407,932,33.333333333333336,-0.702,-0.685,0.196
222917,1755607091128,43.72,-74.28,-71.22,800,769,779,364,925,34.48275862068966,-0.698,-0.685,0.196
222937,1755607091148,43.74,-74.28,-71.22,794,772,776,411,927,50.0,-0.698,-0.686,0.197
222997,1755607091208,43.76,-74.23,-71.18,791,766,775,333,929,33.333333333333336,-0.699,-0.685,0.2
223027,1755607091237,43.73,-74.14,-71.16,797,775,777,345,929,33.333333333333336,-0.7,-0.685,0.198
223056,1755607091267,43.71,-74.11,-71.15,797,774,774,411,926,34.48275862068966,-0.697,-0.686,0.196
223086,1755607091297,43.76,-74.12,-71.16,795,774,777,409,927,33.333333333333336,-0.696,-0.684,0.196
223116,1755607091327,43.76,-74.18,-71.2,799,774,779,344,927,33.333333333333336,-0.698,-0.683,0.193
223146,1755607091356,43.79,-74.23,-71.23,798,775,774,338,930,33.333333333333336,-0.708,-0.683,0.189
223175,1755607091386,43.77,-74.27,-71.23,793,774,778,393,924,34.48275862068966,-0.706,-0.682,0.191
223205,1755607091415,43.72,-74.34,-71.25,790,767,777,425,929,33.333333333333336,-0.703,-0.684,0.192
223234,1755607091445,43.7,-74.36,-71.27,800,774,779,375,931,34.48275862068966,-0.701,-0.686,0.193
223264,1755607091475,43.72,-74.41,-71.28,800,776,779,334,926,33.333333333333336,-0.703,-0.687,0.194
223294,1755607091504,43.67,-74.43,-71.27,796,773,775,341,927,33.333333333333336,-0.702,-0.685,0.198
223323,1755607091534,43.67,-74.46,-71.29,796,779,780,400,931,34.48275862068966,-0.701,-0.687,0.196
223353,1755607091563,43.65,-74.41,-71.28,798,779,779,372,932,33.333333333333336,-0.701,-0.686,0.193
223382,1755607091593,43.61,-74.42,-71.28,797,779,779,350,935,34.48275862068966,-0.701,-0.686,0.192
223412,1755607091622,43.6,-74.43,-71.29,796,769,774,342,924,33.333333333333336,-0.7,-0.686,0.193
223441,1755607091652,43.57,-74.43,-71.32,797,772,779,389,927,34.48275862068966,-0.7,-0.685,0.195
