timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
125426,1755607255793,38.8,-152.39,-18.61,801,778,813,388,852,33.333333333333336,-0.638,-0.362,-0.684
125456,1755607255795,38.91,-152.29,-18.53,800,779,818,412,856,33.333333333333336,-0.642,-0.361,-0.679
125485,1755607255798,39.01,-152.17,-18.46,799,767,815,372,853,34.48275862068966,-0.638,-0.358,-0.682
125515,1755607255800,39.08,-152.13,-18.44,801,772,814,360,853,33.333333333333336,-0.636,-0.36,-0.688
125545,1755607255802,39.08,-152.16,-18.4,795,774,813,367,854,33.333333333333336,-0.636,-0.362,-0.689
125574,1755607255804,39.07,-152.15,-18.34,796,772,815,411,856,34.48275862068966,-0.637,-0.359,-0.686
125604,1755607255806,39.06,-152.08,-18.3,797,775,811,382,851,33.333333333333336,-0.631,-0.356,-0.688
125634,1755607255808,39.06,-152.08,-18.3,794,772,808,346,855,33.333333333333336,-0.633,-0.358,-0.69
125664,1755607255810,39.02,-152.13,-18.32,799,775,818,348,853,33.333333333333336,-0.634,-0.358,-0.69
125693,1755607255812,38.96,-151.72,-18.29,800,769,815,390,856,34.48275862068966,-0.639,-0.357,-0.683
125752,1755607255816,39.09,-151.66,-18.29,797,768,813,386,856,34.48275862068966,-0.638,-0.36,-0.686
125782,1755607255818,39.07,-151.68,-18.27,799,775,814,306,856,33.333333333333336,-0.638,-0.361,-0.687
125811,1755607255820,39.08,-151.66,-18.26,800,767,813,357,852,34.48275862068966,-0.635,-0.359,-0.684
125841,1755607255822,39.15,-151.64,-18.25,795,779,814,408,855,33.333333333333336,-0.638,-0.359,-0.683
125900,1755607255827,39.27,-151.68,-18.26,797,770,810,362,854,34.48275862068966,-0.636,-0.358,-0.688
125930,1755607255829,39.26,-151.7,-18.27,795,773,817,340,857,33.333333333333336,-0.635,-0.359,-0.688
125950,1755607255831,39.26,-151.71,-18.27,797,775,810,377,854,50.0,-0.634,-0.359,-0.686
125980,1755607255856,39.25,-151.71,-18.27,797,772,817,353,854,33.333333333333336,-0.632,-0.359,-0.688
126009,1755607255886,39.24,-151.78,-18.27,798,774,814,389,855,34.48275862068966,-0.634,-0.362,-0.687
126068,1755607255945,39.24,-151.8,-18.26,800,773,816,329,851,34.48275862068966,-0.634,-0.357,-0.687
126098,1755607255974,39.27,-151.82,-18.3,796,766,814,329,854,33.333333333333336,-0.634,-0.36,-0.691
126128,1755607256004,39.19,-151.9,-18.3,798,775,816,366,854,33.333333333333336,-0.635,-0.358,-0.69
126157,1755607256033,39.21,-151.85,-18.31,799,771,813,397,857,34.48275862068966,-0.634,-0.359,-0.686
126187,1755607256063,39.23,-151.81,-18.3,800,772,814,397,850,33.333333333333336,-0.635,-0.361,-0.69
126217,1755607256093,39.21,-151.82,-18.28,801,771,815,356,855,33.333333333333336,-0.636,-0.361,-0.69
126246,1755607256122,39.21,-151.78,-18.24,795,767,814,358,860,34.48275862068966,-0.632,-0.36,-0.689
126276,1755607256152,39.23,-151.73,-18.23,799,776,815,391,855,33.333333333333336,-0.631,-0.36,-0.691
126306,1755607256182,39.17,-151.68,-18.21,802,779,814,409,857,33.333333333333336,-0.631,-0.363,-0.693
126335,1755607256211,39.13,-151.68,-18.17,801,777,816,372,855,34.48275862068966,-0.633,-0.363,-0.691
126365,1755607256241,39.1,-151.69,-18.17,797,768,817,350,848,33.333333333333336,-0.632,-0.359,-0.69
126394,1755607256270,39.06,-151.72,-18.18,798,778,815,378,856,34.48275862068966,-0.636,-0.36,-0.688
126483,1755607256359,39.04,-151.73,-18.19,797,766,817,343,849,33.333333333333336,-0.637,-0.359,-0.688
126512,1755607256388,39.03,-151.69,-18.2,798,772,811,349,850,34.48275862068966,-0.635,-0.36,-0.686
126542,1755607256418,39.06,-151.71,-18.21,795,770,814,396,854,33.333333333333336,-0.639,-0.36,-0.685
126572,1755607256448,39.07,-151.7,-18.2,797,775,810,398,853,33.333333333333336,-0.637,-0.36,-0.685
126601,1755607256477,39.06,-151.67,-18.2,800,771,816,355,857,34.48275862068966,-0.636,-0.362,-0.686
126631,1755607256506,39.05,-151.66,-18.2,800,774,817,348,855,33.333333333333336,-0.638,-0.362,-0.685
126660,1755607256536,39.04,-151.64,-18.19,796,769,812,397,857,34.48275862068966,-0.637,-0.361,-0.685
126690,1755607256566,39.08,-151.61,-18.18,797,773,810,418,847,33.333333333333336,-0.637,-0.361,-0.684
126749,1755607256625,39.12,-151.61,-18.16,802,776,817,357,855,34.48275862068966,-0.64,-0.362,-0.684
126779,1755607256655,39.12,-151.59,-18.14,798,771,818,364,856,33.333333333333336,-0.636,-0.362,-0.684
126809,1755607256684,39.17,-151.61,-18.14,799,774,814,392,851,33.333333333333336,-0.638,-0.362,-0.683
126868,1755607256744,39.12,-151.63,-18.17,802,775,813,365,855,33.333333333333336,-0.635,-0.362,-0.686
126898,1755607256774,39.1,-151.66,-18.22,801,772,815,354,858,33.333333333333336,-0.637,-0.363,-0.684
126927,1755607256804,39.07,-151.62,-18.22,793,772,815,377,854,34.48275862068966,-0.638,-0.363,-0.683
126957,1755607256833,39.02,-151.61,-18.24,800,774,813,396,854,33.333333333333336,-0.639,-0.363,-0.683
126987,1755607256863,39.0,-151.59,-18.22,801,774,808,381,852,33.333333333333336,-0.637,-0.364,-0.683
127017,1755607256893,38.98,-151.6,-18.22,799,774,814,366,854,33.333333333333336,-0.637,-0.363,-0.682
