timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
51998,1755607443321,31.71,-156.35,-34.37,795,770,783,340,887,33.333333333333336,-0.543,-0.347,-0.774
52027,1755607443323,31.6,-156.36,-34.41,797,778,790,377,883,34.48275862068966,-0.546,-0.348,-0.768
52057,1755607443325,31.57,-156.32,-34.37,796,774,787,405,876,33.333333333333336,-0.547,-0.346,-0.765
52087,1755607443327,31.62,-156.26,-34.29,798,766,786,372,879,33.333333333333336,-0.557,-0.343,-0.762
52116,1755607443329,31.8,-156.24,-34.24,798,773,786,330,880,34.48275862068966,-0.551,-0.345,-0.76
52146,1755607443331,31.89,-156.06,-34.12,793,772,783,353,879,33.333333333333336,-0.553,-0.345,-0.762
52176,1755607443333,31.95,-156.01,-34.08,797,778,785,407,878,33.333333333333336,-0.552,-0.345,-0.766
52205,1755607443335,31.93,-155.98,-34.03,800,774,788,415,872,34.48275862068966,-0.552,-0.345,-0.766
52235,1755607443337,31.87,-155.86,-33.95,799,779,785,348,879,33.333333333333336,-0.552,-0.341,-0.766
52265,1755607443340,31.75,-155.69,-33.88,795,779,788,339,875,33.333333333333336,-0.55,-0.341,-0.765
52294,1755607443341,31.66,-155.64,-33.87,794,779,785,381,877,34.48275862068966,-0.547,-0.343,-0.768
52324,1755607443343,31.58,-155.68,-33.89,794,776,787,422,874,33.333333333333336,-0.548,-0.342,-0.768
52353,1755607443345,31.51,-155.71,-33.94,796,775,786,390,872,34.48275862068966,-0.551,-0.343,-0.761
52383,1755607443347,31.51,-155.66,-33.95,799,775,789,336,876,33.333333333333336,-0.554,-0.345,-0.758
52413,1755607443349,31.55,-155.66,-33.95,797,778,790,345,873,33.333333333333336,-0.561,-0.345,-0.759
52433,1755607443351,31.55,-155.64,-33.94,799,772,789,350,877,50.0,-0.555,-0.344,-0.759
52462,1755607443353,31.55,-155.64,-34.0,798,778,789,367,879,34.48275862068966,-0.559,-0.343,-0.759
52492,1755607443356,31.44,-155.59,-34.03,796,775,784,420,877,33.333333333333336,-0.56,-0.343,-0.76
52512,1755607443358,31.39,-155.56,-34.05,795,776,790,363,872,50.0,-0.558,-0.347,-0.759
52541,1755607443359,31.29,-155.51,-34.05,797,775,786,407,881,34.48275862068966,-0.558,-0.348,-0.757
52601,1755607443364,31.2,-155.45,-34.01,794,779,786,333,873,33.333333333333336,-0.566,-0.351,-0.751
52630,1755607443365,31.38,-155.45,-33.96,797,778,787,342,874,34.48275862068966,-0.565,-0.355,-0.747
52660,1755607443367,31.59,-155.48,-33.85,797,775,785,405,877,33.333333333333336,-0.568,-0.355,-0.749
52689,1755607443369,31.86,-155.59,-33.79,799,769,781,406,879,34.48275862068966,-0.565,-0.348,-0.748
52719,1755607443372,32.02,-155.57,-33.71,796,777,783,354,883,33.333333333333336,-0.561,-0.341,-0.752
52749,1755607443374,32.09,-155.52,-33.66,794,774,784,338,875,33.333333333333336,-0.561,-0.34,-0.756
52778,1755607443376,32.07,-155.52,-33.63,795,776,789,364,882,34.48275862068966,-0.558,-0.343,-0.757
52808,1755607443377,32.08,-155.49,-33.59,799,775,788,416,878,33.333333333333336,-0.564,-0.344,-0.757
52837,1755607443380,32.07,-155.46,-33.52,797,778,787,384,879,34.48275862068966,-0.564,-0.345,-0.754
52867,1755607443381,32.25,-155.46,-33.48,797,771,786,299,876,33.333333333333336,-0.568,-0.347,-0.749
52897,1755607443383,32.37,-155.36,-33.42,793,770,788,339,876,33.333333333333336,-0.567,-0.342,-0.753
52926,1755607443385,32.39,-155.3,-33.36,796,774,788,398,882,34.48275862068966,-0.567,-0.34,-0.754
52956,1755607443387,32.46,-155.28,-33.36,797,773,785,409,873,33.333333333333336,-0.563,-0.341,-0.755
52986,1755607443390,32.48,-155.21,-33.37,797,768,786,365,875,33.333333333333336,-0.561,-0.34,-0.759
53015,1755607443392,32.42,-155.2,-33.38,796,774,783,323,875,34.48275862068966,-0.558,-0.342,-0.758
53045,1755607443394,32.46,-155.19,-33.41,793,774,786,356,875,33.333333333333336,-0.561,-0.345,-0.757
53074,1755607443396,32.49,-155.19,-33.42,798,779,789,395,872,34.48275862068966,-0.562,-0.346,-0.758
53095,1755607443398,32.49,-155.2,-33.44,795,778,783,356,875,47.61904761904762,-0.56,-0.346,-0.757
53124,1755607443400,32.47,-155.18,-33.47,798,768,786,400,878,34.48275862068966,-0.558,-0.345,-0.758
53154,1755607443403,32.45,-155.23,-33.51,794,775,785,377,879,33.333333333333336,-0.561,-0.346,-0.755
53184,1755607443405,32.51,-155.22,-33.52,796,778,779,330,877,33.333333333333336,-0.56,-0.349,-0.75
53213,1755607443407,32.69,-155.23,-33.56,796,776,788,345,877,34.48275862068966,-0.563,-0.349,-0.748
53243,1755607443409,32.91,-155.22,-33.52,797,776,784,419,873,33.333333333333336,-0.572,-0.349,-0.744
53273,1755607443411,33.18,-155.05,-33.44,798,769,782,406,875,33.333333333333336,-0.563,-0.345,-0.746
53302,1755607443414,33.2,-154.67,-33.46,795,782,782,349,887,34.48275862068966,-0.548,-0.341,-0.757
53332,1755607443415,32.88,-154.28,-33.63,797,776,785,328,872,33.333333333333336,-0.534,-0.338,-0.774
53362,1755607443417,32.3,-154.44,-34.0,796,773,788,380,876,33.333333333333336,-0.547,-0.344,-0.785
53421,1755607443421,31.73,-155.15,-34.32,793,775,785,397,876,33.333333333333336,-0.575,-0.371,-0.737
53451,1755607443423,31.97,-154.96,-34.2,796,772,781,304,874,33.333333333333336,-0.571,-0.373,-0.729
53480,1755607443425,32.24,-154.72,-34.07,796,771,781,332,875,34.48275862068966,-0.573,-0.364,-0.739
53510,1755607443427,32.43,-154.61,-33.99,797,778,786,398,878,33.333333333333336,-0.567,-0.356,-0.746
53569,1755607443431,32.21,-154.32,-33.96,798,773,786,355,875,33.333333333333336,-0.556,-0.361,-0.751
53599,1755607443433,32.04,-154.35,-34.04,799,770,784,317,876,33.333333333333336,-0.564,-0.362,-0.754
53628,1755607443435,31.91,-154.41,-34.05,792,770,782,376,877,34.48275862068966,-0.566,-0.365,-0.746
53658,1755607443438,31.91,-154.3,-34.02,795,774,787,409,877,33.333333333333336,-0.567,-0.365,-0.738
53688,1755607443439,31.91,-154.14,-33.97,796,773,786,403,878,33.333333333333336,-0.57,-0.367,-0.736
53718,1755607443451,31.93,-154.01,-33.88,793,779,789,332,886,33.333333333333336,-0.575,-0.368,-0.733
53747,1755607443480,32.04,-153.86,-33.82,797,773,787,337,876,34.48275862068966,-0.574,-0.367,-0.734
53777,1755607443510,32.15,-153.69,-33.71,795,773,787,391,880,33.333333333333336,-0.571,-0.37,-0.732
53806,1755607443539,32.19,-153.39,-33.7,797,771,787,404,874,34.48275862068966,-0.56,-0.372,-0.735
53836,1755607443569,32.11,-153.14,-33.74,799,775,783,374,883,33.333333333333336,-0.561,-0.374,-0.739
53866,1755607443599,32.0,-152.97,-33.88,795,777,785,342,885,33.333333333333336,-0.561,-0.374,-0.742
53895,1755607443628,31.87,-152.9,-33.91,797,777,788,369,872,34.48275862068966,-0.564,-0.378,-0.743
53954,1755607443687,31.7,-153.18,-34.01,799,768,786,404,876,34.48275862068966,-0.583,-0.38,-0.733
53984,1755607443717,31.8,-153.23,-33.94,797,773,783,338,876,33.333333333333336,-0.587,-0.381,-0.721
54043,1755607443777,32.13,-152.91,-33.75,797,771,784,414,879,33.333333333333336,-0.58,-0.38,-0.724
54073,1755607443806,32.16,-152.85,-33.71,795,778,790,399,875,33.333333333333336,-0.578,-0.381,-0.73
54103,1755607443836,32.14,-152.9,-33.73,796,779,784,367,882,33.333333333333336,-0.575,-0.38,-0.732
54132,1755607443865,32.1,-152.88,-33.75,790,774,789,325,880,34.48275862068966,-0.577,-0.382,-0.726
54162,1755607443895,32.06,-152.82,-33.69,796,775,789,364,875,33.333333333333336,-0.58,-0.383,-0.724
54192,1755607443924,32.12,-152.78,-33.62,792,767,784,402,874,33.333333333333336,-0.585,-0.384,-0.72
54221,1755607443954,32.21,-152.7,-33.55,798,773,785,388,879,34.48275862068966,-0.587,-0.386,-0.713
54280,1755607444013,32.52,-152.46,-33.36,798,774,789,344,876,34.48275862068966,-0.584,-0.376,-0.723
54310,1755607444043,32.54,-152.43,-33.3,795,779,783,413,878,33.333333333333336,-0.58,-0.378,-0.725
54339,1755607444072,32.56,-152.4,-33.3,797,771,788,378,876,34.48275862068966,-0.575,-0.379,-0.725
54369,1755607444102,32.48,-152.37,-33.3,796,771,780,304,875,33.333333333333336,-0.579,-0.379,-0.726
54398,1755607444132,32.43,-152.37,-33.31,796,777,787,263,879,34.48275862068966,-0.585,-0.379,-0.722
54428,1755607444161,32.44,-152.31,-33.25,793,774,787,341,875,33.333333333333336,-0.584,-0.382,-0.716
54458,1755607444191,32.48,-152.19,-33.23,796,773,787,391,879,33.333333333333336,-0.587,-0.381,-0.716
54517,1755607444250,32.51,-152.13,-33.16,795,771,787,287,874,34.48275862068966,-0.588,-0.383,-0.716
54547,1755607444280,32.56,-152.09,-33.13,792,780,784,311,881,33.333333333333336,-0.587,-0.383,-0.714
54576,1755607444309,32.63,-152.07,-33.1,796,775,781,353,874,34.48275862068966,-0.589,-0.384,-0.715
54606,1755607444339,32.66,-152.03,-33.1,797,778,786,385,873,33.333333333333336,-0.589,-0.381,-0.716
54636,1755607444369,32.67,-152.01,-33.1,795,774,793,353,872,33.333333333333336,-0.589,-0.383,-0.713
54665,1755607444398,32.71,-151.95,-33.09,796,773,786,333,878,34.48275862068966,-0.596,-0.384,-0.716
54695,1755607444428,32.68,-151.94,-33.11,797,780,787,364,871,33.333333333333336,-0.593,-0.386,-0.715
54725,1755607444458,32.72,-151.91,-33.09,798,772,788,400,878,33.333333333333336,-0.596,-0.387,-0.712
54745,1755607444478,32.79,-151.9,-33.08,796,769,782,309,877,50.0,-0.599,-0.385,-0.71
54775,1755607444507,32.87,-151.84,-33.04,793,773,783,389,874,33.333333333333336,-0.6,-0.384,-0.708
54804,1755607444537,32.96,-151.8,-33.0,796,777,787,380,876,34.48275862068966,-0.597,-0.387,-0.707
54834,1755607444567,33.06,-151.77,-32.98,799,772,785,321,873,33.333333333333336,-0.594,-0.387,-0.71
54863,1755607444596,33.08,-151.77,-32.99,792,778,786,349,876,34.48275862068966,-0.594,-0.385,-0.711
54893,1755607444626,33.07,-151.74,-33.0,796,765,785,391,879,33.333333333333336,-0.595,-0.384,-0.711
