timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
95276,1755607743510,27.43,-68.53,-26.53,790,775,830,379,866,33.333333333333336,-0.458,-0.825,0.321
95306,1755607743512,27.47,-68.55,-26.5,786,774,833,362,861,33.333333333333336,-0.46,-0.827,0.324
95335,1755607743514,27.48,-68.52,-26.46,787,777,829,344,866,34.48275862068966,-0.457,-0.824,0.327
95365,1755607743516,27.49,-68.49,-26.48,788,770,832,371,872,33.333333333333336,-0.454,-0.821,0.327
95394,1755607743518,27.49,-68.46,-26.53,784,776,829,394,863,34.48275862068966,-0.455,-0.822,0.323
95424,1755607743519,27.5,-68.5,-26.55,788,772,835,375,864,33.333333333333336,-0.458,-0.824,0.32
95454,1755607743521,27.51,-68.54,-26.56,790,776,833,349,858,33.333333333333336,-0.458,-0.825,0.32
95483,1755607743523,27.52,-68.53,-26.58,785,780,833,357,860,34.48275862068966,-0.458,-0.825,0.322
95513,1755607743525,27.5,-68.5,-26.6,787,776,835,402,862,33.333333333333336,-0.458,-0.826,0.321
95543,1755607743527,27.52,-68.51,-26.6,787,778,828,403,859,33.333333333333336,-0.458,-0.826,0.319
95572,1755607743529,27.5,-68.5,-26.62,791,778,835,353,862,34.48275862068966,-0.46,-0.825,0.319
95602,1755607743531,27.42,-68.42,-26.64,792,768,830,362,858,33.333333333333336,-0.461,-0.825,0.32
95622,1755607743533,27.39,-68.38,-26.64,785,778,835,376,865,50.0,-0.458,-0.826,0.319
95651,1755607743535,27.39,-68.45,-26.63,789,769,830,353,863,34.48275862068966,-0.456,-0.827,0.319
95681,1755607743537,27.4,-68.47,-26.64,791,775,833,389,863,33.333333333333336,-0.455,-0.827,0.322
95702,1755607743539,27.37,-68.42,-26.65,788,772,825,351,862,47.61904761904762,-0.454,-0.827,0.324
95731,1755607743541,27.34,-68.33,-26.64,788,772,833,382,863,34.48275862068966,-0.454,-0.828,0.321
95790,1755607743545,27.36,-68.36,-26.63,792,774,832,373,864,34.48275862068966,-0.455,-0.822,0.325
95820,1755607743547,27.33,-68.28,-26.65,789,776,833,356,868,33.333333333333336,-0.456,-0.823,0.326
95849,1755607743549,27.37,-68.29,-26.65,787,775,830,387,865,34.48275862068966,-0.456,-0.824,0.322
95870,1755607743552,27.41,-68.35,-26.63,793,769,835,362,859,47.61904761904762,-0.457,-0.826,0.319
95899,1755607743554,27.41,-68.37,-26.61,789,766,836,389,858,34.48275862068966,-0.456,-0.826,0.32
95929,1755607743556,27.36,-68.34,-26.61,791,777,833,420,861,33.333333333333336,-0.454,-0.825,0.323
95949,1755607743558,27.35,-68.33,-26.61,790,774,833,364,858,50.0,-0.453,-0.825,0.324
95979,1755607743560,27.41,-68.34,-26.6,789,772,829,404,860,33.333333333333336,-0.455,-0.824,0.324
96008,1755607743562,27.39,-68.28,-26.61,791,772,829,389,864,34.48275862068966,-0.457,-0.822,0.322
96067,1755607743566,27.32,-68.33,-26.65,792,768,834,375,866,34.48275862068966,-0.457,-0.823,0.321
96097,1755607743568,27.35,-68.32,-26.63,791,775,833,404,864,33.333333333333336,-0.456,-0.826,0.324
96127,1755607743570,27.35,-68.28,-26.61,791,777,832,407,864,33.333333333333336,-0.454,-0.825,0.324
96157,1755607743572,27.37,-68.3,-26.62,790,778,827,355,862,33.333333333333336,-0.454,-0.824,0.323
96186,1755607743574,27.37,-68.3,-26.63,792,771,833,352,862,34.48275862068966,-0.454,-0.822,0.322
96216,1755607743576,27.38,-68.29,-26.64,784,776,826,376,863,33.333333333333336,-0.456,-0.823,0.324
96246,1755607743578,27.36,-68.27,-26.66,790,765,834,397,858,33.333333333333336,-0.457,-0.823,0.324
96275,1755607743580,27.36,-68.26,-26.65,785,778,834,398,858,34.48275862068966,-0.455,-0.824,0.323
96295,1755607743582,27.38,-68.29,-26.64,793,770,834,391,862,50.0,-0.455,-0.825,0.323
96325,1755607743584,27.37,-68.3,-26.65,789,773,830,374,858,33.333333333333336,-0.455,-0.823,0.324
96355,1755607743586,27.34,-68.26,-26.67,790,767,835,341,864,33.333333333333336,-0.456,-0.823,0.325
96384,1755607743588,27.36,-68.28,-26.66,788,776,834,346,862,34.48275862068966,-0.457,-0.825,0.323
96414,1755607743590,27.4,-68.33,-26.63,789,775,831,378,864,33.333333333333336,-0.456,-0.825,0.322
96443,1755607743592,27.4,-68.35,-26.61,792,775,832,392,859,34.48275862068966,-0.455,-0.824,0.324
96502,1755607743596,27.37,-68.25,-26.63,790,770,837,345,863,34.48275862068966,-0.454,-0.824,0.322
96532,1755607743599,27.39,-68.28,-26.62,790,773,834,386,858,33.333333333333336,-0.457,-0.824,0.323
96561,1755607743601,27.41,-68.27,-26.65,788,780,830,410,856,34.48275862068966,-0.457,-0.824,0.325
96650,1755607743667,27.43,-68.23,-26.7,786,775,832,377,862,33.333333333333336,-0.456,-0.823,0.325
96709,1755607743726,27.4,-68.25,-26.73,786,774,825,383,870,33.333333333333336,-0.457,-0.824,0.324
96738,1755607743756,27.41,-68.24,-26.73,788,774,830,352,865,34.48275862068966,-0.455,-0.824,0.324
96768,1755607743786,27.41,-68.27,-26.73,786,774,826,350,863,33.333333333333336,-0.455,-0.826,0.324
96828,1755607743845,27.39,-68.26,-26.71,789,772,828,393,861,33.333333333333336,-0.456,-0.825,0.325
96858,1755607743875,27.37,-68.24,-26.69,790,774,833,372,856,33.333333333333336,-0.455,-0.824,0.325
96887,1755607743905,27.4,-68.24,-26.68,792,769,833,347,861,34.48275862068966,-0.455,-0.823,0.324
96917,1755607743934,27.42,-68.25,-26.69,790,767,830,376,860,33.333333333333336,-0.456,-0.822,0.322
96947,1755607743964,27.4,-68.27,-26.71,790,770,836,411,862,33.333333333333336,-0.456,-0.822,0.321
97006,1755607744024,27.39,-68.28,-26.72,789,777,835,355,863,33.333333333333336,-0.456,-0.825,0.324
97036,1755607744054,27.4,-68.24,-26.71,787,776,833,352,857,33.333333333333336,-0.455,-0.825,0.325
97066,1755607744083,27.41,-68.24,-26.7,791,775,835,379,854,33.333333333333336,-0.457,-0.824,0.325
97096,1755607744113,27.4,-68.19,-26.7,789,770,830,385,862,33.333333333333336,-0.458,-0.823,0.325
97125,1755607744143,27.37,-68.18,-26.7,787,770,834,342,860,34.48275862068966,-0.456,-0.823,0.324
97155,1755607744172,27.38,-68.19,-26.72,787,776,826,332,868,33.333333333333336,-0.455,-0.821,0.324
97185,1755607744202,27.37,-68.18,-26.75,790,779,830,339,862,33.333333333333336,-0.454,-0.821,0.325
97214,1755607744232,27.36,-68.18,-26.77,786,776,834,389,856,34.48275862068966,-0.454,-0.823,0.323
97244,1755607744261,27.36,-68.21,-26.78,789,771,831,396,865,33.333333333333336,-0.455,-0.824,0.325
97274,1755607744291,27.37,-68.18,-26.76,795,780,832,370,860,33.333333333333336,-0.454,-0.825,0.325
97303,1755607744320,27.39,-68.21,-26.74,789,774,835,349,861,34.48275862068966,-0.455,-0.824,0.326
97332,1755607744350,27.37,-68.22,-26.75,788,778,832,339,860,34.48275862068966,-0.454,-0.823,0.325
97362,1755607744380,27.37,-68.2,-26.73,786,779,834,394,861,33.333333333333336,-0.456,-0.824,0.325
97391,1755607744409,27.41,-68.22,-26.71,793,774,833,388,855,34.48275862068966,-0.455,-0.824,0.326
97421,1755607744439,27.37,-68.24,-26.73,785,774,832,340,861,33.333333333333336,-0.454,-0.822,0.326
