timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
235654,1755608139297,13.2,-37.54,-8.43,821,0,779,351,916,34.48275862068966,-0.228,-0.593,0.772
235684,1755608139299,13.2,-37.57,-8.44,821,5,779,339,924,33.333333333333336,-0.227,-0.595,0.773
235713,1755608139301,13.22,-37.63,-8.44,813,2,779,382,919,34.48275862068966,-0.228,-0.596,0.773
235743,1755608139303,13.24,-37.61,-8.42,818,1,780,398,924,33.333333333333336,-0.227,-0.594,0.773
235772,1755608139305,13.29,-37.59,-8.43,815,0,779,364,916,34.48275862068966,-0.226,-0.594,0.774
235802,1755608139307,13.31,-37.65,-8.43,820,1,779,346,917,33.333333333333336,-0.228,-0.6,0.774
235831,1755608139309,13.31,-37.63,-8.39,814,0,781,376,920,34.48275862068966,-0.227,-0.599,0.773
235861,1755608139311,13.32,-37.59,-8.41,819,0,780,406,919,33.333333333333336,-0.222,-0.593,0.771
235890,1755608139313,13.35,-37.65,-8.44,816,2,779,389,907,34.48275862068966,-0.225,-0.597,0.773
235920,1755608139315,13.35,-37.68,-8.42,819,2,781,338,915,33.333333333333336,-0.229,-0.599,0.773
235950,1755608139317,13.31,-37.65,-8.41,821,2,780,350,922,33.333333333333336,-0.227,-0.596,0.773
235979,1755608139319,13.36,-37.65,-8.41,813,1,775,402,918,34.48275862068966,-0.228,-0.597,0.773
236029,1755608139323,13.34,-37.63,-8.39,818,5,780,376,913,50.0,-0.229,-0.595,0.774
236058,1755608139325,13.39,-37.62,-8.36,821,16,780,388,915,34.48275862068966,-0.226,-0.597,0.772
236088,1755608139327,13.4,-37.62,-8.36,814,2,782,348,920,33.333333333333336,-0.227,-0.597,0.77
236117,1755608139329,13.35,-37.67,-8.38,817,3,778,337,913,34.48275862068966,-0.226,-0.595,0.77
236147,1755608139331,13.39,-37.66,-8.38,813,0,778,378,918,33.333333333333336,-0.229,-0.596,0.771
236177,1755608139333,13.43,-37.61,-8.37,819,0,783,396,917,33.333333333333336,-0.231,-0.597,0.771
236206,1755608139336,13.38,-37.59,-8.38,822,2,782,373,920,34.48275862068966,-0.228,-0.597,0.771
236236,1755608139338,13.37,-37.59,-8.37,818,1,776,348,914,33.333333333333336,-0.227,-0.597,0.77
236265,1755608139340,13.4,-37.62,-8.36,814,0,783,356,918,34.48275862068966,-0.228,-0.596,0.771
236295,1755608139342,13.4,-37.61,-8.38,815,0,781,406,920,33.333333333333336,-0.229,-0.595,0.772
236325,1755608139344,13.41,-37.61,-8.37,820,3,776,380,918,33.333333333333336,-0.232,-0.596,0.773
236354,1755608139346,13.42,-37.61,-8.34,820,7,779,356,923,34.48275862068966,-0.23,-0.596,0.771
236384,1755608139348,13.4,-37.59,-8.33,815,0,774,355,918,33.333333333333336,-0.226,-0.595,0.771
236414,1755608139350,13.39,-37.62,-8.35,820,3,780,383,919,33.333333333333336,-0.227,-0.593,0.772
236444,1755608139352,13.42,-37.65,-8.35,819,0,774,416,916,33.333333333333336,-0.23,-0.594,0.772
236473,1755608139354,13.43,-37.63,-8.35,814,2,779,380,920,34.48275862068966,-0.23,-0.596,0.773
236503,1755608139356,13.41,-37.64,-8.36,819,1,781,328,914,33.333333333333336,-0.23,-0.598,0.773
236532,1755608139358,13.44,-37.67,-8.33,819,2,780,356,916,34.48275862068966,-0.232,-0.598,0.772
236562,1755608139360,13.45,-37.61,-8.31,814,0,777,410,916,33.333333333333336,-0.229,-0.595,0.77
236592,1755608139362,13.43,-37.62,-8.35,821,9,781,412,918,33.333333333333336,-0.229,-0.596,0.77
236612,1755608139365,13.44,-37.64,-8.36,820,0,780,388,918,50.0,-0.232,-0.599,0.771
236641,1755608139367,13.44,-37.64,-8.32,816,0,778,397,918,34.48275862068966,-0.232,-0.6,0.772
236671,1755608139369,13.39,-37.61,-8.33,818,5,774,346,912,33.333333333333336,-0.227,-0.594,0.771
236700,1755608139371,13.41,-37.64,-8.36,818,0,783,343,914,34.48275862068966,-0.228,-0.594,0.771
236730,1755608139373,13.45,-37.64,-8.34,816,5,781,401,918,33.333333333333336,-0.233,-0.6,0.772
236759,1755608139375,13.4,-37.61,-8.31,822,0,779,415,917,34.48275862068966,-0.23,-0.597,0.772
