timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
44883,1755608209084,74.78,-55.22,-16.53,794,776,856,357,908,33.333333333333336,-0.969,-0.223,0.147
44913,1755608209086,74.79,-55.27,-16.53,791,777,857,328,907,33.333333333333336,-0.967,-0.223,0.148
44943,1755608209089,74.76,-55.29,-16.51,795,770,857,408,907,33.333333333333336,-0.966,-0.221,0.15
44973,1755608209091,74.74,-55.27,-16.51,795,773,852,400,905,33.333333333333336,-0.968,-0.219,0.15
44993,1755608209093,74.73,-55.27,-16.51,793,772,856,381,909,50.0,-0.968,-0.22,0.15
45023,1755608209096,74.73,-55.28,-16.51,793,772,856,410,905,33.333333333333336,-0.968,-0.222,0.151
45043,1755608209097,74.71,-55.27,-16.5,797,767,859,358,907,50.0,-0.966,-0.221,0.151
45073,1755608209100,74.7,-55.24,-16.5,793,773,855,398,910,33.333333333333336,-0.968,-0.22,0.152
45094,1755608209102,74.71,-55.22,-16.5,793,779,857,356,918,47.61904761904762,-0.969,-0.221,0.153
45123,1755608209104,74.69,-55.21,-16.5,796,774,858,376,908,34.48275862068966,-0.967,-0.221,0.15
45153,1755608209106,74.66,-55.23,-16.49,795,775,854,370,908,33.333333333333336,-0.967,-0.222,0.147
45183,1755608209108,74.68,-55.25,-16.49,794,776,859,322,908,33.333333333333336,-0.968,-0.222,0.15
45213,1755608209110,74.66,-55.23,-16.48,794,773,859,350,906,33.333333333333336,-0.966,-0.22,0.153
45243,1755608209112,74.65,-55.18,-16.48,797,776,854,403,907,33.333333333333336,-0.967,-0.22,0.154
45273,1755608209114,74.65,-55.16,-16.46,794,773,859,406,907,33.333333333333336,-0.968,-0.22,0.152
45293,1755608209116,74.67,-55.16,-16.45,793,775,855,393,908,50.0,-0.967,-0.22,0.15
45323,1755608209118,74.65,-55.17,-16.46,794,777,853,410,901,33.333333333333336,-0.966,-0.22,0.15
45353,1755608209120,74.67,-55.19,-16.47,793,774,857,366,905,33.333333333333336,-0.967,-0.221,0.15
45383,1755608209122,74.68,-55.18,-16.45,795,775,859,336,909,33.333333333333336,-0.966,-0.219,0.151
45403,1755608209124,74.66,-55.18,-16.45,797,770,852,393,907,50.0,-0.966,-0.217,0.15
45433,1755608209126,74.63,-55.2,-16.44,790,768,850,348,908,33.333333333333336,-0.968,-0.218,0.149
