timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
109484,1755608532872,10.79,59.24,-54.49,801,838,814,434,818,34.48275862068966,-0.193,0.882,0.449
109514,1755608532874,10.82,59.35,-54.63,800,844,812,362,823,33.333333333333336,-0.194,0.884,0.451
109544,1755608532876,10.92,59.48,-54.78,798,843,812,327,819,33.333333333333336,-0.202,0.877,0.441
109573,1755608532879,10.88,59.46,-54.69,798,834,805,389,823,34.48275862068966,-0.205,0.876,0.436
109602,1755608532880,10.9,59.42,-54.72,799,843,810,443,822,34.48275862068966,-0.204,0.879,0.437
109661,1755608532885,10.88,59.43,-54.69,797,843,805,316,821,34.48275862068966,-0.202,0.879,0.448
109750,1755608532891,10.9,59.46,-54.78,794,840,811,417,818,33.333333333333336,-0.196,0.878,0.437
109779,1755608532894,10.88,59.43,-54.85,799,842,813,302,817,34.48275862068966,-0.198,0.879,0.443
109809,1755608532895,10.89,59.5,-54.81,800,838,813,277,816,33.333333333333336,-0.203,0.88,0.449
109839,1755608532898,10.88,59.54,-54.77,796,835,805,378,819,33.333333333333336,-0.202,0.88,0.446
109869,1755608532900,10.88,59.57,-54.79,800,839,815,375,821,33.333333333333336,-0.197,0.879,0.445
109957,1755608532906,10.86,59.5,-54.76,798,837,811,354,818,34.48275862068966,-0.204,0.882,0.447
109987,1755608532908,10.92,59.58,-54.76,799,840,813,446,817,33.333333333333336,-0.199,0.883,0.446
110016,1755608532909,10.96,59.65,-54.79,800,842,810,408,822,34.48275862068966,-0.196,0.88,0.434
110046,1755608532912,10.92,59.47,-54.77,799,836,807,318,819,33.333333333333336,-0.197,0.88,0.436
110134,1755608532917,10.95,59.54,-54.83,797,840,810,436,821,34.48275862068966,-0.194,0.884,0.439
110164,1755608532919,10.91,59.52,-54.83,797,842,810,343,823,33.333333333333336,-0.195,0.883,0.442
110223,1755608532924,10.96,59.57,-54.83,802,841,811,391,817,34.48275862068966,-0.199,0.88,0.44
110283,1755608532928,10.91,59.48,-54.82,796,837,814,405,827,33.333333333333336,-0.198,0.882,0.443
110312,1755608532929,10.93,59.53,-54.81,799,840,810,318,815,34.48275862068966,-0.197,0.882,0.444
110342,1755608532931,10.94,59.54,-54.79,796,841,809,344,822,33.333333333333336,-0.195,0.881,0.437
110460,1755608532939,10.81,59.41,-54.89,800,837,812,342,816,34.48275862068966,-0.196,0.879,0.446
110489,1755608532942,10.81,59.32,-54.94,800,834,805,399,824,34.48275862068966,-0.19,0.878,0.444
110519,1755608532943,10.83,59.3,-54.91,798,838,809,446,818,33.333333333333336,-0.194,0.881,0.448
