timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
16334,1755597807412,21.96,-40.62,-10.48,775,767,856,925,880,34.48275862068966,-0.366,-0.634,0.671
16364,1755597807442,22.0,-40.56,-10.44,774,771,860,924,881,33.333333333333336,-0.367,-0.631,0.678
16393,1755597807471,21.98,-40.56,-10.44,769,769,861,924,877,34.48275862068966,-0.369,-0.63,0.68
16423,1755597807501,21.97,-40.62,-10.42,771,763,868,932,880,33.333333333333336,-0.374,-0.629,0.679
16453,1755597807531,21.96,-40.68,-10.4,775,776,864,930,878,33.333333333333336,-0.377,-0.628,0.679
16483,1755597807560,21.92,-40.72,-10.39,775,770,868,922,880,33.333333333333336,-0.377,-0.627,0.681
16512,1755597807590,21.88,-40.75,-10.37,772,771,856,926,883,34.48275862068966,-0.376,-0.625,0.683
16542,1755597807619,21.92,-40.8,-10.34,772,772,866,924,881,33.333333333333336,-0.375,-0.624,0.686
16571,1755597807649,21.96,-40.84,-10.31,769,767,860,925,877,34.48275862068966,-0.376,-0.623,0.688
16601,1755597807678,21.98,-40.85,-10.28,769,769,859,925,878,33.333333333333336,-0.376,-0.622,0.689
16660,1755597807737,21.92,-40.83,-10.29,775,770,856,924,882,33.333333333333336,-0.375,-0.619,0.689
16719,1755597807796,21.92,-40.9,-10.31,765,765,858,923,877,33.333333333333336,-0.379,-0.618,0.69
16748,1755597807826,21.83,-40.91,-10.32,768,774,863,921,883,34.48275862068966,-0.379,-0.617,0.689
16778,1755597807856,21.85,-40.99,-10.32,772,770,855,919,875,33.333333333333336,-0.379,-0.617,0.689
16807,1755597807885,21.93,-41.01,-10.29,771,774,858,925,874,34.48275862068966,-0.379,-0.617,0.689
16837,1755597807915,21.9,-41.04,-10.28,775,770,857,926,880,33.333333333333336,-0.379,-0.619,0.687
16866,1755597807944,21.87,-41.12,-10.31,771,780,858,921,879,34.48275862068966,-0.378,-0.622,0.689
16896,1755597807974,21.92,-41.12,-10.29,772,766,867,924,873,33.333333333333336,-0.378,-0.623,0.687
16925,1755597808003,21.9,-41.15,-10.31,772,771,863,925,879,34.48275862068966,-0.376,-0.625,0.684
16955,1755597808033,21.86,-41.18,-10.34,773,781,859,922,868,33.333333333333336,-0.376,-0.627,0.682
16985,1755597808062,21.82,-41.16,-10.34,767,771,863,919,877,33.333333333333336,-0.376,-0.629,0.681
17014,1755597808092,21.8,-41.21,-10.34,777,774,855,925,874,34.48275862068966,-0.374,-0.629,0.681
17044,1755597808122,21.82,-41.3,-10.33,776,769,856,926,877,33.333333333333336,-0.374,-0.628,0.684
17074,1755597808151,21.86,-41.32,-10.33,774,768,863,923,877,33.333333333333336,-0.375,-0.628,0.687
17103,1755597808181,21.81,-41.29,-10.35,773,763,866,926,870,34.48275862068966,-0.375,-0.626,0.686
17133,1755597808210,21.79,-41.33,-10.36,769,768,861,917,875,33.333333333333336,-0.376,-0.626,0.685
17162,1755597808240,21.76,-41.35,-10.36,773,764,865,922,887,34.48275862068966,-0.377,-0.625,0.684
17192,1755597808269,21.7,-41.4,-10.39,772,766,853,921,882,33.333333333333336,-0.376,-0.625,0.685
17221,1755597808299,21.62,-41.42,-10.4,768,775,863,923,871,34.48275862068966,-0.375,-0.624,0.686
17251,1755597808328,21.63,-41.41,-10.35,772,773,865,925,880,33.333333333333336,-0.373,-0.624,0.688
17280,1755597808358,21.63,-41.41,-10.34,771,773,867,923,880,34.48275862068966,-0.372,-0.626,0.689
17339,1755597808417,21.59,-41.46,-10.36,772,771,849,926,880,34.48275862068966,-0.371,-0.627,0.687
17369,1755597808446,21.64,-41.46,-10.33,770,775,864,923,875,33.333333333333336,-0.371,-0.627,0.687
17398,1755597808476,21.62,-41.44,-10.33,768,777,862,925,887,34.48275862068966,-0.371,-0.627,0.687
17457,1755597808535,21.63,-41.44,-10.34,768,777,868,933,878,34.48275862068966,-0.37,-0.624,0.687
17487,1755597808565,21.57,-41.45,-10.39,773,778,866,921,872,33.333333333333336,-0.37,-0.624,0.688
17517,1755597808595,21.52,-41.46,-10.44,771,768,858,929,873,33.333333333333336,-0.368,-0.625,0.688
17546,1755597808624,21.53,-41.54,-10.47,777,763,865,927,880,34.48275862068966,-0.368,-0.625,0.687
17576,1755597808654,21.55,-41.63,-10.47,768,759,853,924,884,33.333333333333336,-0.37,-0.626,0.687
17606,1755597808683,21.53,-41.67,-10.48,775,771,860,917,883,33.333333333333336,-0.372,-0.628,0.688
17665,1755597808743,21.51,-41.76,-10.45,771,772,859,930,874,33.333333333333336,-0.37,-0.628,0.689
17694,1755597808772,21.52,-41.76,-10.45,771,765,862,925,878,34.48275862068966,-0.369,-0.628,0.69
17724,1755597808801,21.48,-41.74,-10.43,778,762,863,920,877,33.333333333333336,-0.368,-0.628,0.69
17812,1755597808890,21.45,-41.73,-10.36,772,767,865,928,871,34.48275862068966,-0.369,-0.63,0.688
17842,1755597808920,21.46,-41.73,-10.33,775,769,857,925,875,33.333333333333336,-0.367,-0.628,0.688
17901,1755597808980,21.47,-41.79,-10.33,772,770,852,928,877,34.48275862068966,-0.365,-0.626,0.688
17921,1755597808999,21.46,-41.82,-10.34,770,771,867,926,878,50.0,-0.365,-0.625,0.688
17951,1755597809029,21.45,-41.86,-10.36,777,769,857,919,878,33.333333333333336,-0.365,-0.626,0.688
17980,1755597809058,21.51,-41.89,-10.34,766,761,853,922,887,34.48275862068966,-0.367,-0.629,0.689
18010,1755597809088,21.55,-41.92,-10.31,773,773,866,924,883,33.333333333333336,-0.368,-0.63,0.688
18040,1755597809117,21.55,-41.97,-10.3,774,764,849,918,879,33.333333333333336,-0.368,-0.631,0.687
18069,1755597809147,21.55,-42.0,-10.3,775,774,861,927,875,34.48275862068966,-0.367,-0.629,0.686
18128,1755597809206,21.59,-42.03,-10.32,772,770,856,911,874,34.48275862068966,-0.365,-0.629,0.687
18158,1755597809236,21.6,-42.08,-10.34,772,777,864,923,875,33.333333333333336,-0.366,-0.629,0.684
18188,1755597809265,21.61,-42.15,-10.35,774,767,858,924,878,33.333333333333336,-0.367,-0.63,0.682
18217,1755597809295,21.63,-42.2,-10.35,769,774,861,924,882,34.48275862068966,-0.369,-0.632,0.685
18247,1755597809324,21.68,-42.24,-10.34,773,770,849,926,873,33.333333333333336,-0.369,-0.633,0.685
18276,1755597809354,21.79,-42.31,-10.3,773,763,864,925,885,34.48275862068966,-0.37,-0.634,0.683
18306,1755597809383,21.89,-42.42,-10.26,775,765,858,926,881,33.333333333333336,-0.37,-0.633,0.681
18335,1755597809413,22.05,-42.55,-10.22,769,764,857,926,876,34.48275862068966,-0.369,-0.63,0.679
18365,1755597809443,22.16,-42.7,-10.23,777,765,857,928,879,33.333333333333336,-0.372,-0.632,0.677
18395,1755597809472,22.15,-42.77,-10.23,776,763,867,928,881,33.333333333333336,-0.375,-0.635,0.676
18424,1755597809502,22.16,-42.85,-10.23,769,766,866,929,878,34.48275862068966,-0.376,-0.637,0.674
18454,1755597809531,22.27,-42.97,-10.19,774,764,865,927,872,33.333333333333336,-0.377,-0.639,0.672
18483,1755597809561,22.34,-43.07,-10.14,765,768,865,932,878,34.48275862068966,-0.378,-0.641,0.671
18513,1755597809590,22.31,-43.15,-10.14,774,770,860,932,874,33.333333333333336,-0.378,-0.64,0.668
18542,1755597809620,22.3,-43.28,-10.14,772,767,866,927,873,34.48275862068966,-0.378,-0.64,0.665
18572,1755597809649,22.33,-43.42,-10.12,769,768,858,923,876,33.333333333333336,-0.379,-0.642,0.666
18601,1755597809679,22.38,-43.5,-10.11,772,768,859,919,882,34.48275862068966,-0.38,-0.644,0.668
18631,1755597809708,22.45,-43.45,-10.06,773,775,859,928,873,33.333333333333336,-0.38,-0.644,0.667
18660,1755597809738,22.47,-43.52,-10.06,773,769,857,928,865,34.48275862068966,-0.381,-0.644,0.663
18690,1755597809767,22.5,-43.64,-10.04,770,772,866,921,875,33.333333333333336,-0.381,-0.644,0.659
18719,1755597809797,22.59,-43.68,-9.99,772,772,862,922,879,34.48275862068966,-0.384,-0.646,0.66
18749,1755597809826,22.62,-43.65,-9.92,773,768,862,919,874,33.333333333333336,-0.385,-0.648,0.66
18778,1755597809856,22.61,-43.7,-9.9,768,773,858,927,875,34.48275862068966,-0.383,-0.647,0.659
18808,1755597809885,22.66,-43.74,-9.88,775,770,856,926,882,33.333333333333336,-0.382,-0.645,0.66
18837,1755597809915,22.72,-43.78,-9.9,772,772,868,927,878,34.48275862068966,-0.382,-0.646,0.661
18867,1755597809944,22.68,-43.8,-9.94,772,769,853,926,876,33.333333333333336,-0.383,-0.647,0.66
18896,1755597809974,22.71,-43.83,-9.95,770,767,860,925,877,34.48275862068966,-0.385,-0.648,0.658
18926,1755597810003,22.77,-43.85,-9.94,774,767,861,919,876,33.333333333333336,-0.388,-0.648,0.657
18955,1755597810033,22.72,-43.85,-9.96,772,769,859,921,871,34.48275862068966,-0.387,-0.648,0.656
18984,1755597810062,22.69,-43.87,-9.99,772,770,861,930,883,34.48275862068966,-0.387,-0.648,0.654
19014,1755597810091,22.72,-43.93,-9.99,772,773,864,920,877,33.333333333333336,-0.388,-0.649,0.654
19043,1755597810121,22.73,-43.96,-9.99,773,764,863,918,880,34.48275862068966,-0.389,-0.651,0.656
19073,1755597810150,22.71,-43.96,-10.0,772,769,864,929,885,33.333333333333336,-0.387,-0.65,0.655
19102,1755597810180,22.73,-43.97,-10.01,774,764,861,924,876,34.48275862068966,-0.386,-0.649,0.654
19132,1755597810209,22.74,-44.02,-10.03,770,772,857,923,877,33.333333333333336,-0.386,-0.65,0.655
19161,1755597810239,22.77,-44.07,-10.05,772,768,866,922,880,34.48275862068966,-0.386,-0.651,0.655
19191,1755597810269,22.77,-44.06,-10.06,771,772,855,913,881,33.333333333333336,-0.387,-0.652,0.653
19250,1755597810327,22.74,-44.09,-10.08,769,769,863,929,875,33.333333333333336,-0.388,-0.652,0.653
19279,1755597810357,22.74,-44.11,-10.08,771,763,866,919,874,34.48275862068966,-0.388,-0.652,0.652
19309,1755597810386,22.73,-44.12,-10.08,766,767,859,930,879,33.333333333333336,-0.388,-0.653,0.652
19338,1755597810416,22.75,-44.12,-10.07,774,769,855,921,873,34.48275862068966,-0.388,-0.654,0.653
19368,1755597810445,22.72,-44.09,-10.08,772,764,855,925,876,33.333333333333336,-0.386,-0.653,0.653
19397,1755597810475,22.67,-44.04,-10.09,776,766,857,923,876,34.48275862068966,-0.385,-0.654,0.652
19427,1755597810504,22.65,-44.05,-10.1,770,769,857,929,883,33.333333333333336,-0.386,-0.654,0.65
19456,1755597810534,22.64,-44.08,-10.11,776,771,861,928,877,34.48275862068966,-0.386,-0.653,0.65
19486,1755597810563,22.61,-44.11,-10.11,772,767,857,926,877,33.333333333333336,-0.388,-0.654,0.652
19544,1755597810622,22.62,-44.14,-10.07,771,766,859,928,881,34.48275862068966,-0.387,-0.653,0.652
19603,1755597810681,22.64,-44.12,-10.04,773,768,865,915,875,34.48275862068966,-0.384,-0.653,0.653
19633,1755597810710,22.63,-44.12,-10.03,771,764,866,924,883,33.333333333333336,-0.385,-0.653,0.653
19662,1755597810740,22.65,-44.13,-10.0,771,773,861,925,871,34.48275862068966,-0.386,-0.653,0.653
19692,1755597810769,22.64,-44.13,-9.99,776,769,860,921,877,33.333333333333336,-0.386,-0.653,0.653
19721,1755597810799,22.61,-44.13,-9.98,777,768,864,920,874,34.48275862068966,-0.385,-0.651,0.653
19751,1755597810829,22.64,-44.12,-9.95,768,774,862,923,882,33.333333333333336,-0.384,-0.65,0.653
19780,1755597810858,22.67,-44.14,-9.93,771,773,850,918,880,34.48275862068966,-0.385,-0.651,0.654
19810,1755597810888,22.64,-44.15,-9.95,766,768,861,919,875,33.333333333333336,-0.386,-0.651,0.654
19840,1755597810917,22.62,-44.15,-9.95,773,773,856,914,880,33.333333333333336,-0.385,-0.65,0.652
19869,1755597810947,22.66,-44.16,-9.94,772,769,863,927,881,34.48275862068966,-0.384,-0.65,0.654
19899,1755597810976,22.65,-44.16,-9.96,776,767,854,926,877,33.333333333333336,-0.384,-0.65,0.655
19928,1755597811006,22.61,-44.18,-9.97,773,772,856,923,869,34.48275862068966,-0.386,-0.651,0.653
19958,1755597811035,22.63,-44.19,-9.95,774,771,859,923,872,33.333333333333336,-0.386,-0.651,0.653
19987,1755597811065,22.64,-44.18,-9.95,775,773,854,917,874,34.48275862068966,-0.385,-0.65,0.653
20017,1755597811094,22.66,-44.19,-9.91,777,765,857,921,865,33.333333333333336,-0.385,-0.65,0.653
20046,1755597811124,22.74,-44.23,-9.88,777,760,860,918,877,34.48275862068966,-0.386,-0.65,0.654
20076,1755597811153,22.77,-44.25,-9.86,769,769,861,925,877,33.333333333333336,-0.387,-0.65,0.655
20105,1755597811183,22.75,-44.23,-9.84,771,772,857,922,884,34.48275862068966,-0.386,-0.649,0.654
20135,1755597811212,22.82,-44.27,-9.8,773,767,861,919,877,33.333333333333336,-0.387,-0.649,0.651
20164,1755597811242,22.9,-44.35,-9.77,771,774,861,918,879,34.48275862068966,-0.39,-0.651,0.652
20223,1755597811302,22.87,-44.26,-9.73,771,768,864,918,871,34.48275862068966,-0.388,-0.65,0.654
20243,1755597811321,22.88,-44.27,-9.71,775,764,862,923,873,50.0,-0.387,-0.649,0.653
20273,1755597811351,22.91,-44.27,-9.69,773,772,854,922,875,33.333333333333336,-0.387,-0.649,0.652
20303,1755597811380,22.87,-44.27,-9.7,779,769,864,929,879,33.333333333333336,-0.389,-0.649,0.654
20332,1755597811410,22.85,-44.26,-9.7,771,765,863,928,876,34.48275862068966,-0.39,-0.649,0.654
20362,1755597811439,22.88,-44.23,-9.68,773,772,860,919,875,33.333333333333336,-0.39,-0.648,0.654
20391,1755597811469,22.92,-44.27,-9.68,767,775,855,925,873,34.48275862068966,-0.39,-0.647,0.654
20421,1755597811499,22.91,-44.28,-9.69,777,767,868,922,879,33.333333333333336,-0.39,-0.647,0.655
20451,1755597811528,22.91,-44.27,-9.69,775,775,856,919,872,33.333333333333336,-0.39,-0.647,0.655
20480,1755597811558,22.97,-44.27,-9.68,771,767,852,913,875,34.48275862068966,-0.39,-0.647,0.655
20510,1755597811587,22.98,-44.28,-9.69,768,768,858,922,880,33.333333333333336,-0.389,-0.645,0.653
20539,1755597811617,22.99,-44.34,-9.73,769,773,858,921,877,34.48275862068966,-0.389,-0.645,0.651
20569,1755597811646,23.02,-44.39,-9.75,770,774,866,927,875,33.333333333333336,-0.391,-0.651,0.652
20598,1755597811676,23.05,-44.4,-9.73,773,768,851,926,871,34.48275862068966,-0.394,-0.655,0.652
20628,1755597811705,23.09,-44.41,-9.69,770,766,858,913,875,33.333333333333336,-0.393,-0.655,0.651
20657,1755597811735,23.15,-44.42,-9.66,765,767,861,925,873,34.48275862068966,-0.393,-0.653,0.65
20687,1755597811764,23.14,-44.43,-9.66,771,776,862,923,879,33.333333333333336,-0.393,-0.652,0.648
20716,1755597811794,23.12,-44.44,-9.67,773,776,860,918,875,34.48275862068966,-0.393,-0.653,0.647
20746,1755597811824,23.09,-44.45,-9.67,768,766,863,924,880,33.333333333333336,-0.394,-0.653,0.648
20776,1755597811854,23.08,-44.44,-9.66,770,769,854,925,881,33.333333333333336,-0.393,-0.653,0.649
20805,1755597811883,23.07,-44.43,-9.66,776,764,864,926,880,34.48275862068966,-0.393,-0.652,0.649
20835,1755597811913,23.07,-44.45,-9.66,774,775,856,917,872,33.333333333333336,-0.394,-0.65,0.648
20865,1755597811942,23.04,-44.44,-9.66,769,778,862,926,876,33.333333333333336,-0.394,-0.651,0.649
20894,1755597811972,23.01,-44.45,-9.67,776,766,864,927,876,34.48275862068966,-0.393,-0.651,0.648
20924,1755597812001,23.0,-44.5,-9.67,771,772,864,922,877,33.333333333333336,-0.393,-0.65,0.647
20953,1755597812031,22.99,-44.55,-9.68,773,767,854,921,885,34.48275862068966,-0.393,-0.651,0.649
20983,1755597812060,22.95,-44.55,-9.68,774,769,857,911,872,33.333333333333336,-0.392,-0.652,0.651
21012,1755597812090,22.97,-44.53,-9.66,776,762,855,925,869,34.48275862068966,-0.392,-0.653,0.652
21041,1755597812119,22.98,-44.53,-9.64,771,766,867,918,877,34.48275862068966,-0.391,-0.652,0.651
