timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
84500,1755598386110,68.31,-62.27,-4.24,766,762,841,904,869,33.333333333333336,-0.931,-0.328,0.174
84530,1755598386112,68.29,-62.26,-4.25,768,767,845,898,857,33.333333333333336,-0.932,-0.328,0.174
84559,1755598386114,68.28,-62.25,-4.25,768,765,838,897,861,34.48275862068966,-0.932,-0.329,0.174
84618,1755598386119,68.32,-62.68,-4.24,770,766,845,901,863,33.333333333333336,-0.932,-0.329,0.173
84648,1755598386121,68.31,-62.67,-4.24,772,772,839,907,862,33.333333333333336,-0.932,-0.328,0.173
84677,1755598386123,68.28,-62.65,-4.24,769,767,842,902,862,34.48275862068966,-0.932,-0.329,0.173
84707,1755598386126,68.28,-62.64,-4.23,774,763,827,904,866,33.333333333333336,-0.932,-0.328,0.173
84736,1755598386128,68.26,-62.63,-4.23,768,772,841,903,851,34.48275862068966,-0.931,-0.328,0.173
84766,1755598386130,68.26,-62.64,-4.24,764,766,835,898,862,33.333333333333336,-0.931,-0.328,0.174
84795,1755598386132,68.23,-62.61,-4.24,764,774,842,898,859,34.48275862068966,-0.933,-0.328,0.174
84825,1755598386134,68.23,-62.61,-4.23,764,770,841,901,860,33.333333333333336,-0.932,-0.328,0.172
84845,1755598386137,68.24,-62.63,-4.23,767,774,848,899,866,50.0,-0.931,-0.329,0.172
84875,1755598386140,68.28,-62.69,-4.24,767,776,835,902,863,33.333333333333336,-0.931,-0.329,0.172
84904,1755598386141,68.27,-62.7,-4.22,766,760,836,908,855,34.48275862068966,-0.933,-0.33,0.174
84925,1755598386144,68.25,-62.69,-4.2,767,769,847,893,861,47.61904761904762,-0.932,-0.328,0.174
84954,1755598386145,68.29,-62.68,-4.19,768,770,839,903,861,34.48275862068966,-0.93,-0.325,0.176
84984,1755598386147,68.25,-62.64,-4.21,770,767,848,904,870,33.333333333333336,-0.93,-0.325,0.177
85014,1755598386149,68.24,-62.61,-4.22,765,769,837,905,869,33.333333333333336,-0.932,-0.328,0.176
85043,1755598386152,68.24,-62.58,-4.21,769,762,841,899,865,34.48275862068966,-0.932,-0.328,0.174
85102,1755598386156,68.25,-62.55,-4.21,771,767,843,907,863,34.48275862068966,-0.93,-0.324,0.176
85132,1755598386158,68.21,-62.5,-4.24,770,759,836,902,866,33.333333333333336,-0.93,-0.326,0.176
85161,1755598386160,68.26,-62.49,-4.25,770,767,835,893,860,34.48275862068966,-0.934,-0.329,0.176
85221,1755598386164,68.25,-62.42,-4.23,765,769,847,902,853,33.333333333333336,-0.931,-0.327,0.175
85250,1755598386167,68.22,-62.39,-4.24,768,759,848,900,857,34.48275862068966,-0.93,-0.327,0.174
85280,1755598386170,68.25,-62.4,-4.24,768,768,840,903,861,33.333333333333336,-0.933,-0.329,0.175
85310,1755598386173,68.26,-62.42,-4.24,770,760,830,897,866,33.333333333333336,-0.932,-0.329,0.176
85368,1755598386178,68.24,-62.35,-4.24,765,770,835,901,862,34.48275862068966,-0.931,-0.327,0.175
85398,1755598386181,68.26,-62.35,-4.24,768,773,850,901,859,33.333333333333336,-0.932,-0.328,0.174
85428,1755598386183,68.24,-62.34,-4.22,772,772,834,905,864,33.333333333333336,-0.931,-0.329,0.174
85457,1755598386186,68.26,-62.32,-4.22,770,771,846,904,865,34.48275862068966,-0.931,-0.329,0.175
85487,1755598386188,68.24,-62.33,-4.22,764,771,837,899,871,33.333333333333336,-0.931,-0.327,0.175
85516,1755598386191,68.24,-62.32,-4.22,767,770,841,902,869,34.48275862068966,-0.931,-0.325,0.175
85546,1755598386193,68.22,-62.31,-4.23,762,770,841,898,859,33.333333333333336,-0.931,-0.325,0.175
85575,1755598386195,68.2,-62.31,-4.24,770,765,841,902,862,34.48275862068966,-0.93,-0.327,0.176
85605,1755598386197,68.21,-62.31,-4.26,770,771,855,902,864,33.333333333333336,-0.93,-0.328,0.177
85634,1755598386199,68.23,-62.29,-4.26,767,773,847,894,866,34.48275862068966,-0.932,-0.328,0.177
85664,1755598386201,68.25,-62.28,-4.27,767,770,850,901,857,33.333333333333336,-0.933,-0.327,0.176
85694,1755598386203,68.22,-62.26,-4.27,770,768,838,901,859,33.333333333333336,-0.931,-0.328,0.174
85723,1755598386205,68.22,-62.26,-4.26,771,762,838,901,863,34.48275862068966,-0.93,-0.328,0.172
85753,1755598386207,68.23,-62.27,-4.27,766,767,836,901,853,33.333333333333336,-0.931,-0.329,0.174
85782,1755598386228,68.23,-62.26,-4.25,769,763,838,902,857,34.48275862068966,-0.933,-0.328,0.176
85812,1755598386258,68.26,-62.24,-4.24,768,766,844,899,856,33.333333333333336,-0.932,-0.328,0.176
85841,1755598386287,68.23,-62.21,-4.23,770,775,845,899,859,34.48275862068966,-0.931,-0.329,0.174
85871,1755598386317,68.22,-62.2,-4.21,767,771,839,898,858,33.333333333333336,-0.931,-0.331,0.174
85901,1755598386347,68.26,-62.22,-4.19,770,769,844,898,854,33.333333333333336,-0.932,-0.33,0.175
85930,1755598386377,68.27,-62.2,-4.17,768,760,840,903,868,34.48275862068966,-0.932,-0.328,0.176
85960,1755598386406,68.26,-62.18,-4.17,770,767,842,891,862,33.333333333333336,-0.93,-0.326,0.175
85990,1755598386436,68.25,-62.19,-4.19,767,764,833,896,862,33.333333333333336,-0.931,-0.327,0.175
86019,1755598386465,68.24,-62.18,-4.19,773,767,843,900,866,34.48275862068966,-0.931,-0.328,0.176
86049,1755598386495,68.27,-62.15,-4.19,769,770,841,896,865,33.333333333333336,-0.93,-0.327,0.176
86078,1755598386525,68.29,-62.12,-4.18,773,769,852,897,863,34.48275862068966,-0.931,-0.328,0.176
86138,1755598386584,68.31,-62.12,-4.19,764,763,843,901,861,33.333333333333336,-0.931,-0.326,0.174
86167,1755598386613,68.28,-62.11,-4.2,768,770,840,901,851,34.48275862068966,-0.93,-0.325,0.176
86197,1755598386643,68.28,-62.09,-4.22,766,766,830,897,860,33.333333333333336,-0.931,-0.326,0.175
86226,1755598386672,68.3,-62.09,-4.22,766,771,854,904,866,34.48275862068966,-0.932,-0.328,0.175
86256,1755598386702,68.29,-62.09,-4.22,773,772,849,903,861,33.333333333333336,-0.931,-0.328,0.174
86285,1755598386731,68.31,-62.11,-4.23,760,772,840,900,864,34.48275862068966,-0.932,-0.329,0.172
86315,1755598386761,68.3,-62.12,-4.23,772,768,857,897,862,33.333333333333336,-0.933,-0.329,0.173
86344,1755598386790,68.31,-62.12,-4.23,769,768,859,900,863,34.48275862068966,-0.931,-0.329,0.174
86374,1755598386820,68.32,-62.11,-4.22,762,760,842,893,862,33.333333333333336,-0.932,-0.329,0.174
86404,1755598386850,68.29,-62.1,-4.22,768,772,837,909,864,33.333333333333336,-0.931,-0.329,0.173
86433,1755598386880,68.31,-62.1,-4.22,766,777,844,900,860,34.48275862068966,-0.931,-0.327,0.172
86463,1755598386909,68.27,-62.13,-4.22,767,774,857,900,860,33.333333333333336,-0.932,-0.328,0.173
86492,1755598386939,68.26,-62.13,-4.21,771,771,847,905,861,34.48275862068966,-0.933,-0.329,0.173
86522,1755598386968,68.26,-62.13,-4.2,765,765,835,895,859,33.333333333333336,-0.932,-0.329,0.173
86552,1755598386998,68.26,-62.12,-4.18,769,766,858,895,861,33.333333333333336,-0.931,-0.329,0.174
86581,1755598387027,68.27,-62.13,-4.17,772,774,844,893,875,34.48275862068966,-0.93,-0.329,0.174
86611,1755598387057,68.28,-62.14,-4.16,770,763,836,901,867,33.333333333333336,-0.931,-0.328,0.173
86640,1755598387086,68.28,-62.13,-4.15,770,777,832,902,860,34.48275862068966,-0.932,-0.327,0.173
86699,1755598387145,68.28,-62.11,-4.15,767,768,845,901,858,34.48275862068966,-0.931,-0.328,0.174
86729,1755598387175,68.29,-62.11,-4.15,769,770,839,900,866,33.333333333333336,-0.931,-0.328,0.174
86759,1755598387205,68.28,-62.1,-4.15,766,769,843,904,864,33.333333333333336,-0.931,-0.327,0.175
86789,1755598387234,68.28,-62.1,-4.15,771,767,850,899,864,33.333333333333336,-0.931,-0.327,0.175
86818,1755598387264,68.29,-62.1,-4.15,770,766,838,894,856,34.48275862068966,-0.932,-0.327,0.174
86877,1755598387323,68.3,-62.1,-4.15,773,767,844,892,862,33.333333333333336,-0.93,-0.327,0.175
86907,1755598387353,68.29,-62.09,-4.16,769,766,842,897,857,33.333333333333336,-0.931,-0.326,0.174
86936,1755598387382,68.31,-62.09,-4.16,765,764,851,901,859,34.48275862068966,-0.933,-0.326,0.174
86966,1755598387412,68.3,-62.07,-4.16,774,763,844,895,854,33.333333333333336,-0.932,-0.326,0.175
86995,1755598387441,68.28,-62.06,-4.18,767,772,842,899,859,34.48275862068966,-0.93,-0.327,0.174
87025,1755598387470,68.31,-62.05,-4.19,771,771,839,896,859,33.333333333333336,-0.931,-0.328,0.174
87054,1755598387500,68.28,-62.05,-4.2,773,770,845,896,862,34.48275862068966,-0.931,-0.328,0.174
87083,1755598387529,68.3,-62.05,-4.21,767,773,846,902,860,34.48275862068966,-0.931,-0.327,0.174
87113,1755598387559,68.25,-62.03,-4.23,771,772,845,904,864,33.333333333333336,-0.932,-0.327,0.174
87142,1755598387588,68.24,-62.02,-4.23,763,765,831,904,863,34.48275862068966,-0.933,-0.329,0.173
87202,1755598387648,68.23,-62.04,-4.19,767,762,840,897,860,33.333333333333336,-0.932,-0.332,0.172
87231,1755598387677,68.25,-62.06,-4.16,767,760,837,901,865,34.48275862068966,-0.932,-0.331,0.173
87261,1755598387707,68.25,-62.08,-4.12,767,766,843,894,860,33.333333333333336,-0.933,-0.33,0.173
87290,1755598387736,68.26,-62.09,-4.09,773,767,839,900,860,34.48275862068966,-0.931,-0.328,0.174
87350,1755598387796,68.25,-62.08,-4.08,765,770,844,897,860,33.333333333333336,-0.931,-0.325,0.176
87379,1755598387825,68.25,-62.07,-4.07,764,767,838,899,859,34.48275862068966,-0.932,-0.326,0.174
87409,1755598387855,68.25,-62.06,-4.06,760,769,840,910,860,33.333333333333336,-0.931,-0.326,0.174
87468,1755598387915,68.27,-62.06,-4.06,769,766,844,899,865,33.333333333333336,-0.931,-0.327,0.174
87557,1755598388003,68.3,-62.04,-4.05,770,768,842,897,860,34.48275862068966,-0.93,-0.325,0.175
87587,1755598388033,68.28,-62.01,-4.06,766,766,836,896,863,33.333333333333336,-0.931,-0.325,0.174
87616,1755598388062,68.28,-62.02,-4.06,768,762,844,894,860,34.48275862068966,-0.932,-0.326,0.174
87645,1755598388091,68.31,-62.02,-4.06,764,773,848,905,859,34.48275862068966,-0.932,-0.325,0.174
87675,1755598388121,68.29,-62.0,-4.06,770,768,848,902,859,33.333333333333336,-0.932,-0.325,0.174
87705,1755598388151,68.28,-61.98,-4.08,769,768,837,900,860,33.333333333333336,-0.93,-0.325,0.174
87734,1755598388181,68.31,-61.97,-4.1,768,766,841,899,860,34.48275862068966,-0.931,-0.325,0.174
87764,1755598388210,68.31,-61.97,-4.12,772,767,835,901,866,33.333333333333336,-0.932,-0.325,0.174
87794,1755598388240,68.31,-61.98,-4.13,765,766,843,900,872,33.333333333333336,-0.932,-0.326,0.174
87823,1755598388269,68.32,-61.99,-4.14,765,764,834,897,859,34.48275862068966,-0.932,-0.326,0.174
87853,1755598388299,68.31,-61.99,-4.15,770,770,851,905,863,33.333333333333336,-0.931,-0.327,0.174
87883,1755598388329,68.32,-61.99,-4.15,763,763,841,898,861,33.333333333333336,-0.932,-0.328,0.173
87912,1755598388358,68.31,-61.99,-4.15,771,773,840,902,865,34.48275862068966,-0.932,-0.328,0.174
87942,1755598388388,68.32,-61.99,-4.15,767,774,844,903,863,33.333333333333336,-0.931,-0.328,0.174
87971,1755598388417,68.3,-61.98,-4.15,770,766,841,898,859,34.48275862068966,-0.931,-0.328,0.173
88001,1755598388447,68.31,-61.99,-4.15,764,773,840,896,859,33.333333333333336,-0.932,-0.328,0.173
88030,1755598388476,68.31,-62.0,-4.14,774,762,838,900,865,34.48275862068966,-0.932,-0.328,0.173
88060,1755598388506,68.3,-61.99,-4.14,766,768,841,898,863,33.333333333333336,-0.931,-0.328,0.174
88090,1755598388536,68.31,-61.98,-4.14,769,760,831,901,860,33.333333333333336,-0.931,-0.328,0.174
88119,1755598388566,68.31,-62.0,-4.14,769,765,836,899,858,34.48275862068966,-0.932,-0.328,0.174
88149,1755598388595,68.33,-61.99,-4.14,765,770,840,900,867,33.333333333333336,-0.931,-0.327,0.173
88179,1755598388625,68.33,-61.99,-4.14,768,765,846,899,859,33.333333333333336,-0.931,-0.327,0.175
88208,1755598388654,68.3,-61.97,-4.15,767,769,844,901,857,34.48275862068966,-0.932,-0.327,0.176
88238,1755598388684,68.32,-61.97,-4.15,771,771,838,906,864,33.333333333333336,-0.932,-0.327,0.174
88267,1755598388713,68.33,-61.96,-4.15,769,771,844,904,863,34.48275862068966,-0.93,-0.327,0.173
88297,1755598388743,68.32,-61.98,-4.17,769,774,848,898,864,33.333333333333336,-0.93,-0.327,0.172
88326,1755598388773,68.3,-62.0,-4.18,766,768,841,904,862,34.48275862068966,-0.932,-0.328,0.172
88356,1755598388802,68.29,-62.02,-4.19,770,763,842,905,853,33.333333333333336,-0.931,-0.327,0.174
88386,1755598388832,68.3,-61.99,-4.19,767,771,841,902,864,33.333333333333336,-0.931,-0.328,0.175
88416,1755598388861,68.29,-61.98,-4.19,766,768,846,895,864,33.333333333333336,-0.931,-0.329,0.174
88445,1755598388891,68.3,-61.99,-4.19,769,770,841,899,861,34.48275862068966,-0.932,-0.329,0.173
88475,1755598388921,68.29,-61.99,-4.18,765,765,842,896,860,33.333333333333336,-0.932,-0.328,0.174
88505,1755598388951,68.3,-61.96,-4.18,760,759,843,902,855,33.333333333333336,-0.931,-0.328,0.175
88534,1755598388980,68.31,-61.94,-4.2,770,769,838,903,862,34.48275862068966,-0.929,-0.327,0.175
88564,1755598389010,68.31,-61.94,-4.2,771,773,846,895,860,33.333333333333336,-0.931,-0.328,0.173
88593,1755598389039,68.3,-61.97,-4.2,773,772,839,903,859,34.48275862068966,-0.932,-0.329,0.172
88623,1755598389069,68.29,-62.0,-4.19,766,764,843,907,853,33.333333333333336,-0.93,-0.329,0.172
88653,1755598389099,68.29,-62.0,-4.21,768,764,850,897,862,33.333333333333336,-0.929,-0.328,0.174
88712,1755598389158,68.27,-61.99,-4.24,772,774,840,901,858,33.333333333333336,-0.932,-0.329,0.173
