timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
133177,1755598740297,32.94,-53.64,-20.8,802,765,778,821,839,33.333333333333336,-0.538,-0.678,0.493
133206,1755598740300,32.92,-53.67,-20.85,814,764,771,812,848,34.48275862068966,-0.539,-0.678,0.49
133236,1755598740302,32.86,-53.72,-20.89,807,765,778,818,846,33.333333333333336,-0.541,-0.68,0.491
133266,1755598740305,32.86,-53.73,-20.87,808,766,774,809,831,33.333333333333336,-0.544,-0.682,0.496
133326,1755598740309,32.91,-53.62,-20.86,805,771,776,818,838,33.333333333333336,-0.54,-0.68,0.496
133356,1755598740311,32.91,-53.6,-20.89,810,768,778,816,847,33.333333333333336,-0.538,-0.68,0.493
133386,1755598740314,32.92,-53.63,-20.9,809,771,783,824,836,33.333333333333336,-0.54,-0.678,0.492
133406,1755598740316,32.96,-53.64,-20.91,807,771,776,814,836,50.0,-0.542,-0.677,0.493
133436,1755598740319,32.95,-53.63,-20.93,806,768,781,821,836,33.333333333333336,-0.542,-0.679,0.493
133456,1755598740322,32.93,-53.62,-20.93,809,764,775,821,829,50.0,-0.541,-0.681,0.494
133486,1755598740324,32.98,-53.62,-20.92,804,770,778,820,843,33.333333333333336,-0.539,-0.683,0.494
133506,1755598740327,33.01,-53.64,-20.91,807,762,775,818,840,50.0,-0.538,-0.682,0.493
133536,1755598740329,32.99,-53.67,-20.9,808,762,777,812,837,33.333333333333336,-0.538,-0.681,0.494
133566,1755598740332,32.97,-53.66,-20.91,805,770,775,819,840,33.333333333333336,-0.539,-0.68,0.494
133586,1755598740334,32.97,-53.65,-20.91,810,762,777,817,844,50.0,-0.54,-0.678,0.493
133616,1755598740336,32.95,-53.64,-20.91,808,771,775,820,837,33.333333333333336,-0.543,-0.68,0.492
133646,1755598740339,32.94,-53.67,-20.89,809,764,770,828,836,33.333333333333336,-0.542,-0.681,0.493
133676,1755598740342,32.91,-53.68,-20.88,806,770,773,818,843,33.333333333333336,-0.539,-0.679,0.495
133696,1755598740344,32.91,-53.7,-20.88,812,769,776,821,831,50.0,-0.539,-0.679,0.497
133726,1755598740346,32.86,-53.67,-20.88,803,765,775,814,835,33.333333333333336,-0.538,-0.678,0.495
133756,1755598740349,32.87,-53.65,-20.87,803,773,774,827,839,33.333333333333336,-0.541,-0.68,0.495
133786,1755598740351,32.92,-53.63,-20.86,808,778,777,812,831,33.333333333333336,-0.54,-0.679,0.493
133836,1755598740355,32.91,-53.66,-20.88,806,775,774,831,842,33.333333333333336,-0.541,-0.679,0.492
133866,1755598740357,32.93,-53.68,-20.89,810,771,772,828,840,33.333333333333336,-0.542,-0.68,0.492
133895,1755598740359,32.97,-53.71,-20.89,808,766,773,826,832,34.48275862068966,-0.541,-0.681,0.495
133925,1755598740361,32.96,-53.68,-20.89,809,764,781,836,839,33.333333333333336,-0.539,-0.68,0.496
133955,1755598740364,32.97,-53.67,-20.9,811,770,775,827,836,33.333333333333336,-0.539,-0.679,0.496
134015,1755598740368,32.96,-53.71,-20.92,807,769,774,833,832,33.333333333333336,-0.54,-0.678,0.494
134045,1755598740370,32.94,-53.7,-20.92,805,770,779,832,843,33.333333333333336,-0.54,-0.679,0.496
134075,1755598740372,32.93,-53.69,-20.91,802,765,767,823,839,33.333333333333336,-0.538,-0.679,0.496
134105,1755598740375,32.94,-53.72,-20.91,802,762,778,826,836,33.333333333333336,-0.538,-0.68,0.496
134134,1755598740377,32.95,-53.71,-20.89,806,773,778,832,833,34.48275862068966,-0.539,-0.68,0.496
134164,1755598740379,32.94,-53.68,-20.89,806,761,775,826,837,33.333333333333336,-0.538,-0.678,0.496
134194,1755598740381,32.92,-53.65,-20.9,809,768,774,830,839,33.333333333333336,-0.539,-0.678,0.496
