timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
100452,1755601093694,58.72,-66.05,-47.35,782,776,774,382,885,33.333333333333336,-0.851,-0.48,0.212
100482,1755601093696,58.69,-66.02,-47.36,781,773,777,415,880,33.333333333333336,-0.85,-0.48,0.212
100512,1755601093698,58.69,-66.02,-47.37,785,773,781,408,889,33.333333333333336,-0.849,-0.481,0.212
100532,1755601093700,58.69,-66.03,-47.37,785,773,771,392,883,50.0,-0.85,-0.482,0.212
100562,1755601093702,58.67,-66.03,-47.35,787,771,785,404,887,33.333333333333336,-0.85,-0.482,0.212
100612,1755601093706,58.69,-66.03,-47.36,787,771,777,408,892,50.0,-0.849,-0.478,0.214
100662,1755601093710,58.67,-66.0,-47.37,782,776,775,406,889,50.0,-0.852,-0.48,0.214
100683,1755601093712,58.66,-66.0,-47.36,778,775,780,384,888,47.61904761904762,-0.852,-0.481,0.215
100713,1755601093714,58.68,-66.01,-47.37,785,768,780,405,891,33.333333333333336,-0.85,-0.48,0.215
100743,1755601093716,58.68,-66.01,-47.38,789,765,775,375,889,33.333333333333336,-0.851,-0.48,0.215
100763,1755601093718,58.67,-65.99,-47.38,786,767,775,382,889,50.0,-0.852,-0.48,0.215
100793,1755601093720,58.69,-65.99,-47.38,787,772,775,360,885,33.333333333333336,-0.851,-0.479,0.215
100823,1755601093722,58.68,-65.97,-47.39,785,773,777,348,892,33.333333333333336,-0.851,-0.479,0.214
100843,1755601093724,58.68,-65.97,-47.39,777,771,770,385,889,50.0,-0.85,-0.48,0.214
100863,1755601093726,58.69,-65.98,-47.4,788,774,780,392,891,50.0,-0.851,-0.48,0.215
100883,1755601093728,58.7,-65.97,-47.4,782,780,775,325,884,50.0,-0.852,-0.479,0.214
100913,1755601093730,58.27,-65.96,-47.41,785,768,776,376,889,33.333333333333336,-0.852,-0.481,0.212
100943,1755601093732,58.26,-65.98,-47.41,788,771,778,350,888,33.333333333333336,-0.852,-0.48,0.214
100963,1755601093735,58.28,-65.97,-47.42,782,771,776,390,878,50.0,-0.852,-0.478,0.215
100993,1755601093737,58.31,-65.98,-47.42,782,778,780,374,887,33.333333333333336,-0.852,-0.48,0.215
101043,1755601093740,58.28,-65.96,-47.42,785,776,774,376,881,33.333333333333336,-0.852,-0.48,0.215
101093,1755601093745,58.32,-65.96,-47.43,784,777,775,347,882,33.333333333333336,-0.852,-0.479,0.216
101123,1755601093746,58.33,-65.96,-47.44,788,771,782,325,889,33.333333333333336,-0.852,-0.48,0.214
