timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
96278,1755601845315,11.34,44.69,6.2,787,840,808,345,871,33.333333333333336,-0.195,0.695,0.702
96308,1755601845317,11.35,44.66,6.18,782,836,809,324,868,33.333333333333336,-0.194,0.695,0.702
96366,1755601845321,11.35,44.67,6.15,786,840,824,433,866,34.48275862068966,-0.195,0.696,0.704
96396,1755601845323,11.35,44.68,6.16,786,833,814,377,868,33.333333333333336,-0.195,0.696,0.703
96425,1755601845325,11.36,44.66,6.13,781,828,813,338,870,34.48275862068966,-0.193,0.695,0.701
96484,1755601845329,11.38,44.65,6.1,777,835,810,431,865,34.48275862068966,-0.197,0.695,0.705
96513,1755601845331,11.39,44.68,6.12,781,834,815,392,858,34.48275862068966,-0.197,0.695,0.704
96543,1755601845333,11.39,44.66,6.12,778,839,815,328,870,33.333333333333336,-0.196,0.694,0.701
96602,1755601845337,11.39,44.62,6.11,780,833,813,414,859,33.333333333333336,-0.194,0.695,0.704
96631,1755601845340,11.4,44.64,6.09,785,837,809,415,871,34.48275862068966,-0.195,0.694,0.704
96661,1755601845342,11.41,44.66,6.08,786,836,813,322,864,33.333333333333336,-0.195,0.694,0.703
96681,1755601845344,11.41,44.66,6.08,783,832,823,384,859,50.0,-0.196,0.693,0.702
96739,1755601845348,11.39,44.64,6.11,788,837,816,341,865,34.48275862068966,-0.195,0.695,0.703
96769,1755601845350,11.37,44.67,6.11,782,837,818,437,866,33.333333333333336,-0.193,0.696,0.702
96798,1755601845352,11.36,44.66,6.1,785,837,814,416,867,34.48275862068966,-0.194,0.694,0.701
96828,1755601845353,11.35,44.63,6.1,782,823,823,335,860,33.333333333333336,-0.196,0.694,0.702
96857,1755601845356,11.36,44.62,6.1,782,831,818,334,863,34.48275862068966,-0.197,0.695,0.703
96887,1755601845358,11.34,44.61,6.11,780,834,814,405,863,33.333333333333336,-0.196,0.694,0.703
96916,1755601845359,11.34,44.6,6.11,785,837,816,423,867,34.48275862068966,-0.195,0.693,0.704
96945,1755601845361,11.34,44.59,6.1,780,829,814,369,864,34.48275862068966,-0.194,0.695,0.705
96975,1755601845363,11.34,44.6,6.09,786,829,810,323,865,33.333333333333336,-0.193,0.695,0.704
97005,1755601845365,11.33,44.57,6.07,784,841,819,370,863,33.333333333333336,-0.194,0.694,0.703
97034,1755601845367,11.32,44.52,6.06,782,826,811,444,863,34.48275862068966,-0.195,0.694,0.703
97064,1755601845369,11.31,44.51,6.05,789,837,809,405,866,33.333333333333336,-0.195,0.694,0.704
97093,1755601845371,11.31,44.51,6.04,780,832,811,332,862,34.48275862068966,-0.194,0.694,0.707
97122,1755601845373,11.3,44.51,6.04,782,831,821,297,866,34.48275862068966,-0.195,0.693,0.707
97152,1755601845375,11.31,44.52,6.02,779,825,810,408,858,33.333333333333336,-0.195,0.694,0.706
97181,1755601845377,11.33,44.5,6.02,782,835,809,401,866,34.48275862068966,-0.195,0.694,0.707
97202,1755601845379,11.32,44.5,6.03,787,843,815,394,867,47.61904761904762,-0.194,0.694,0.706
97231,1755601845381,11.3,44.5,6.03,782,830,812,397,860,34.48275862068966,-0.193,0.695,0.705
97261,1755601845383,11.29,44.51,6.01,779,829,816,297,865,33.333333333333336,-0.193,0.694,0.705
