timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
251183,1755602310447,19.38,70.69,93.2,814,784,774,317,813,33.333333333333336,-0.333,0.886,0.339
251212,1755602310449,19.38,70.67,93.21,827,772,777,346,818,34.48275862068966,-0.329,0.887,0.339
251242,1755602310451,19.42,70.67,93.17,820,781,784,422,814,33.333333333333336,-0.338,0.886,0.341
251272,1755602310453,19.45,70.69,93.17,817,783,785,403,817,33.333333333333336,-0.337,0.886,0.34
251301,1755602310455,19.48,70.26,93.16,820,776,780,297,827,34.48275862068966,-0.336,0.886,0.337
251331,1755602310457,19.49,70.27,93.16,821,781,778,310,819,33.333333333333336,-0.336,0.885,0.336
251361,1755602310460,19.48,70.23,93.18,828,783,781,366,818,33.333333333333336,-0.337,0.884,0.336
251381,1755602310461,19.49,70.22,93.19,821,775,785,337,821,50.0,-0.338,0.884,0.339
251411,1755602310464,19.49,70.23,93.27,825,773,777,388,816,33.333333333333336,-0.336,0.884,0.34
251500,1755602310470,19.47,70.26,93.28,816,779,784,319,823,33.333333333333336,-0.332,0.887,0.339
251530,1755602310472,19.48,70.31,93.26,820,775,784,328,819,33.333333333333336,-0.331,0.886,0.34
251560,1755602310474,19.49,70.34,93.23,816,777,781,414,820,33.333333333333336,-0.333,0.887,0.339
251590,1755602310477,19.47,70.37,93.24,825,780,781,412,820,33.333333333333336,-0.332,0.888,0.336
251619,1755602310479,19.45,70.39,93.22,827,782,785,362,820,34.48275862068966,-0.334,0.888,0.336
251679,1755602310483,19.45,70.42,93.28,827,784,789,354,824,33.333333333333336,-0.335,0.887,0.338
251709,1755602310485,19.43,70.41,93.29,820,780,781,418,816,33.333333333333336,-0.334,0.885,0.337
251729,1755602310487,19.43,70.39,93.3,826,778,781,344,824,50.0,-0.336,0.885,0.336
251758,1755602310490,19.43,70.39,93.31,820,782,782,433,817,34.48275862068966,-0.335,0.886,0.338
251788,1755602310491,19.46,70.43,93.33,821,774,787,409,824,33.333333333333336,-0.334,0.887,0.339
251818,1755602310494,19.47,70.49,93.36,826,776,782,350,813,33.333333333333336,-0.334,0.886,0.339
251838,1755602310496,19.47,70.51,93.39,812,777,789,427,820,50.0,-0.334,0.886,0.337
251868,1755602310497,19.46,70.51,93.39,821,778,780,361,814,33.333333333333336,-0.335,0.885,0.335
251898,1755602310499,19.47,70.5,93.37,818,778,781,346,820,33.333333333333336,-0.335,0.886,0.337
251918,1755602310501,19.47,70.52,93.39,814,778,780,399,812,50.0,-0.334,0.886,0.338
251948,1755602310503,19.48,70.52,93.39,828,773,781,360,817,33.333333333333336,-0.333,0.885,0.337
251978,1755602310505,19.47,70.53,93.39,825,772,784,401,818,33.333333333333336,-0.333,0.886,0.336
252008,1755602310507,19.47,70.53,93.41,824,778,786,448,819,33.333333333333336,-0.334,0.886,0.338
252037,1755602310509,19.48,70.53,93.45,818,778,786,414,821,34.48275862068966,-0.335,0.886,0.336
252067,1755602310511,19.5,70.54,93.48,821,775,786,344,822,33.333333333333336,-0.334,0.886,0.336
252096,1755602310514,19.51,70.55,93.47,826,776,781,353,815,34.48275862068966,-0.334,0.886,0.336
252126,1755602310516,19.53,70.55,93.46,821,782,779,430,819,33.333333333333336,-0.335,0.885,0.335
252156,1755602310518,19.53,70.55,93.46,826,777,782,435,820,33.333333333333336,-0.334,0.886,0.335
252186,1755602310520,19.55,70.54,93.41,822,775,783,381,828,33.333333333333336,-0.334,0.886,0.336
252215,1755602310522,19.55,70.57,93.38,819,772,785,334,828,34.48275862068966,-0.332,0.886,0.337
252236,1755602310524,19.55,70.58,93.35,822,776,784,408,818,47.61904761904762,-0.331,0.886,0.336
252266,1755602310526,19.56,70.62,93.33,815,777,780,312,826,33.333333333333336,-0.336,0.886,0.337
252295,1755602310528,19.56,70.66,93.39,820,774,784,343,819,34.48275862068966,-0.338,0.884,0.335
252325,1755602310530,19.54,70.68,93.41,823,770,779,424,816,33.333333333333336,-0.339,0.885,0.333
