timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
239719,1755602664842,15.37,-42.87,-3.03,792,772,780,379,854,34.48275862068966,-0.261,-0.663,0.701
239749,1755602664845,15.33,-42.87,-3.05,793,768,770,237,853,33.333333333333336,-0.262,-0.666,0.7
239778,1755602664847,15.26,-42.78,-3.08,787,768,771,320,860,34.48275862068966,-0.262,-0.666,0.701
239808,1755602664849,15.22,-42.75,-3.12,791,775,778,467,856,33.333333333333336,-0.259,-0.665,0.702
239837,1755602664851,15.19,-42.77,-3.16,791,775,768,448,852,34.48275862068966,-0.259,-0.666,0.703
239867,1755602664853,15.17,-42.74,-3.18,792,771,773,298,858,33.333333333333336,-0.26,-0.664,0.704
239897,1755602664855,15.17,-42.72,-3.19,798,775,769,296,853,33.333333333333336,-0.26,-0.66,0.702
239927,1755602664857,15.15,-42.74,-3.23,794,771,770,404,854,33.333333333333336,-0.261,-0.661,0.702
239956,1755602664859,15.12,-42.73,-3.23,795,770,771,451,852,34.48275862068966,-0.26,-0.664,0.704
239986,1755602664861,15.15,-42.76,-3.21,789,768,769,393,864,33.333333333333336,-0.257,-0.662,0.706
240016,1755602664863,15.18,-42.81,-3.21,794,765,767,265,855,33.333333333333336,-0.258,-0.663,0.704
240045,1755602664866,15.16,-42.83,-3.22,795,767,772,330,859,34.48275862068966,-0.258,-0.665,0.703
240075,1755602664868,15.14,-42.85,-3.24,794,773,765,467,848,33.333333333333336,-0.255,-0.663,0.703
240104,1755602664870,15.16,-42.88,-3.26,799,774,774,448,859,34.48275862068966,-0.256,-0.664,0.703
240134,1755602664872,15.16,-42.87,-3.26,789,777,775,285,857,33.333333333333336,-0.258,-0.667,0.703
240163,1755602664874,15.17,-42.85,-3.25,794,772,772,292,861,34.48275862068966,-0.256,-0.667,0.704
240193,1755602664876,15.2,-42.89,-3.25,792,774,776,436,858,33.333333333333336,-0.255,-0.665,0.703
240222,1755602664877,15.18,-42.91,-3.28,795,772,768,450,852,34.48275862068966,-0.256,-0.663,0.702
240252,1755602664879,15.16,-42.88,-3.28,793,773,771,370,851,33.333333333333336,-0.258,-0.666,0.703
240281,1755602664881,15.16,-42.87,-3.26,794,774,770,280,860,34.48275862068966,-0.256,-0.667,0.703
