timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
114710,1755602824423,18.82,8.32,-8.71,788,835,770,382,815,34.48275862068966,-0.318,0.141,0.946
115269,1755602824462,18.83,8.32,-8.79,790,841,780,332,813,34.48275862068966,-0.319,0.139,0.945
115457,1755602824476,18.86,8.37,-8.8,785,845,775,319,815,33.333333333333336,-0.317,0.141,0.944
115487,1755602824478,18.88,8.35,-8.83,788,843,778,328,816,33.333333333333336,-0.317,0.141,0.944
115575,1755602824484,18.9,8.32,-8.9,785,844,775,352,818,34.48275862068966,-0.321,0.137,0.943
115693,1755602824492,18.9,8.33,-8.9,789,842,771,394,814,34.48275862068966,-0.32,0.14,0.944
115723,1755602824494,18.85,8.36,-8.93,786,837,776,328,816,33.333333333333336,-0.316,0.142,0.945
115811,1755602824500,18.77,8.38,-9.07,787,844,773,367,812,33.333333333333336,-0.318,0.139,0.944
116097,1755602824521,19.02,8.2,-9.03,789,845,773,411,819,34.48275862068966,-0.322,0.139,0.944
116185,1755602824527,19.06,8.15,-9.03,788,845,775,352,818,34.48275862068966,-0.322,0.134,0.946
116244,1755602824530,19.08,8.17,-9.03,787,844,777,394,808,34.48275862068966,-0.323,0.136,0.945
116510,1755602824548,19.05,8.13,-9.09,788,846,780,382,809,33.333333333333336,-0.324,0.135,0.947
116716,1755602824562,19.02,8.17,-9.13,786,845,770,403,820,34.48275862068966,-0.322,0.135,0.945
116775,1755602824566,19.02,8.17,-9.14,785,844,777,384,815,34.48275862068966,-0.324,0.134,0.946
117179,1755602824595,18.95,8.18,-9.24,784,846,777,426,812,33.333333333333336,-0.319,0.135,0.948
117208,1755602824597,18.96,8.17,-9.23,793,842,773,359,814,34.48275862068966,-0.322,0.133,0.946
117296,1755602824603,18.91,8.1,-9.15,789,842,773,412,813,34.48275862068966,-0.323,0.134,0.94
117326,1755602824606,18.92,8.06,-9.15,787,842,773,388,808,33.333333333333336,-0.324,0.133,0.945
