timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
42115,1755603006434,15.36,-30.97,-7.8,773,783,780,439,855,33.333333333333336,-0.261,-0.494,0.836
42174,1755603006438,15.24,-30.81,-7.76,769,784,770,312,854,34.48275862068966,-0.269,-0.486,0.807
42204,1755603006440,14.91,-30.92,-7.75,765,780,776,361,856,33.333333333333336,-0.274,-0.486,0.819
42233,1755603006442,14.83,-31.0,-7.63,771,781,768,423,858,34.48275862068966,-0.276,-0.488,0.832
42263,1755603006444,14.75,-30.95,-7.57,764,781,773,382,871,33.333333333333336,-0.276,-0.497,0.84
42292,1755603006446,14.64,-30.81,-7.52,776,783,774,301,861,34.48275862068966,-0.27,-0.508,0.839
42322,1755603006448,14.68,-30.64,-7.42,764,784,772,333,855,33.333333333333336,-0.262,-0.511,0.835
42352,1755603006450,14.76,-30.57,-7.33,774,781,777,414,855,33.333333333333336,-0.251,-0.498,0.835
42381,1755603006452,14.79,-30.59,-7.32,773,773,773,412,853,34.48275862068966,-0.245,-0.478,0.836
42410,1755603006454,14.85,-30.67,-7.45,765,782,774,330,859,34.48275862068966,-0.245,-0.468,0.84
42440,1755603006456,14.86,-30.73,-7.66,767,785,768,322,854,33.333333333333336,-0.253,-0.474,0.842
42469,1755603006458,15.08,-30.75,-7.75,769,780,773,413,851,34.48275862068966,-0.264,-0.495,0.841
42499,1755603006460,15.26,-30.7,-7.71,771,781,777,439,852,33.333333333333336,-0.271,-0.51,0.829
42528,1755603006462,15.23,-30.61,-7.62,771,783,771,354,864,34.48275862068966,-0.274,-0.511,0.816
42558,1755603006464,15.0,-30.6,-7.55,769,781,763,321,854,33.333333333333336,-0.274,-0.5,0.813
42587,1755603006466,14.82,-30.62,-7.52,772,786,776,367,845,34.48275862068966,-0.271,-0.488,0.827
42617,1755603006468,14.85,-30.66,-7.56,771,780,771,431,848,33.333333333333336,-0.27,-0.481,0.842
42646,1755603006470,14.96,-30.59,-7.57,768,778,768,413,854,34.48275862068966,-0.27,-0.481,0.848
42676,1755603006472,15.17,-30.46,-7.55,771,788,763,312,860,33.333333333333336,-0.272,-0.485,0.843
42705,1755603006474,15.34,-30.38,-7.51,773,779,766,342,850,34.48275862068966,-0.272,-0.483,0.825
42735,1755603006475,15.31,-30.46,-7.54,771,784,769,437,842,33.333333333333336,-0.272,-0.485,0.81
42764,1755603006477,15.1,-30.53,-7.59,765,781,773,379,859,34.48275862068966,-0.279,-0.492,0.812
42785,1755603006479,14.97,-30.61,-7.61,772,785,766,373,866,47.61904761904762,-0.282,-0.494,0.825
42814,1755603006481,15.1,-30.66,-7.53,774,781,774,393,855,34.48275862068966,-0.28,-0.491,0.84
42844,1755603006483,15.4,-30.71,-7.39,772,786,768,310,854,33.333333333333336,-0.275,-0.488,0.845
42873,1755603006485,15.73,-30.73,-7.31,773,784,776,314,861,34.48275862068966,-0.271,-0.486,0.846
42903,1755603006487,15.82,-30.58,-7.31,768,786,774,424,845,33.333333333333336,-0.269,-0.485,0.831
42932,1755603006489,15.81,-30.66,-7.39,769,772,782,435,859,34.48275862068966,-0.268,-0.487,0.813
42962,1755603006491,15.73,-30.85,-7.49,769,774,775,388,861,33.333333333333336,-0.271,-0.498,0.815
42992,1755603006494,15.88,-31.02,-7.55,771,787,776,317,861,33.333333333333336,-0.269,-0.507,0.842
43022,1755603006496,16.03,-30.67,-7.57,765,788,774,352,852,33.333333333333336,-0.271,-0.508,0.858
43042,1755603006498,16.2,-30.44,-7.6,774,781,771,354,855,50.0,-0.274,-0.498,0.842
43071,1755603006500,16.57,-30.37,-7.61,773,781,773,351,858,34.48275862068966,-0.284,-0.486,0.823
43101,1755603006501,16.8,-30.44,-7.59,768,781,770,442,856,33.333333333333336,-0.292,-0.48,0.806
43130,1755603006503,16.73,-30.56,-7.63,773,783,776,411,853,34.48275862068966,-0.293,-0.481,0.796
43160,1755603006505,16.52,-30.58,-7.73,768,781,776,312,859,33.333333333333336,-0.3,-0.495,0.807
43190,1755603006507,16.52,-30.72,-7.69,772,783,775,335,854,33.333333333333336,-0.297,-0.498,0.821
43219,1755603006509,16.94,-30.76,-7.49,770,792,776,414,857,34.48275862068966,-0.299,-0.486,0.839
43249,1755603006511,17.07,-30.5,-7.4,777,779,767,441,855,33.333333333333336,-0.304,-0.477,0.83
43338,1755603006517,16.63,-31.0,-7.85,766,781,764,334,851,33.333333333333336,-0.287,-0.493,0.793
43367,1755603006519,16.44,-31.1,-7.96,770,778,776,435,856,34.48275862068966,-0.291,-0.512,0.817
43397,1755603006522,16.25,-30.96,-7.95,769,783,779,412,851,33.333333333333336,-0.292,-0.52,0.835
43427,1755603006524,16.22,-30.75,-7.89,773,781,774,317,858,33.333333333333336,-0.288,-0.514,0.847
43456,1755603006526,16.23,-30.37,-7.85,774,782,771,327,853,34.48275862068966,-0.28,-0.497,0.834
43486,1755603006528,16.14,-30.14,-7.92,775,780,776,404,855,33.333333333333336,-0.273,-0.488,0.82
43515,1755603006530,16.11,-30.27,-8.14,767,783,772,414,859,34.48275862068966,-0.281,-0.495,0.827
43545,1755603006532,16.06,-30.21,-8.17,772,783,774,370,852,33.333333333333336,-0.296,-0.499,0.835
43574,1755603006535,15.95,-29.98,-8.09,772,775,774,320,851,34.48275862068966,-0.291,-0.498,0.826
43604,1755603006537,15.87,-29.93,-8.1,768,779,774,358,865,33.333333333333336,-0.286,-0.497,0.821
43634,1755603006539,15.74,-29.91,-8.14,770,783,768,405,844,33.333333333333336,-0.283,-0.49,0.825
43663,1755603006568,15.81,-29.85,-8.15,769,785,770,406,865,34.48275862068966,-0.28,-0.48,0.826
43693,1755603006598,15.86,-29.77,-8.19,776,784,773,313,846,33.333333333333336,-0.279,-0.479,0.825
43714,1755603006618,15.82,-29.78,-8.25,774,788,771,429,845,47.61904761904762,-0.278,-0.483,0.825
43743,1755603006647,15.76,-29.86,-8.32,775,779,771,311,860,34.48275862068966,-0.276,-0.487,0.832
43772,1755603006677,15.82,-29.8,-8.31,772,784,769,323,852,34.48275862068966,-0.274,-0.485,0.834
43802,1755603006706,15.87,-29.82,-8.33,770,780,775,425,852,33.333333333333336,-0.273,-0.483,0.832
43832,1755603006736,15.86,-29.86,-8.38,774,784,774,438,857,33.333333333333336,-0.271,-0.485,0.834
43861,1755603006765,15.86,-29.81,-8.44,769,781,771,350,856,34.48275862068966,-0.272,-0.484,0.834
43920,1755603006824,15.96,-29.84,-8.45,769,779,770,379,847,33.333333333333336,-0.277,-0.485,0.832
43950,1755603006854,15.88,-29.83,-8.47,771,785,775,434,849,33.333333333333336,-0.277,-0.488,0.831
43979,1755603006883,15.88,-29.86,-8.45,771,781,774,395,855,34.48275862068966,-0.277,-0.488,0.832
44009,1755603006913,15.87,-29.88,-8.41,766,773,778,312,847,33.333333333333336,-0.277,-0.486,0.837
44038,1755603006943,15.71,-29.75,-8.43,773,785,775,334,852,34.48275862068966,-0.272,-0.482,0.831
44067,1755603006972,15.53,-29.8,-8.56,775,788,772,441,850,34.48275862068966,-0.268,-0.484,0.823
44097,1755603007001,15.4,-29.96,-8.67,773,775,779,414,862,33.333333333333336,-0.274,-0.493,0.831
44126,1755603007031,15.32,-29.98,-8.6,770,787,770,303,848,34.48275862068966,-0.272,-0.49,0.838
44156,1755603007061,15.41,-29.97,-8.53,769,776,773,305,869,33.333333333333336,-0.266,-0.484,0.845
44186,1755603007090,15.4,-29.88,-8.54,771,779,775,393,848,33.333333333333336,-0.258,-0.481,0.847
44215,1755603007120,15.44,-29.81,-8.59,773,780,772,420,855,34.48275862068966,-0.252,-0.481,0.842
44245,1755603007149,15.5,-29.72,-8.66,771,782,769,352,857,33.333333333333336,-0.249,-0.482,0.83
44274,1755603007179,15.43,-29.83,-8.75,772,779,773,287,852,34.48275862068966,-0.258,-0.489,0.827
44333,1755603007237,15.38,-29.88,-8.69,763,770,776,422,846,34.48275862068966,-0.267,-0.489,0.852
44363,1755603007267,15.44,-29.82,-8.62,767,776,775,385,856,33.333333333333336,-0.265,-0.486,0.851
44392,1755603007297,15.6,-29.74,-8.52,775,775,782,299,851,34.48275862068966,-0.259,-0.48,0.84
44422,1755603007326,15.63,-29.81,-8.5,771,785,775,326,851,33.333333333333336,-0.256,-0.475,0.831
44452,1755603007356,15.59,-29.9,-8.55,768,781,776,421,851,33.333333333333336,-0.257,-0.478,0.834
44481,1755603007385,15.61,-29.88,-8.58,773,776,773,404,865,34.48275862068966,-0.261,-0.486,0.841
44511,1755603007415,15.67,-29.77,-8.53,769,780,772,329,856,33.333333333333336,-0.262,-0.489,0.843
44540,1755603007445,15.78,-29.73,-8.46,772,783,770,298,849,34.48275862068966,-0.26,-0.484,0.84
44570,1755603007474,15.79,-29.69,-8.51,767,775,771,383,862,33.333333333333336,-0.26,-0.479,0.837
44599,1755603007504,15.8,-29.71,-8.58,765,784,766,443,848,34.48275862068966,-0.262,-0.479,0.836
44620,1755603007524,15.87,-29.73,-8.6,767,783,775,337,848,47.61904761904762,-0.267,-0.483,0.838
44649,1755603007553,16.01,-29.73,-8.57,772,782,767,418,845,34.48275862068966,-0.273,-0.487,0.835
44679,1755603007583,16.14,-29.8,-8.47,772,782,763,381,862,33.333333333333336,-0.273,-0.488,0.834
44708,1755603007613,16.19,-29.79,-8.45,764,782,780,306,852,34.48275862068966,-0.273,-0.488,0.843
44728,1755603007633,16.15,-29.71,-8.46,767,781,781,400,836,50.0,-0.268,-0.483,0.843
44758,1755603007662,16.26,-29.67,-8.49,769,779,770,325,854,33.333333333333336,-0.27,-0.481,0.837
44788,1755603007692,16.35,-29.7,-8.5,771,778,772,357,855,33.333333333333336,-0.272,-0.479,0.831
44817,1755603007722,16.34,-29.79,-8.56,770,783,769,455,854,34.48275862068966,-0.272,-0.477,0.828
44847,1755603007751,16.26,-29.81,-8.65,769,787,771,435,847,33.333333333333336,-0.273,-0.478,0.828
44876,1755603007781,16.2,-29.9,-8.74,767,781,770,331,847,34.48275862068966,-0.274,-0.479,0.83
44906,1755603007810,16.23,-29.92,-8.77,773,788,773,346,856,33.333333333333336,-0.279,-0.483,0.833
44935,1755603007840,16.28,-29.97,-8.76,773,781,773,438,842,34.48275862068966,-0.28,-0.487,0.833
44995,1755603007899,16.33,-30.02,-8.77,773,786,777,362,854,33.333333333333336,-0.277,-0.485,0.832
45024,1755603007928,16.33,-30.04,-8.79,771,783,774,318,852,34.48275862068966,-0.277,-0.489,0.826
45054,1755603007958,16.25,-30.13,-8.81,773,788,777,392,854,33.333333333333336,-0.279,-0.492,0.823
45083,1755603007987,16.2,-30.18,-8.81,771,787,770,453,845,34.48275862068966,-0.281,-0.491,0.829
45113,1755603008017,16.21,-30.17,-8.79,777,784,782,413,848,33.333333333333336,-0.281,-0.492,0.832
45142,1755603008046,16.23,-30.15,-8.75,770,786,778,329,856,34.48275862068966,-0.281,-0.493,0.834
45172,1755603008077,16.25,-30.13,-8.75,775,792,773,347,852,33.333333333333336,-0.276,-0.487,0.829
45192,1755603008096,16.25,-30.15,-8.78,771,781,773,362,859,50.0,-0.274,-0.485,0.825
45221,1755603008126,16.25,-30.19,-8.81,769,779,773,379,858,34.48275862068966,-0.271,-0.487,0.823
45251,1755603008155,16.25,-30.2,-8.84,772,777,770,458,854,33.333333333333336,-0.272,-0.49,0.828
45281,1755603008185,16.28,-30.18,-8.85,778,774,773,414,847,33.333333333333336,-0.274,-0.492,0.833
45310,1755603008214,16.37,-30.14,-8.83,774,772,769,324,836,34.48275862068966,-0.276,-0.492,0.832
45340,1755603008244,16.47,-30.13,-8.81,771,775,774,336,848,33.333333333333336,-0.279,-0.491,0.828
45369,1755603008273,16.52,-30.15,-8.8,768,782,768,411,849,34.48275862068966,-0.28,-0.492,0.825
45399,1755603008303,16.47,-30.17,-8.8,773,784,775,452,859,33.333333333333336,-0.283,-0.494,0.824
