timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
118681,1755603668263,17.72,-38.41,-22.08,766,823,769,423,837,33.333333333333336,-0.297,-0.589,0.75
118711,1755603668265,17.71,-38.44,-22.07,768,811,771,413,853,33.333333333333336,-0.297,-0.588,0.749
118740,1755603668266,17.73,-38.41,-22.04,771,827,778,310,842,34.48275862068966,-0.297,-0.588,0.751
118770,1755603668269,17.74,-38.35,-22.02,772,832,769,332,840,33.333333333333336,-0.298,-0.588,0.754
118799,1755603668271,17.7,-38.35,-22.04,774,826,779,431,845,34.48275862068966,-0.297,-0.587,0.752
118829,1755603668273,17.74,-38.37,-22.04,772,827,771,428,842,33.333333333333336,-0.298,-0.587,0.751
118858,1755603668276,17.77,-38.36,-22.04,772,823,773,354,843,34.48275862068966,-0.298,-0.586,0.751
118888,1755603668277,17.79,-38.3,-22.04,772,826,774,315,841,33.333333333333336,-0.299,-0.585,0.752
118908,1755603668280,17.79,-38.29,-22.06,772,827,771,382,845,50.0,-0.297,-0.584,0.75
118938,1755603668281,17.8,-38.33,-22.09,772,826,775,338,840,33.333333333333336,-0.298,-0.585,0.751
118967,1755603668283,17.86,-38.31,-22.08,774,822,779,418,843,34.48275862068966,-0.299,-0.586,0.753
119027,1755603668288,17.9,-38.24,-22.13,772,833,769,389,832,33.333333333333336,-0.298,-0.585,0.752
119056,1755603668290,17.94,-38.21,-22.17,772,832,772,312,846,34.48275862068966,-0.299,-0.585,0.751
119086,1755603668292,17.93,-38.23,-22.21,774,830,774,353,848,33.333333333333336,-0.3,-0.586,0.75
119115,1755603668293,17.94,-38.22,-22.25,766,823,771,436,848,34.48275862068966,-0.301,-0.586,0.751
119145,1755603668295,17.97,-38.23,-22.27,766,826,772,420,839,33.333333333333336,-0.302,-0.588,0.75
119175,1755603668297,17.94,-38.23,-22.29,772,835,774,307,847,33.333333333333336,-0.304,-0.589,0.75
119204,1755603668299,17.95,-38.25,-22.31,771,820,772,301,846,34.48275862068966,-0.304,-0.589,0.749
119234,1755603668302,17.99,-38.24,-22.31,772,824,771,383,844,33.333333333333336,-0.304,-0.589,0.75
119263,1755603668304,18.0,-38.25,-22.32,766,829,768,383,848,34.48275862068966,-0.303,-0.589,0.75
119293,1755603668306,17.98,-38.31,-22.34,774,831,774,374,848,33.333333333333336,-0.302,-0.59,0.749
119322,1755603668308,17.99,-38.33,-22.34,769,831,775,266,847,34.48275862068966,-0.304,-0.591,0.749
119352,1755603668310,17.97,-38.33,-22.34,772,820,765,330,843,33.333333333333336,-0.303,-0.592,0.748
119381,1755603668312,17.98,-38.36,-22.31,770,831,771,425,846,34.48275862068966,-0.304,-0.593,0.747
119411,1755603668315,17.96,-38.34,-22.27,775,829,772,408,846,33.333333333333336,-0.304,-0.593,0.747
119441,1755603668317,17.95,-38.3,-22.23,774,829,768,313,839,33.333333333333336,-0.303,-0.592,0.748
119470,1755603668319,17.94,-38.3,-22.22,774,829,774,331,845,34.48275862068966,-0.303,-0.592,0.748
119490,1755603668321,17.92,-38.29,-22.21,772,828,776,370,832,50.0,-0.304,-0.592,0.748
119511,1755603668323,17.91,-38.31,-22.19,772,825,777,443,848,47.61904761904762,-0.304,-0.591,0.748
119540,1755603668325,17.96,-38.25,-22.14,773,828,771,327,845,34.48275862068966,-0.305,-0.592,0.75
119659,1755603668333,17.89,-38.14,-21.93,770,827,772,363,842,33.333333333333336,-0.305,-0.589,0.746
119688,1755603668335,17.82,-38.13,-21.89,773,824,773,322,846,34.48275862068966,-0.306,-0.586,0.748
119718,1755603668338,17.7,-38.12,-21.87,770,833,774,391,841,33.333333333333336,-0.304,-0.584,0.751
119747,1755603668340,17.64,-38.06,-21.83,770,825,778,438,836,34.48275862068966,-0.302,-0.583,0.754
119777,1755603668342,17.65,-38.06,-21.81,775,824,777,381,841,33.333333333333336,-0.299,-0.582,0.755
119806,1755603668344,17.61,-38.07,-21.8,771,834,771,309,844,34.48275862068966,-0.298,-0.583,0.757
119865,1755603668348,17.62,-38.05,-21.82,774,825,777,422,853,34.48275862068966,-0.297,-0.581,0.758
119895,1755603668350,17.61,-38.04,-21.83,765,825,771,400,843,33.333333333333336,-0.298,-0.582,0.757
119925,1755603668352,17.64,-38.05,-21.84,770,831,772,288,846,33.333333333333336,-0.3,-0.585,0.757
119954,1755603668354,17.67,-38.01,-21.84,769,823,773,294,847,34.48275862068966,-0.299,-0.586,0.756
119984,1755603668356,17.71,-38.0,-21.84,779,825,777,387,839,33.333333333333336,-0.299,-0.585,0.755
120014,1755603668358,17.72,-38.01,-21.86,772,831,767,432,838,33.333333333333336,-0.3,-0.585,0.755
120043,1755603668361,17.75,-37.96,-21.87,776,831,774,397,843,34.48275862068966,-0.3,-0.584,0.756
120073,1755603668363,17.78,-37.92,-21.89,775,819,775,322,843,33.333333333333336,-0.3,-0.584,0.756
120103,1755603668365,17.83,-37.89,-21.91,769,825,774,343,834,33.333333333333336,-0.3,-0.583,0.756
120162,1755603668388,17.87,-37.95,-22.01,772,820,773,411,843,33.333333333333336,-0.303,-0.583,0.757
120192,1755603668417,17.92,-37.89,-22.03,774,822,773,342,844,33.333333333333336,-0.302,-0.582,0.755
120221,1755603668447,17.87,-37.99,-22.13,767,825,777,329,842,34.48275862068966,-0.302,-0.582,0.751
120251,1755603668476,17.85,-38.06,-22.18,773,823,776,418,839,33.333333333333336,-0.304,-0.585,0.751
