timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
43864,1755603855463,65.91,-89.46,-30.66,761,785,765,395,886,33.333333333333336,-0.911,-0.419,0.006
43923,1755603855467,65.88,-89.51,-30.65,764,785,768,355,888,33.333333333333336,-0.913,-0.422,0.006
43953,1755603855469,65.83,-89.52,-30.64,764,783,772,383,882,33.333333333333336,-0.911,-0.42,0.008
43983,1755603855471,65.83,-89.5,-30.64,762,786,773,400,885,33.333333333333336,-0.911,-0.42,0.008
44013,1755603855474,65.82,-89.48,-30.63,762,784,767,394,883,33.333333333333336,-0.913,-0.42,0.008
44043,1755603855475,65.82,-89.47,-30.61,763,781,772,351,887,33.333333333333336,-0.912,-0.418,0.009
44072,1755603855477,65.79,-89.5,-30.6,757,787,773,347,886,34.48275862068966,-0.911,-0.418,0.009
44102,1755603855479,65.73,-89.49,-30.6,758,784,773,398,883,33.333333333333336,-0.91,-0.418,0.009
44132,1755603855482,65.65,-89.47,-30.62,759,787,767,412,887,33.333333333333336,-0.911,-0.417,0.01
44162,1755603855484,65.51,-89.36,-30.63,764,783,770,364,888,33.333333333333336,-0.911,-0.418,0.013
44182,1755603855486,65.4,-89.22,-30.64,767,785,770,396,886,50.0,-0.91,-0.419,0.016
44212,1755603855488,65.41,-89.21,-30.64,762,782,768,368,890,33.333333333333336,-0.913,-0.42,0.016
44232,1755603855490,65.46,-89.18,-30.62,769,787,767,396,894,50.0,-0.912,-0.419,0.016
44252,1755603855493,65.54,-89.16,-30.61,764,790,765,358,890,50.0,-0.914,-0.418,0.017
44282,1755603855495,65.58,-89.13,-30.59,769,772,767,395,887,33.333333333333336,-0.913,-0.418,0.017
44312,1755603855496,65.6,-89.15,-30.59,763,785,769,379,889,33.333333333333336,-0.912,-0.417,0.015
44362,1755603855500,65.66,-89.19,-30.63,764,781,770,375,897,33.333333333333336,-0.912,-0.415,0.015
44392,1755603855502,65.68,-89.18,-30.65,760,779,771,336,887,33.333333333333336,-0.911,-0.416,0.015
44412,1755603855505,65.62,-89.16,-30.66,766,784,773,402,894,50.0,-0.91,-0.417,0.014
44442,1755603855507,65.6,-89.17,-30.69,766,785,772,347,887,33.333333333333336,-0.912,-0.419,0.012
44472,1755603855508,65.59,-89.17,-30.67,768,779,769,348,886,33.333333333333336,-0.913,-0.42,0.013
44502,1755603855511,65.56,-89.06,-30.61,762,784,771,386,888,33.333333333333336,-0.912,-0.419,0.015
44531,1755603855512,65.53,-88.99,-30.59,770,779,777,394,894,34.48275862068966,-0.912,-0.417,0.016
44552,1755603855515,65.53,-88.96,-30.58,768,774,774,360,886,47.61904761904762,-0.91,-0.416,0.016
44602,1755603855518,65.52,-88.92,-30.58,767,781,765,373,886,50.0,-0.911,-0.414,0.017
44632,1755603855520,65.52,-88.87,-30.59,765,784,769,401,889,33.333333333333336,-0.912,-0.414,0.017
44652,1755603855523,65.55,-88.84,-30.59,768,785,776,363,883,50.0,-0.914,-0.416,0.019
44702,1755603855527,65.64,-88.78,-30.56,767,779,773,362,888,50.0,-0.912,-0.416,0.017
44732,1755603855529,65.68,-88.77,-30.56,765,784,772,393,883,33.333333333333336,-0.911,-0.416,0.016
44762,1755603855530,65.73,-88.82,-30.58,760,781,767,380,884,33.333333333333336,-0.913,-0.416,0.014
44792,1755603855533,65.68,-88.8,-30.57,760,787,774,337,886,33.333333333333336,-0.913,-0.416,0.014
44812,1755603855535,65.63,-88.78,-30.57,766,777,771,421,880,50.0,-0.911,-0.414,0.014
44842,1755603855537,65.5,-88.71,-30.61,762,782,773,346,884,33.333333333333336,-0.912,-0.412,0.017
44872,1755603855539,65.44,-88.62,-30.64,763,780,768,364,886,33.333333333333336,-0.913,-0.414,0.02
44902,1755603855541,65.47,-88.55,-30.66,765,784,769,417,889,33.333333333333336,-0.912,-0.415,0.019
44922,1755603855543,65.47,-88.51,-30.66,766,778,768,341,894,50.0,-0.912,-0.416,0.018
44952,1755603855545,65.47,-88.48,-30.65,761,781,769,399,888,33.333333333333336,-0.91,-0.416,0.017
44982,1755603855548,65.5,-88.44,-30.63,763,781,766,392,887,33.333333333333336,-0.912,-0.416,0.016
