timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
126820,1755604173197,7.66,69.81,-12.03,803,835,808,352,839,34.48275862068966,-0.124,0.933,0.352
126850,1755604173200,7.67,69.81,-12.04,802,847,813,341,846,33.333333333333336,-0.124,0.933,0.352
126879,1755604173202,7.66,69.82,-12.03,806,844,818,387,846,34.48275862068966,-0.124,0.933,0.352
126908,1755604173203,7.67,69.82,-12.05,802,843,803,402,844,34.48275862068966,-0.124,0.932,0.351
126928,1755604173206,7.67,69.8,-12.06,802,842,814,388,852,50.0,-0.125,0.932,0.35
126958,1755604173208,7.66,69.76,-12.04,793,834,806,415,848,33.333333333333336,-0.125,0.932,0.351
126987,1755604173210,7.66,69.76,-12.05,802,841,809,380,859,34.48275862068966,-0.124,0.932,0.353
127017,1755604173212,7.67,69.78,-12.05,801,845,812,347,853,33.333333333333336,-0.124,0.932,0.353
127046,1755604173214,7.66,69.75,-12.05,797,848,810,374,843,34.48275862068966,-0.123,0.931,0.352
127066,1755604173216,7.64,69.74,-12.05,802,841,814,368,847,50.0,-0.122,0.931,0.352
127096,1755604173218,7.65,69.72,-12.07,801,842,812,386,842,33.333333333333336,-0.123,0.931,0.354
127125,1755604173221,7.63,69.73,-12.06,799,845,813,405,853,34.48275862068966,-0.124,0.932,0.354
127155,1755604173223,7.65,69.72,-12.07,797,849,808,381,846,33.333333333333336,-0.123,0.932,0.354
127185,1755604173224,7.65,69.69,-12.07,808,842,810,349,845,33.333333333333336,-0.122,0.932,0.354
127215,1755604173227,7.63,69.67,-12.08,805,843,801,338,850,33.333333333333336,-0.121,0.932,0.354
127244,1755604173228,7.63,69.67,-12.11,806,839,807,402,837,34.48275862068966,-0.122,0.932,0.354
127274,1755604173231,7.63,69.66,-12.12,803,849,804,417,848,33.333333333333336,-0.123,0.932,0.354
127303,1755604173233,7.61,69.64,-12.12,800,838,809,355,844,34.48275862068966,-0.123,0.931,0.355
127333,1755604173235,7.61,69.62,-12.13,803,842,812,349,847,33.333333333333336,-0.124,0.933,0.356
127362,1755604173237,7.59,69.65,-12.15,799,848,813,372,846,34.48275862068966,-0.123,0.933,0.356
127391,1755604173245,7.6,69.59,-12.16,800,845,810,410,842,34.48275862068966,-0.122,0.933,0.356
127421,1755604173274,7.56,69.55,-12.2,800,846,810,369,837,33.333333333333336,-0.125,0.939,0.353
127450,1755604173304,7.51,69.56,-12.2,799,834,811,334,844,34.48275862068966,-0.124,0.938,0.354
127480,1755604173333,7.52,69.53,-12.22,803,848,805,371,846,33.333333333333336,-0.125,0.938,0.358
127509,1755604173363,7.53,69.55,-12.23,801,849,800,413,843,34.48275862068966,-0.126,0.936,0.357
127538,1755604173392,7.53,69.54,-12.23,799,849,811,382,838,34.48275862068966,-0.125,0.936,0.356
127568,1755604173422,7.52,69.53,-12.24,798,840,812,305,854,33.333333333333336,-0.124,0.935,0.356
127598,1755604173451,7.52,69.5,-12.25,799,842,812,340,852,33.333333333333336,-0.124,0.934,0.358
127627,1755604173481,7.51,69.49,-12.26,795,845,823,379,858,34.48275862068966,-0.124,0.933,0.36
