timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
230474,1755604523927,76.25,-135.16,-91.66,778,934,900,386,922,33.333333333333336,-0.969,-0.179,-0.187
230504,1755604523929,76.25,-135.2,-91.68,776,930,894,355,925,33.333333333333336,-0.97,-0.18,-0.189
230533,1755604523932,76.22,-135.23,-91.68,778,935,900,363,931,34.48275862068966,-0.972,-0.179,-0.19
230563,1755604523933,76.19,-135.26,-91.69,778,927,907,418,921,33.333333333333336,-0.972,-0.178,-0.191
230593,1755604523936,76.16,-135.28,-91.68,778,932,889,408,930,33.333333333333336,-0.97,-0.179,-0.191
230622,1755604523938,76.16,-135.3,-91.69,781,909,904,372,926,34.48275862068966,-0.969,-0.18,-0.189
230652,1755604523941,76.15,-135.3,-91.71,777,922,894,352,931,33.333333333333336,-0.968,-0.18,-0.187
230681,1755604523943,76.14,-135.32,-91.72,780,930,907,377,934,34.48275862068966,-0.97,-0.18,-0.189
230711,1755604523944,76.13,-135.32,-91.72,779,942,888,401,923,33.333333333333336,-0.972,-0.179,-0.191
230741,1755604523947,76.11,-135.35,-91.71,780,925,892,386,933,33.333333333333336,-0.97,-0.179,-0.191
230770,1755604523949,76.11,-135.38,-91.73,777,929,878,361,930,34.48275862068966,-0.969,-0.179,-0.189
230800,1755604523951,76.1,-135.41,-91.75,780,928,892,367,929,33.333333333333336,-0.969,-0.18,-0.19
230830,1755604523952,76.08,-135.43,-91.76,779,921,890,404,927,33.333333333333336,-0.97,-0.18,-0.19
230859,1755604523954,76.06,-135.44,-91.76,774,927,894,389,942,34.48275862068966,-0.971,-0.179,-0.189
230880,1755604523956,76.04,-135.45,-91.76,778,929,904,365,930,47.61904761904762,-0.969,-0.18,-0.189
230909,1755604523958,76.02,-135.46,-91.78,780,922,890,395,939,34.48275862068966,-0.968,-0.179,-0.188
230939,1755604523961,76.03,-135.47,-91.79,778,931,895,366,934,33.333333333333336,-0.969,-0.18,-0.189
230989,1755604523964,76.0,-135.49,-91.81,773,933,890,365,918,50.0,-0.97,-0.179,-0.189
231018,1755604523967,75.99,-135.49,-91.83,773,916,897,349,934,34.48275862068966,-0.967,-0.179,-0.189
231048,1755604523969,75.98,-135.48,-91.86,778,922,878,383,932,33.333333333333336,-0.968,-0.18,-0.188
231077,1755604523971,75.96,-135.5,-91.88,780,925,900,410,933,34.48275862068966,-0.97,-0.178,-0.189
231107,1755604523973,75.94,-135.53,-91.9,777,920,885,384,930,33.333333333333336,-0.971,-0.179,-0.19
231137,1755604523975,75.93,-135.56,-91.9,781,928,899,336,927,33.333333333333336,-0.972,-0.181,-0.19
231166,1755604523977,75.92,-135.56,-91.9,774,922,890,347,931,34.48275862068966,-0.97,-0.181,-0.188
231196,1755604523979,75.93,-135.57,-91.91,780,928,890,398,937,33.333333333333336,-0.968,-0.181,-0.189
231226,1755604523981,75.92,-135.57,-91.92,779,928,891,398,926,33.333333333333336,-0.969,-0.181,-0.189
231256,1755604523983,75.92,-135.6,-91.93,772,938,905,356,924,33.333333333333336,-0.97,-0.181,-0.191
231285,1755604523985,75.9,-135.6,-91.93,781,924,889,352,929,34.48275862068966,-0.97,-0.181,-0.19
231315,1755604523988,75.88,-135.61,-91.93,778,916,908,388,921,33.333333333333336,-0.969,-0.181,-0.189
231345,1755604523990,75.9,-135.6,-91.94,781,932,888,410,929,33.333333333333336,-0.97,-0.181,-0.189
231374,1755604523992,75.87,-135.62,-91.96,777,924,897,394,930,34.48275862068966,-0.971,-0.181,-0.191
231405,1755604523994,75.85,-135.67,-91.98,776,920,893,350,919,32.25806451612903,-0.97,-0.18,-0.191
231434,1755604523996,75.84,-135.73,-91.99,773,925,891,347,928,34.48275862068966,-0.972,-0.179,-0.19
231464,1755604523998,75.81,-135.74,-91.99,781,928,895,403,930,33.333333333333336,-0.972,-0.179,-0.19
231493,1755604524000,75.81,-135.76,-91.99,777,939,896,397,923,34.48275862068966,-0.969,-0.18,-0.187
231523,1755604524002,75.81,-135.76,-91.99,780,933,902,369,926,33.333333333333336,-0.969,-0.181,-0.187
231552,1755604524004,75.8,-135.76,-91.99,778,933,898,358,928,34.48275862068966,-0.97,-0.179,-0.189
231582,1755604524006,75.8,-135.77,-92.0,774,927,885,376,921,33.333333333333336,-0.971,-0.178,-0.191
231611,1755604524008,75.78,-135.82,-92.01,775,925,878,406,929,34.48275862068966,-0.97,-0.178,-0.191
231641,1755604524011,75.77,-135.84,-92.02,780,930,894,389,933,33.333333333333336,-0.968,-0.179,-0.19
231671,1755604524012,75.79,-135.85,-92.04,777,936,905,336,943,33.333333333333336,-0.97,-0.178,-0.19
231701,1755604524015,75.76,-135.87,-92.04,775,940,908,349,916,33.333333333333336,-0.971,-0.18,-0.191
231730,1755604524017,75.79,-135.9,-92.04,780,926,896,358,931,34.48275862068966,-0.972,-0.181,-0.189
231760,1755604524019,75.78,-135.91,-92.03,778,924,882,399,925,33.333333333333336,-0.971,-0.179,-0.189
231790,1755604524021,75.79,-135.92,-92.05,776,930,888,360,928,33.333333333333336,-0.969,-0.178,-0.188
231819,1755604524024,75.78,-135.94,-92.07,779,947,894,346,932,34.48275862068966,-0.97,-0.179,-0.189
231849,1755604524026,75.79,-135.96,-92.08,781,940,893,375,922,33.333333333333336,-0.972,-0.179,-0.19
231878,1755604524028,75.79,-135.99,-92.08,779,922,899,405,927,34.48275862068966,-0.971,-0.178,-0.192
231908,1755604524030,75.79,-136.01,-92.09,778,936,883,395,932,33.333333333333336,-0.968,-0.178,-0.192
231937,1755604524032,75.76,-136.02,-92.1,779,924,899,344,925,34.48275862068966,-0.963,-0.178,-0.192
231967,1755604524034,75.77,-136.07,-92.11,778,931,896,368,929,33.333333333333336,-0.966,-0.178,-0.192
231996,1755604524036,75.76,-136.1,-92.12,778,935,898,403,933,34.48275862068966,-0.967,-0.178,-0.193
232026,1755604524038,75.74,-136.1,-92.12,778,916,903,407,929,33.333333333333336,-0.968,-0.179,-0.192
232056,1755604524040,75.73,-136.13,-92.13,777,939,891,377,933,33.333333333333336,-0.967,-0.178,-0.191
232086,1755604524042,75.73,-136.13,-92.13,780,934,890,352,922,33.333333333333336,-0.967,-0.178,-0.191
232115,1755604524056,75.74,-136.14,-92.14,772,929,891,370,916,34.48275862068966,-0.967,-0.179,-0.19
232145,1755604524086,75.76,-136.14,-92.15,779,925,902,412,937,33.333333333333336,-0.967,-0.178,-0.192
232175,1755604524115,75.73,-136.15,-92.16,779,928,901,386,925,33.333333333333336,-0.968,-0.178,-0.194
232234,1755604524174,75.71,-136.18,-92.18,777,925,894,344,931,33.333333333333336,-0.969,-0.178,-0.191
232264,1755604524204,75.71,-136.2,-92.19,776,923,887,391,924,33.333333333333336,-0.968,-0.179,-0.193
232294,1755604524234,75.68,-136.22,-92.2,780,921,886,388,925,33.333333333333336,-0.969,-0.178,-0.191
232323,1755604524264,75.67,-136.22,-92.21,780,925,900,384,932,34.48275862068966,-0.97,-0.177,-0.193
232353,1755604524294,75.65,-136.23,-92.22,776,921,901,351,934,33.333333333333336,-0.969,-0.178,-0.193
232383,1755604524324,75.64,-136.26,-92.23,780,928,898,359,916,33.333333333333336,-0.97,-0.179,-0.19
232413,1755604524353,75.67,-136.27,-92.24,782,932,900,389,926,33.333333333333336,-0.969,-0.178,-0.191
232442,1755604524383,75.66,-136.28,-92.25,780,924,894,402,931,34.48275862068966,-0.97,-0.179,-0.192
232472,1755604524412,75.67,-136.3,-92.26,779,937,896,351,926,33.333333333333336,-0.97,-0.179,-0.192
232501,1755604524442,75.65,-136.33,-92.26,782,923,896,336,930,34.48275862068966,-0.971,-0.178,-0.192
232531,1755604524471,75.67,-136.33,-92.27,776,918,903,385,928,33.333333333333336,-0.969,-0.177,-0.19
232560,1755604524501,75.68,-136.32,-92.28,781,929,894,418,926,34.48275862068966,-0.967,-0.178,-0.192
232590,1755604524531,75.66,-136.34,-92.3,774,919,909,386,930,33.333333333333336,-0.97,-0.179,-0.193
232620,1755604524560,75.66,-136.36,-92.3,776,925,911,301,927,33.333333333333336,-0.972,-0.179,-0.192
232649,1755604524590,75.65,-136.36,-92.3,780,928,885,342,926,34.48275862068966,-0.972,-0.179,-0.193
232679,1755604524619,75.65,-136.37,-92.3,774,929,899,393,936,33.333333333333336,-0.97,-0.178,-0.192
232708,1755604524649,75.66,-136.39,-92.31,778,913,892,407,928,34.48275862068966,-0.969,-0.177,-0.192
232738,1755604524678,75.66,-136.39,-92.32,783,923,881,313,925,33.333333333333336,-0.97,-0.178,-0.193
232768,1755604524708,75.66,-136.42,-92.33,780,929,894,322,925,33.333333333333336,-0.972,-0.178,-0.194
232797,1755604524738,75.66,-136.44,-92.34,775,932,899,379,923,34.48275862068966,-0.971,-0.178,-0.194
232827,1755604524768,75.65,-136.45,-92.35,782,934,876,413,930,33.333333333333336,-0.97,-0.179,-0.193
232847,1755604524788,75.63,-136.45,-92.35,781,930,901,373,927,50.0,-0.969,-0.179,-0.193
232936,1755604524877,75.61,-136.48,-92.35,781,928,900,335,929,33.333333333333336,-0.97,-0.178,-0.192
232965,1755604524905,75.61,-136.5,-92.37,775,927,876,367,931,34.48275862068966,-0.968,-0.178,-0.194
233024,1755604524965,75.57,-136.59,-92.39,775,935,900,409,934,34.48275862068966,-0.972,-0.178,-0.194
233054,1755604524995,75.55,-136.64,-92.4,780,932,892,318,926,33.333333333333336,-0.971,-0.177,-0.194
233084,1755604525024,75.52,-136.67,-92.4,776,941,903,328,940,33.333333333333336,-0.969,-0.178,-0.194
233113,1755604525054,75.51,-136.73,-92.41,775,923,894,389,920,34.48275862068966,-0.969,-0.178,-0.193
233143,1755604525083,75.52,-136.76,-92.41,779,933,879,412,929,33.333333333333336,-0.969,-0.177,-0.195
233172,1755604525113,75.52,-136.8,-92.42,779,930,892,374,924,34.48275862068966,-0.971,-0.178,-0.196
233202,1755604525142,75.47,-136.82,-92.43,771,929,895,343,938,33.333333333333336,-0.971,-0.177,-0.195
233231,1755604525172,75.43,-136.83,-92.42,780,938,876,381,935,34.48275862068966,-0.969,-0.178,-0.195
233261,1755604525201,75.42,-136.84,-92.43,779,929,896,432,929,33.333333333333336,-0.968,-0.178,-0.194
233291,1755604525232,75.42,-136.87,-92.44,774,932,898,412,928,33.333333333333336,-0.969,-0.177,-0.191
233311,1755604525251,75.41,-136.89,-92.45,779,928,889,411,932,50.0,-0.969,-0.177,-0.191
233340,1755604525281,75.4,-136.87,-92.45,779,935,883,382,933,34.48275862068966,-0.97,-0.177,-0.191
233370,1755604525311,75.39,-136.89,-92.46,780,918,889,346,936,33.333333333333336,-0.97,-0.177,-0.193
233400,1755604525340,75.36,-136.92,-92.46,774,928,890,353,925,33.333333333333336,-0.969,-0.176,-0.193
233429,1755604525370,75.33,-136.91,-92.46,777,924,892,406,925,34.48275862068966,-0.971,-0.175,-0.193
233459,1755604525400,75.33,-136.92,-92.47,782,928,890,411,929,33.333333333333336,-0.97,-0.176,-0.192
233489,1755604525430,75.34,-136.92,-92.49,777,932,889,377,935,33.333333333333336,-0.971,-0.177,-0.191
233519,1755604525459,75.32,-136.87,-92.49,775,922,894,324,926,33.333333333333336,-0.971,-0.177,-0.191
233548,1755604525489,75.33,-136.83,-92.49,779,926,897,362,925,34.48275862068966,-0.97,-0.176,-0.19
233578,1755604525518,75.35,-136.82,-92.51,778,921,882,406,934,33.333333333333336,-0.969,-0.176,-0.191
233607,1755604525547,75.36,-136.81,-92.52,775,922,891,390,926,34.48275862068966,-0.97,-0.176,-0.192
233666,1755604525607,75.38,-136.79,-92.54,781,924,892,345,932,34.48275862068966,-0.97,-0.176,-0.191
233725,1755604525666,75.39,-136.8,-92.58,775,937,905,393,934,34.48275862068966,-0.968,-0.175,-0.191
233755,1755604525695,75.4,-136.81,-92.6,780,927,897,347,935,33.333333333333336,-0.97,-0.176,-0.194
233784,1755604525725,75.38,-136.85,-92.61,776,925,885,342,929,34.48275862068966,-0.972,-0.177,-0.194
233814,1755604525754,75.39,-136.87,-92.62,775,927,893,376,930,33.333333333333336,-0.971,-0.177,-0.192
233843,1755604525784,75.38,-136.88,-92.63,777,922,894,403,925,34.48275862068966,-0.97,-0.177,-0.192
233873,1755604525813,75.4,-136.88,-92.64,777,923,896,381,932,33.333333333333336,-0.97,-0.177,-0.192
233902,1755604525843,75.36,-136.88,-92.65,777,928,915,341,926,34.48275862068966,-0.969,-0.178,-0.193
233932,1755604525873,75.38,-136.84,-92.64,778,920,888,343,926,33.333333333333336,-0.97,-0.177,-0.192
233962,1755604525902,75.38,-136.84,-92.65,778,930,900,407,926,33.333333333333336,-0.971,-0.178,-0.192
233991,1755604525932,75.38,-136.88,-92.66,777,924,896,414,932,34.48275862068966,-0.97,-0.177,-0.193
234021,1755604525961,75.39,-136.9,-92.67,776,917,898,345,934,33.333333333333336,-0.969,-0.176,-0.189
234050,1755604525991,75.42,-136.92,-92.69,778,932,894,354,933,34.48275862068966,-0.969,-0.176,-0.191
234080,1755604526020,75.41,-136.92,-92.7,778,922,892,413,931,33.333333333333336,-0.969,-0.177,-0.193
234109,1755604526050,75.41,-136.93,-92.72,780,921,889,418,933,34.48275862068966,-0.971,-0.177,-0.192
234168,1755604526109,75.36,-136.96,-92.71,779,925,901,350,934,34.48275862068966,-0.971,-0.179,-0.192
234198,1755604526139,75.36,-136.94,-92.71,780,926,896,372,926,33.333333333333336,-0.968,-0.179,-0.19
234227,1755604526168,75.38,-136.91,-92.72,775,927,894,424,930,34.48275862068966,-0.97,-0.178,-0.189
234257,1755604526197,75.38,-136.91,-92.73,778,935,889,399,929,33.333333333333336,-0.971,-0.178,-0.191
234316,1755604526256,75.35,-136.94,-92.71,776,931,888,367,931,33.333333333333336,-0.973,-0.176,-0.194
234345,1755604526286,75.39,-136.97,-92.72,772,920,901,404,927,34.48275862068966,-0.971,-0.175,-0.19
234375,1755604526316,75.42,-136.99,-92.74,779,918,894,403,922,33.333333333333336,-0.97,-0.175,-0.19
234405,1755604526345,75.43,-136.97,-92.76,779,923,886,355,929,33.333333333333336,-0.971,-0.175,-0.189
234434,1755604526375,75.42,-136.99,-92.79,780,934,893,344,919,34.48275862068966,-0.972,-0.175,-0.19
234464,1755604526404,75.47,-136.99,-92.79,782,936,888,388,926,33.333333333333336,-0.972,-0.176,-0.191
234493,1755604526434,75.45,-137.01,-92.8,777,918,895,413,932,34.48275862068966,-0.972,-0.175,-0.192
234523,1755604526463,75.47,-137.01,-92.83,776,926,904,399,935,33.333333333333336,-0.97,-0.175,-0.19
234553,1755604526493,75.48,-137.0,-92.84,779,924,902,332,934,33.333333333333336,-0.971,-0.177,-0.19
234582,1755604526522,75.52,-137.0,-92.85,779,910,891,370,930,34.48275862068966,-0.971,-0.177,-0.192
234612,1755604526552,75.51,-137.0,-92.85,775,920,893,416,927,33.333333333333336,-0.971,-0.177,-0.193
234641,1755604526582,75.55,-137.01,-92.86,779,922,899,407,930,34.48275862068966,-0.972,-0.177,-0.193
234671,1755604526611,75.53,-137.06,-92.87,783,933,899,350,927,33.333333333333336,-0.972,-0.175,-0.194
234700,1755604526641,75.56,-137.15,-92.88,776,928,887,352,927,34.48275862068966,-0.97,-0.175,-0.192
234730,1755604526670,75.58,-137.17,-92.89,779,929,890,388,927,33.333333333333336,-0.97,-0.175,-0.193
234759,1755604526700,75.58,-137.17,-92.9,777,924,898,387,930,34.48275862068966,-0.969,-0.174,-0.193
234789,1755604526729,75.56,-137.18,-92.92,775,931,906,362,935,33.333333333333336,-0.97,-0.175,-0.194
234818,1755604526759,75.57,-137.2,-92.92,777,920,899,348,924,34.48275862068966,-0.97,-0.176,-0.194
234848,1755604526789,75.55,-137.22,-92.93,778,930,888,378,921,33.333333333333336,-0.97,-0.175,-0.195
234878,1755604526818,75.53,-137.21,-92.94,774,908,900,430,931,33.333333333333336,-0.967,-0.175,-0.196
234907,1755604526849,75.52,-137.23,-92.95,784,933,886,364,930,34.48275862068966,-0.969,-0.176,-0.195
234928,1755604526868,75.52,-137.24,-92.96,782,926,908,391,927,47.61904761904762,-0.97,-0.177,-0.194
234957,1755604526898,75.5,-137.24,-92.96,780,924,895,380,929,34.48275862068966,-0.97,-0.176,-0.195
234987,1755604526927,75.46,-137.23,-92.96,776,922,895,340,938,33.333333333333336,-0.969,-0.176,-0.195
235017,1755604526957,75.48,-137.23,-92.97,777,924,903,349,924,33.333333333333336,-0.969,-0.177,-0.195
235046,1755604526987,75.5,-137.26,-92.97,778,934,906,402,924,34.48275862068966,-0.97,-0.176,-0.196
235076,1755604527016,75.48,-137.27,-92.98,777,921,898,408,931,33.333333333333336,-0.97,-0.176,-0.195
235105,1755604527045,75.47,-137.25,-92.99,782,928,891,358,929,34.48275862068966,-0.968,-0.175,-0.194
235135,1755604527075,75.49,-137.25,-93.02,776,924,885,339,926,33.333333333333336,-0.968,-0.175,-0.195
235164,1755604527104,75.48,-137.27,-93.03,783,920,893,364,929,34.48275862068966,-0.97,-0.176,-0.195
235194,1755604527134,75.51,-137.29,-93.03,775,929,892,425,929,33.333333333333336,-0.971,-0.176,-0.195
235223,1755604527164,75.52,-137.3,-93.03,779,943,898,406,930,34.48275862068966,-0.969,-0.175,-0.194
235253,1755604527194,75.53,-137.29,-93.05,771,930,883,345,917,33.333333333333336,-0.969,-0.174,-0.192
235283,1755604527223,75.53,-137.27,-93.08,777,928,900,344,931,33.333333333333336,-0.969,-0.175,-0.195
235312,1755604527253,75.54,-137.29,-93.09,774,922,893,395,921,34.48275862068966,-0.971,-0.176,-0.197
235401,1755604527342,75.47,-137.28,-93.12,773,935,886,339,935,33.333333333333336,-0.966,-0.175,-0.195
235431,1755604527372,75.44,-137.31,-93.14,779,931,888,379,930,33.333333333333336,-0.966,-0.175,-0.195
235480,1755604527421,75.44,-137.36,-93.16,777,926,876,388,933,34.48275862068966,-0.97,-0.177,-0.197
